1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q4,88375.00,1911.00,15216.00,5749.00,0.00,-55.00,18320.00,0.00,14002.00,1555.00,2763.00,0.00,30189.00,8098.00,0.00,22091.00,0.00,0.00,6297.00,5680.00,5068.00,521397.00,0.00,0.00,2740.00,333051.00,256702.00,76349.00,2940.00,1474.00,1466.00,12114.00,6519.00,164033.00,72907.00,505929.00
1962:Q1,90437.00,1686.00,15412.00,6377.00,0.00,41.00,18260.00,0.00,13976.00,1572.00,2712.00,0.00,30951.00,8214.00,0.00,22737.00,0.00,0.00,6309.00,6277.00,5124.00,524814.00,0.00,0.00,2748.00,335415.00,257378.00,78037.00,3105.00,1554.00,1551.00,12164.00,6548.00,164834.00,74910.00,509287.00
1962:Q2,95459.00,1665.00,19099.00,6641.00,0.00,0.00,18524.00,0.00,14220.00,1625.00,2679.00,0.00,31599.00,8274.00,0.00,23325.00,0.00,0.00,6408.00,6300.00,5223.00,527833.00,0.00,0.00,2757.00,337205.00,258002.00,79203.00,3347.00,1635.00,1712.00,12477.00,6579.00,165468.00,79527.00,511901.00
1962:Q3,95190.00,1238.00,17705.00,6385.00,0.00,912.00,18936.00,0.00,14581.00,1713.00,2642.00,0.00,31804.00,8336.00,0.00,23468.00,0.00,0.00,6652.00,6312.00,5246.00,531509.00,0.00,0.00,2749.00,339012.00,258460.00,80552.00,3447.00,1683.00,1764.00,12910.00,6612.00,166779.00,78845.00,515164.00
1962:Q4,95217.00,1209.00,16321.00,6719.00,0.00,466.00,19597.00,0.00,15157.00,1867.00,2573.00,0.00,32423.00,8421.00,0.00,24002.00,0.00,0.00,6849.00,6331.00,5302.00,540974.00,0.00,0.00,2760.00,346110.00,264310.00,81800.00,3704.00,1734.00,1970.00,13594.00,6644.00,168162.00,78090.00,523847.00
1963:Q1,98960.00,1265.00,16743.00,7569.00,0.00,-1.00,20180.00,0.00,16107.00,1580.00,2493.00,0.00,33160.00,8426.00,0.00,24734.00,0.00,0.00,7171.00,7495.00,5378.00,546623.00,0.00,0.00,2769.00,347987.00,265011.00,82976.00,3790.00,1759.00,2031.00,13784.00,6677.00,171616.00,80822.00,528485.00
1963:Q2,104380.00,1312.00,20858.00,7720.00,0.00,0.00,20516.00,0.00,16398.00,1684.00,2434.00,0.00,33318.00,8131.00,0.00,25187.00,0.00,0.00,7495.00,7533.00,5628.00,551482.00,0.00,0.00,2779.00,350261.00,265537.00,84724.00,3838.00,1786.00,2052.00,13857.00,6711.00,174036.00,85930.00,533032.00
1963:Q3,102858.00,1237.00,17736.00,7708.00,0.00,1004.00,20843.00,0.00,16966.00,1491.00,2386.00,0.00,33537.00,8116.00,0.00,25421.00,0.00,0.00,7600.00,7550.00,5643.00,556652.00,0.00,0.00,2788.00,351220.00,265321.00,85899.00,3944.00,1790.00,2154.00,14314.00,6744.00,177642.00,83738.00,537532.00
1963:Q4,101984.00,1229.00,16824.00,8353.00,0.00,-745.00,21079.00,0.00,16314.00,2431.00,2334.00,0.00,34145.00,8219.00,0.00,25926.00,0.00,0.00,7798.00,7598.00,5703.00,566231.00,0.00,0.00,2806.00,356252.00,269212.00,87040.00,3999.00,1796.00,2203.00,15066.00,6775.00,181333.00,83467.00,547714.00
1964:Q1,104481.00,1173.00,18561.00,8621.00,0.00,-943.00,21088.00,0.00,16504.00,2303.00,2281.00,0.00,34907.00,8287.00,0.00,26620.00,0.00,0.00,7794.00,7701.00,5579.00,571317.00,0.00,0.00,2825.00,357642.00,269465.00,88177.00,3992.00,1793.00,2199.00,15254.00,6803.00,184801.00,85778.00,552614.00
