1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q1,1325807.00,0.00,93426.00,189204.00,0.00,119180.00,3090.00,73081.00,567.00,31469.00,10973.00,39054.00,-1100.00,37377.00,2777.00,433050.00,22981.00,89663.00,309318.00,20591.00,86701.00,202026.00,29931.00,323754.00,156488.00,51684.00,62038.00,11525.00,42019.00
1962:Q2,1226032.00,0.00,91309.00,196080.00,0.00,118961.00,3105.00,73108.00,410.00,31384.00,10954.00,40545.00,-450.00,37975.00,3020.00,329789.00,18257.00,90651.00,310998.00,20920.00,86195.00,203883.00,29442.00,333019.00,160237.00,53567.00,65435.00,11362.00,42418.00
1962:Q3,1259123.00,0.00,93668.00,201423.00,0.00,120509.00,3342.00,74836.00,286.00,31852.00,10193.00,41087.00,-338.00,38406.00,3019.00,348408.00,18796.00,91563.00,313957.00,21258.00,86858.00,205841.00,29712.00,341155.00,164345.00,55275.00,66626.00,11883.00,43026.00
1962:Q4,1356033.00,0.00,95396.00,208828.00,0.00,119244.00,2993.00,73718.00,235.00,32087.00,10211.00,41457.00,-864.00,39006.00,3315.00,431230.00,20909.00,92398.00,317344.00,21625.00,87855.00,207864.00,29227.00,349538.00,168307.00,56834.00,69344.00,12308.00,42745.00
1963:Q1,1393963.00,0.00,96577.00,215765.00,0.00,116747.00,3850.00,70567.00,9.00,31665.00,10656.00,40826.00,-1464.00,39324.00,2966.00,455641.00,22156.00,93355.00,322748.00,22016.00,88707.00,212025.00,30148.00,354845.00,171352.00,58382.00,68935.00,12575.00,43601.00
1963:Q2,1431049.00,0.00,95389.00,223030.00,0.00,116957.00,4362.00,70564.00,0.00,31642.00,10389.00,42363.00,-908.00,40093.00,3178.00,477302.00,23306.00,94378.00,328362.00,22427.00,89630.00,216305.00,29962.00,366723.00,175801.00,60532.00,72217.00,13531.00,44642.00
1963:Q3,1467536.00,0.00,98056.00,227746.00,0.00,117735.00,4754.00,71976.00,0.00,31128.00,9877.00,42549.00,-994.00,40319.00,3224.00,497411.00,24118.00,95473.00,334218.00,22856.00,90656.00,220706.00,30230.00,375857.00,180662.00,62450.00,74362.00,14161.00,44222.00
1963:Q4,1458635.00,0.00,100081.00,234936.00,0.00,119325.00,4196.00,72892.00,0.00,32094.00,10143.00,42935.00,-1146.00,40528.00,3553.00,469895.00,24819.00,96635.00,340285.00,23300.00,91810.00,225175.00,29725.00,385781.00,185106.00,64118.00,77870.00,14502.00,44185.00
1964:Q1,1504414.00,0.00,97368.00,240745.00,0.00,121324.00,4649.00,74239.00,0.00,32475.00,9961.00,43993.00,-153.00,40880.00,3266.00,499442.00,26433.00,97719.00,346742.00,23764.00,93233.00,229745.00,30648.00,392107.00,188776.00,65481.00,78041.00,14538.00,45271.00
1964:Q2,1536820.00,0.00,97951.00,247988.00,0.00,122521.00,5403.00,74497.00,0.00,33112.00,9509.00,43185.00,-1377.00,41158.00,3404.00,515081.00,27156.00,98806.00,353281.00,24250.00,94641.00,234390.00,30851.00,404555.00,193368.00,67701.00,81812.00,14718.00,46955.00
1964:Q3,1576414.00,0.00,102798.00,253567.00,0.00,123292.00,5042.00,74484.00,0.00,34138.00,9628.00,44477.00,-573.00,41613.00,3437.00,532323.00,28523.00,99913.00,360086.00,24748.00,96166.00,239172.00,31435.00,413432.00,198076.00,69722.00,84142.00,14749.00,46743.00
1964:Q4,1605181.00,0.00,102973.00,261041.00,0.00,124133.00,5173.00,73571.00,245.00,34854.00,10290.00,45054.00,-823.00,42098.00,3779.00,544127.00,28447.00,101051.00,367066.00,25250.00,97767.00,244049.00,31289.00,422894.00,202335.00,71430.00,87352.00,14765.00,47013.00
1965:Q1,1637261.00,0.00,100651.00,268791.00,0.00,126691.00,6231.00,76555.00,21.00,33771.00,10113.00,44914.00,-756.00,42175.00,3495.00,557830.00,29751.00,102149.00,374249.00,25837.00,99460.00,248952.00,32235.00,429082.00,205891.00,72809.00,87645.00,14930.00,47807.00
1965:Q2,1629278.00,0.00,100963.00,275058.00,0.00,126933.00,6710.00,76144.00,618.00,33792.00,9669.00,45464.00,-678.00,42480.00,3662.00,534567.00,29291.00,103382.00,381287.00,26341.00,100927.00,254019.00,32333.00,441708.00,210329.00,75197.00,92243.00,15156.00,48784.00
1965:Q3,1701667.00,0.00,107003.00,280622.00,0.00,128195.00,6422.00,75984.00,909.00,34915.00,9965.00,45513.00,-548.00,42391.00,3670.00,581085.00,32050.00,104656.00,389515.00,26818.00,103436.00,259261.00,33028.00,450908.00,215042.00,77354.00,94391.00,15215.00,48907.00
1965:Q4,1759318.00,0.00,109804.00,288514.00,0.00,127470.00,6044.00,74762.00,1132.00,36531.00,9001.00,46341.00,-310.00,42611.00,4040.00,616096.00,34410.00,105876.00,397864.00,27325.00,105912.00,264627.00,32943.00,461321.00,219449.00,79115.00,97489.00,15956.00,49312.00
1966:Q1,1762396.00,0.00,108240.00,294109.00,0.00,134926.00,6752.00,78944.00,1843.00,37666.00,9721.00,45657.00,-644.00,42600.00,3701.00,596561.00,35326.00,107050.00,406395.00,27846.00,108303.00,270246.00,34131.00,468058.00,223358.00,81383.00,97096.00,16409.00,49812.00
1966:Q2,1753420.00,0.00,107165.00,299561.00,0.00,136655.00,6728.00,76488.00,4946.00,38778.00,9715.00,46952.00,-305.00,43427.00,3830.00,571128.00,34547.00,108192.00,415048.00,28367.00,110643.00,276038.00,34172.00,480285.00,227232.00,83558.00,100205.00,17016.00,52274.00
1966:Q3,1714419.00,0.00,110103.00,301554.00,0.00,142742.00,7463.00,79238.00,5724.00,39058.00,11259.00,47662.00,-53.00,43990.00,3725.00,512747.00,31301.00,109349.00,423648.00,28892.00,112760.00,281996.00,35313.00,485840.00,230272.00,85217.00,100989.00,17321.00,52041.00
1966:Q4,1774535.00,0.00,111668.00,307135.00,0.00,145474.00,8294.00,79080.00,5850.00,41151.00,11099.00,48540.00,-65.00,44617.00,3988.00,548264.00,33850.00,110570.00,433633.00,29425.00,116155.00,288053.00,35401.00,493043.00,232742.00,86321.00,103422.00,17891.00,52667.00
1967:Q1,1870812.00,0.00,111089.00,317399.00,0.00,145259.00,9855.00,77816.00,5837.00,39687.00,12064.00,49375.00,762.00,44959.00,3654.00,617507.00,38226.00,111835.00,443332.00,29976.00,120104.00,293252.00,36790.00,494615.00,234221.00,87594.00,101348.00,18796.00,52656.00
1967:Q2,1896319.00,0.00,111948.00,328269.00,0.00,140763.00,9807.00,74762.00,5716.00,38330.00,12148.00,50373.00,1299.00,45344.00,3730.00,622982.00,39284.00,113072.00,452431.00,30617.00,123179.00,298635.00,37197.00,505358.00,237076.00,89970.00,104131.00,19647.00,54534.00
1967:Q3,1964101.00,0.00,115792.00,335929.00,0.00,144472.00,9031.00,77290.00,5625.00,39262.00,13264.00,51080.00,1576.00,45877.00,3627.00,659985.00,42006.00,114314.00,462338.00,31276.00,126825.00,304237.00,38185.00,514132.00,241547.00,92539.00,105544.00,20891.00,53610.00
1967:Q4,2016627.00,0.00,122097.00,342305.00,0.00,148775.00,10135.00,79092.00,6265.00,38208.00,15075.00,52638.00,2159.00,46607.00,3872.00,682128.00,42973.00,115535.00,471818.00,31939.00,129858.00,310021.00,38358.00,538151.00,245974.00,97127.00,108567.00,22426.00,64058.00
1968:Q1,1984088.00,0.00,118252.00,351028.00,0.00,152250.00,10576.00,83621.00,5670.00,37137.00,15246.00,52473.00,1569.00,47312.00,3592.00,632831.00,40523.00,116737.00,482156.00,32612.00,132355.00,317189.00,37838.00,529385.00,249378.00,96244.00,107272.00,22257.00,54235.00
1968:Q2,2101772.00,0.00,120062.00,356713.00,0.00,154149.00,10809.00,82332.00,6475.00,38066.00,16467.00,55156.00,3722.00,47757.00,3677.00,718675.00,45972.00,117921.00,494770.00,33300.00,136923.00,324547.00,38354.00,546140.00,253675.00,99105.00,111404.00,24930.00,57025.00
