1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q2,95488.00,72385.00,72989.00,-452.00,-152.00,-3148.00,26251.00,95488.00,79524.00,15964.00
2006:Q3,95820.00,71663.00,69851.00,948.00,864.00,5776.00,18381.00,95820.00,80508.00,15312.00
2006:Q4,95408.00,-27984.00,-28412.00,-884.00,1312.00,12124.00,111268.00,95408.00,79300.00,16108.00
2007:Q1,93888.00,70240.00,69688.00,-760.00,1312.00,212.00,23436.00,93888.00,77500.00,16388.00
2007:Q2,94360.00,53.00,113.00,-1152.00,1092.00,10168.00,84139.00,94360.00,79352.00,15008.00
2007:Q3,95216.00,85666.00,82162.00,404.00,3100.00,-6564.00,16114.00,95216.00,80632.00,14584.00
2007:Q4,98280.00,27597.00,26365.00,848.00,384.00,3616.00,67067.00,98280.00,81528.00,16752.00
2008:Q1,95184.00,102650.00,96286.00,4120.00,2244.00,-27524.00,20058.00,95184.00,79928.00,15256.00
2008:Q2,96556.00,76540.00,77276.00,-340.00,-396.00,6052.00,13964.00,96556.00,79988.00,16568.00
2008:Q3,96360.00,98918.00,102790.00,-1168.00,-2704.00,-8440.00,5882.00,96360.00,79800.00,16560.00
2008:Q4,97740.00,70900.00,75664.00,-3560.00,-1204.00,-3556.00,30396.00,97740.00,78332.00,19408.00
2009:Q1,89744.00,56915.00,57771.00,-896.00,40.00,-4148.00,36977.00,89744.00,74248.00,15496.00
2009:Q2,94576.00,61430.00,61290.00,-276.00,416.00,15624.00,17522.00,94576.00,74680.00,19896.00
2009:Q3,89928.00,69834.00,69322.00,480.00,32.00,9252.00,10842.00,89928.00,76404.00,13524.00
2009:Q4,100704.00,89186.00,89030.00,796.00,-640.00,14612.00,-3094.00,100704.00,76660.00,24044.00
2010:Q1,95472.00,70176.00,70428.00,360.00,-612.00,9492.00,15804.00,95472.00,79456.00,16016.00
2010:Q2,102076.00,75307.00,74951.00,800.00,-444.00,1604.00,25165.00,102076.00,82328.00,19748.00
2010:Q3,103244.00,92166.00,88258.00,2656.00,1252.00,-4404.00,15482.00,103244.00,86260.00,16984.00
2010:Q4,107748.00,68627.00,69535.00,-1392.00,484.00,14932.00,24189.00,107748.00,88644.00,19104.00
