1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q4,60129.00,2923.00,55528.00,1498.00,180.00,60129.00,7945.00,0.00,0.00,3087.00,2160.00,24929.00,0.00,15969.00,1214.00,1957.00,321.00,60.00,0.00,1218.00,1269.00
1971:Q1,62312.00,3032.00,57604.00,1484.00,192.00,62312.00,7643.00,0.00,75.00,3230.00,2383.00,26156.00,0.00,16178.00,1170.00,2116.00,435.00,69.00,0.00,1451.00,1406.00
1971:Q2,65052.00,3169.00,60217.00,1463.00,203.00,65052.00,7360.00,0.00,150.00,3316.00,2480.00,28081.00,0.00,16271.00,1039.00,2252.00,585.00,79.00,0.00,1821.00,1618.00
1971:Q3,67399.00,3287.00,62458.00,1445.00,209.00,67399.00,6981.00,0.00,225.00,3373.00,2685.00,29473.00,0.00,16473.00,1008.00,2305.00,808.00,88.00,0.00,2107.00,1873.00
1971:Q4,70094.00,3422.00,65022.00,1426.00,224.00,70094.00,6549.00,0.00,300.00,3486.00,2876.00,31169.00,0.00,16747.00,901.00,2243.00,1140.00,114.00,0.00,2391.00,2178.00
1972:Q1,72680.00,3552.00,67486.00,1401.00,241.00,72680.00,6515.00,0.00,375.00,3548.00,3109.00,32393.00,0.00,16837.00,722.00,2236.00,1400.00,146.00,0.00,2605.00,2794.00
1972:Q2,76046.00,3718.00,70638.00,1383.00,307.00,76046.00,6693.00,0.00,450.00,3622.00,3338.00,34354.00,0.00,16848.00,611.00,2222.00,1593.00,212.00,0.00,2911.00,3192.00
1972:Q3,78834.00,3856.00,73272.00,1362.00,344.00,78834.00,6721.00,0.00,525.00,3674.00,3604.00,36001.00,0.00,16975.00,564.00,2236.00,1869.00,280.00,0.00,2834.00,3551.00
1972:Q4,82876.00,4058.00,77098.00,1340.00,380.00,82876.00,6818.00,0.00,600.00,3768.00,3854.00,37739.00,0.00,17347.00,556.00,2192.00,2119.00,392.00,0.00,3272.00,4219.00
1973:Q1,84593.00,4143.00,78712.00,1318.00,420.00,84593.00,6480.00,0.00,637.00,3751.00,4008.00,38912.00,0.00,17359.00,506.00,2096.00,2374.00,502.00,0.00,3464.00,4504.00
1973:Q2,87957.00,4310.00,81881.00,1300.00,466.00,87957.00,6273.00,0.00,659.00,3787.00,4163.00,40143.00,0.00,17606.00,502.00,2102.00,2948.00,546.00,0.00,3755.00,5473.00
1973:Q3,91127.00,4469.00,84906.00,1284.00,468.00,91127.00,6064.00,0.00,648.00,3929.00,4433.00,41329.00,0.00,17927.00,477.00,2126.00,3481.00,598.00,0.00,3985.00,6130.00
1973:Q4,93191.00,4572.00,86871.00,1269.00,479.00,93191.00,5771.00,0.00,609.00,4066.00,4771.00,42054.00,0.00,18451.00,459.00,2120.00,3963.00,616.00,0.00,3711.00,6600.00
