1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,19140.00,119.00,0.00,0.00,0.00,4632.00,0.00,2498.00,0.00,1549.00,585.00,75.00,29.00,0.00,14285.00,14285.00,0.00,19140.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,20876.00,138.00,0.00,0.00,0.00,5331.00,0.00,2918.00,0.00,1712.00,701.00,105.00,41.00,0.00,15261.00,15261.00,0.00,20876.00
1952:Q1,21475.00,143.00,0.00,0.00,0.00,5572.00,0.00,3070.00,5.00,1751.00,746.00,113.00,44.00,0.00,15603.00,15603.00,0.00,21475.00
1952:Q2,22087.00,148.00,0.00,0.00,0.00,5749.00,0.00,3148.00,10.00,1794.00,797.00,122.00,47.00,0.00,16021.00,16021.00,0.00,22087.00
1952:Q3,22719.00,153.00,0.00,0.00,0.00,6089.00,0.00,3313.00,15.00,1838.00,923.00,131.00,49.00,0.00,16297.00,16297.00,0.00,22719.00
1952:Q4,23362.00,158.00,0.00,0.00,0.00,6287.00,0.00,3374.00,20.00,1883.00,1010.00,141.00,56.00,0.00,16720.00,16720.00,0.00,23362.00
1953:Q1,23930.00,164.00,0.00,0.00,0.00,6561.00,0.00,3465.00,22.00,1933.00,1141.00,152.00,59.00,0.00,16994.00,16994.00,0.00,23930.00
1953:Q2,24516.00,173.00,0.00,0.00,0.00,6932.00,0.00,3655.00,23.00,1986.00,1268.00,163.00,63.00,0.00,17185.00,17185.00,0.00,24516.00
1953:Q3,25122.00,182.00,0.00,0.00,0.00,7291.00,0.00,3830.00,24.00,2042.00,1395.00,175.00,68.00,0.00,17406.00,17406.00,0.00,25122.00
1953:Q4,25741.00,189.00,0.00,0.00,0.00,7514.00,0.00,3860.00,25.00,2103.00,1526.00,188.00,75.00,0.00,17775.00,17775.00,0.00,25741.00
1954:Q1,26451.00,193.00,0.00,0.00,0.00,7898.00,0.00,4043.00,28.00,2166.00,1661.00,202.00,82.00,0.00,18076.00,18076.00,0.00,26451.00
