1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1298.00,35.00,219.00,35.00,31.00,0.00,0.00,153.00,0.00,1044.00,0.00,1298.00,0.00,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1413.00,36.00,224.00,36.00,43.00,0.00,0.00,145.00,0.00,1153.00,0.00,1413.00,0.00,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1516.00,35.00,255.00,35.00,65.00,0.00,0.00,155.00,0.00,1226.00,0.00,1516.00,0.00,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q4,25215.00,307.00,2823.00,307.00,728.00,0.00,0.00,1788.00,0.00,22085.00,0.00,25215.00,0.00,ND,ND,ND,ND,ND
1964:Q1,26881.00,290.00,2894.00,290.00,823.00,0.00,0.00,1781.00,0.00,23697.00,0.00,26881.00,0.00,ND,ND,ND,ND,ND
1964:Q2,27682.00,334.00,3092.00,334.00,831.00,0.00,0.00,1927.00,0.00,24256.00,0.00,27682.00,0.00,ND,ND,ND,ND,ND
1964:Q3,29131.00,263.00,3175.00,263.00,911.00,0.00,0.00,2001.00,0.00,25693.00,0.00,29131.00,0.00,ND,ND,ND,ND,ND
1964:Q4,29116.00,281.00,3197.00,281.00,767.00,0.00,0.00,2149.00,0.00,25638.00,0.00,29116.00,0.00,ND,ND,ND,ND,ND
1965:Q1,30465.00,387.00,3545.00,387.00,824.00,0.00,0.00,2334.00,0.00,26533.00,0.00,30465.00,0.00,ND,ND,ND,ND,ND
1965:Q2,30037.00,405.00,3449.00,405.00,638.00,0.00,0.00,2406.00,0.00,26183.00,0.00,30037.00,0.00,ND,ND,ND,ND,ND
1965:Q3,32825.00,438.00,3822.00,438.00,912.00,0.00,0.00,2472.00,0.00,28565.00,0.00,32825.00,0.00,ND,ND,ND,ND,ND
1965:Q4,35220.00,496.00,3861.00,496.00,811.00,0.00,0.00,2554.00,0.00,30863.00,0.00,35220.00,0.00,ND,ND,ND,ND,ND
1966:Q1,36173.00,493.00,4308.00,493.00,1055.00,0.00,0.00,2760.00,0.00,31372.00,0.00,36173.00,0.00,ND,ND,ND,ND,ND
1966:Q2,35429.00,583.00,4578.00,583.00,1171.00,0.00,0.00,2824.00,0.00,30268.00,0.00,35429.00,0.00,ND,ND,ND,ND,ND
1966:Q3,32224.00,794.00,4950.00,794.00,1449.00,0.00,0.00,2707.00,0.00,26480.00,0.00,32224.00,0.00,ND,ND,ND,ND,ND
1966:Q4,34829.00,767.00,5119.00,767.00,1437.00,0.00,0.00,2915.00,0.00,28943.00,0.00,34829.00,0.00,ND,ND,ND,ND,ND
1967:Q1,39280.00,733.00,4835.00,733.00,1217.00,0.00,0.00,2885.00,0.00,33712.00,0.00,39280.00,0.00,ND,ND,ND,ND,ND
1967:Q2,40429.00,801.00,4363.00,801.00,902.00,0.00,0.00,2660.00,0.00,35265.00,0.00,40429.00,0.00,ND,ND,ND,ND,ND
1967:Q3,43249.00,775.00,4145.00,775.00,694.00,0.00,0.00,2676.00,0.00,38329.00,0.00,43249.00,0.00,ND,ND,ND,ND,ND
1967:Q4,44308.00,823.00,4309.00,823.00,921.00,0.00,0.00,2565.00,0.00,39176.00,0.00,44308.00,0.00,ND,ND,ND,ND,ND
1968:Q1,41949.00,1376.00,4918.00,1376.00,1167.00,0.00,0.00,2375.00,0.00,35655.00,0.00,41949.00,0.00,ND,ND,ND,ND,ND
1968:Q2,47493.00,1113.00,4326.00,1113.00,1047.00,0.00,0.00,2166.00,0.00,42054.00,0.00,47493.00,0.00,ND,ND,ND,ND,ND
1968:Q3,49914.00,1171.00,4654.00,1171.00,1405.00,0.00,0.00,2078.00,0.00,44089.00,0.00,49914.00,0.00,ND,ND,ND,ND,ND
1968:Q4,51232.00,1022.00,4128.00,1022.00,1143.00,0.00,0.00,1963.00,0.00,46082.00,0.00,51232.00,0.00,ND,ND,ND,ND,ND
1969:Q1,50339.00,1380.00,5161.00,1380.00,1571.00,0.00,0.00,2210.00,0.00,43798.00,0.00,50339.00,0.00,ND,ND,ND,ND,ND
1969:Q2,48052.00,1489.00,4760.00,1489.00,959.00,0.00,0.00,2312.00,0.00,41803.00,0.00,48052.00,0.00,ND,ND,ND,ND,ND
1969:Q3,47940.00,1692.00,5334.00,1692.00,1010.00,0.00,0.00,2632.00,0.00,40914.00,0.00,47940.00,0.00,ND,ND,ND,ND,ND
1969:Q4,47588.00,1586.00,5145.00,1586.00,675.00,0.00,0.00,2884.00,0.00,40857.00,0.00,47588.00,0.00,ND,ND,ND,ND,ND
1970:Q1,48369.00,1785.00,5589.00,1785.00,476.00,0.00,0.00,3328.00,0.00,40995.00,0.00,48369.00,0.00,ND,ND,ND,ND,ND
