1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q4,778604.00,7047.00,24150.00,16584.00,182611.00,4937.00,72619.00,21622.00,70524.00,12909.00,533289.00,163900.00,7058.00,279276.00,83055.00,2889.00,0.00,0.00,786.00,11248.00,741915.00,12402.00,192844.00,412949.00,55118.00,16722.00,9264.00,7129.00,2135.00,10615.00,1062.00,384.00,30556.00,10000.00,0.00,20556.00,0.00
1971:Q1,797227.00,7230.00,25932.00,17295.00,192593.00,5358.00,73525.00,23197.00,74896.00,15617.00,534793.00,159626.00,7173.00,284587.00,83407.00,3265.00,0.00,0.00,835.00,15284.00,760700.00,8411.00,179839.00,437427.00,60225.00,18603.00,9795.00,7245.00,2550.00,9690.00,1315.00,389.00,35006.00,11000.00,0.00,24006.00,0.00
1971:Q2,822845.00,7634.00,24550.00,16941.00,198897.00,5067.00,72217.00,26635.00,78160.00,16818.00,554950.00,166639.00,7645.00,293518.00,87148.00,3287.00,0.00,0.00,886.00,15700.00,786079.00,7051.00,192148.00,455182.00,60041.00,20520.00,10359.00,7721.00,2638.00,7241.00,860.00,395.00,32283.00,12000.00,0.00,20283.00,0.00
1971:Q3,844297.00,8100.00,25424.00,19012.00,201032.00,5236.00,69615.00,27754.00,80275.00,18152.00,571095.00,167620.00,8148.00,304653.00,90674.00,3395.00,0.00,0.00,940.00,15299.00,808580.00,5992.00,189570.00,465851.00,64470.00,22511.00,11004.00,8229.00,2775.00,7637.00,993.00,401.00,40151.00,14000.00,0.00,26151.00,0.00
1971:Q4,881611.00,7541.00,27788.00,21079.00,212494.00,5449.00,75389.00,29592.00,83351.00,18713.00,591489.00,175266.00,7889.00,314561.00,93773.00,3585.00,0.00,0.00,998.00,16637.00,843960.00,5500.00,206401.00,481319.00,68591.00,24732.00,10958.00,7968.00,2990.00,7936.00,1080.00,434.00,37010.00,15000.00,0.00,22010.00,0.00
1972:Q1,903037.00,8050.00,28471.00,22378.00,217590.00,4887.00,73559.00,31882.00,86017.00,21245.00,603907.00,176304.00,7985.00,324428.00,95190.00,3923.00,0.00,0.00,1059.00,17659.00,866075.00,1789.00,196046.00,505099.00,69771.00,28371.00,11551.00,8065.00,3486.00,5992.00,1054.00,440.00,45962.00,16000.00,0.00,29962.00,0.00
1972:Q2,932942.00,6799.00,27482.00,22316.00,219351.00,4709.00,70550.00,33585.00,87827.00,22680.00,631886.00,185671.00,7069.00,338354.00,100792.00,4020.00,0.00,0.00,1124.00,19964.00,896461.00,3513.00,199787.00,519938.00,75837.00,31366.00,10763.00,7140.00,3623.00,6075.00,749.00,445.00,47988.00,17000.00,0.00,30988.00,0.00
1972:Q3,962110.00,8840.00,26692.00,25334.00,222877.00,4569.00,70679.00,34834.00,89994.00,22801.00,654798.00,189833.00,6602.00,353537.00,104826.00,4185.00,0.00,0.00,1193.00,18191.00,926293.00,2189.00,203835.00,534569.00,81894.00,33308.00,10428.00,6668.00,3760.00,6736.00,894.00,450.00,51990.00,19000.00,0.00,32990.00,0.00
1972:Q4,1012640.00,8648.00,25647.00,27902.00,234080.00,5468.00,77289.00,37652.00,90998.00,22673.00,689899.00,206045.00,6898.00,367843.00,109113.00,4608.00,0.00,0.00,1266.00,20590.00,977946.00,2239.00,226515.00,550998.00,87380.00,34930.00,11094.00,6967.00,4127.00,7979.00,906.00,495.00,55411.00,21000.00,0.00,34411.00,0.00
1973:Q1,1040135.00,8889.00,26873.00,30076.00,229039.00,4375.00,71273.00,38710.00,91816.00,22865.00,718130.00,217668.00,6859.00,380251.00,113352.00,4463.00,0.00,0.00,1344.00,21321.00,1002803.00,-352.00,211158.00,570053.00,100228.00,40862.00,10987.00,6928.00,4059.00,8420.00,1242.00,500.00,59705.00,21000.00,0.00,38705.00,0.00
