1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,39904.00,19570.00,337.00,829.00,4590.00,938.00,42.00,0.00,0.00,12834.00,0.00,0.00,786.00,197.00,400.00,583.00,0.00,0.00,0.00,4747.00,380.00,4367.00,1537.00,1537.00,0.00,0.00,0.00,0.00,0.00,2073.00,0.00,48.00,2025.00,0.00,0.00,0.00,5975.00,5378.00,598.00,3901.00,3901.00,1118.00,1118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q3,39977.00,19723.00,373.00,800.00,4564.00,981.00,35.00,0.00,0.00,12970.00,0.00,0.00,763.00,191.00,407.00,547.00,0.00,0.00,0.00,4864.00,390.00,4474.00,1795.00,1795.00,0.00,0.00,0.00,0.00,0.00,2136.00,0.00,50.00,2086.00,0.00,0.00,0.00,5727.00,5154.00,573.00,3747.00,3747.00,1031.00,1031.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q4,39688.00,19677.00,415.00,797.00,4511.00,1035.00,139.00,0.00,0.00,12780.00,0.00,0.00,921.00,230.00,593.00,558.00,0.00,0.00,0.00,5018.00,400.00,4618.00,2134.00,2134.00,0.00,0.00,0.00,0.00,0.00,2012.00,0.00,44.00,1968.00,0.00,0.00,0.00,6281.00,5653.00,628.00,3773.00,3773.00,-358.00,-358.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q1,40191.00,19945.00,434.00,802.00,4535.00,1073.00,232.00,0.00,0.00,12869.00,0.00,0.00,1093.00,273.00,709.00,657.00,0.00,0.00,0.00,5196.00,410.00,4786.00,1520.00,1520.00,0.00,0.00,0.00,0.00,0.00,2105.00,0.00,50.00,2055.00,0.00,0.00,0.00,7320.00,6588.00,732.00,3460.00,3460.00,-721.00,-721.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q2,41605.00,20177.00,503.00,971.00,4505.00,1171.00,0.00,0.00,0.00,13027.00,0.00,0.00,1106.00,276.00,560.00,822.00,0.00,0.00,0.00,5391.00,425.00,4966.00,1770.00,1770.00,0.00,0.00,0.00,0.00,0.00,2249.00,0.00,57.00,2192.00,0.00,0.00,0.00,8026.00,7223.00,803.00,3507.00,3507.00,-897.00,-897.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q3,42199.00,20310.00,552.00,852.00,4525.00,1250.00,56.00,0.00,0.00,13075.00,0.00,0.00,1334.00,334.00,638.00,1030.00,0.00,0.00,0.00,5542.00,430.00,5112.00,1736.00,1736.00,0.00,0.00,0.00,0.00,0.00,2281.00,0.00,57.00,2224.00,0.00,0.00,0.00,7617.00,6855.00,762.00,3585.00,3585.00,-540.00,-540.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q4,44153.00,20438.00,581.00,875.00,4507.00,1240.00,37.00,0.00,0.00,13198.00,0.00,0.00,1622.00,405.00,834.00,1193.00,0.00,0.00,0.00,5671.00,440.00,5231.00,1981.00,1981.00,0.00,0.00,0.00,0.00,0.00,2150.00,0.00,51.00,2099.00,0.00,0.00,0.00,8189.00,7370.00,819.00,3649.00,3649.00,48.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q1,44233.00,20964.00,627.00,871.00,4670.00,1290.00,13.00,0.00,0.00,13493.00,0.00,0.00,1785.00,446.00,787.00,1444.00,0.00,0.00,0.00,5823.00,450.00,5373.00,1477.00,1477.00,0.00,0.00,0.00,0.00,0.00,2291.00,0.00,56.00,2235.00,0.00,0.00,0.00,8032.00,7229.00,803.00,4022.00,4022.00,-607.00,-607.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q2,45917.00,20696.00,659.00,1043.00,4617.00,1403.00,0.00,0.00,0.00,12974.00,0.00,0.00,1817.00,454.00,672.00,1599.00,0.00,0.00,0.00,5998.00,475.00,5523.00,1869.00,1869.00,0.00,0.00,0.00,0.00,0.00,2426.00,0.00,63.00,2363.00,0.00,0.00,0.00,8092.00,7283.00,809.00,4482.00,4482.00,83.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q3,46004.00,21290.00,718.00,997.00,4697.00,1441.00,9.00,0.00,0.00,13428.00,0.00,0.00,1938.00,484.00,701.00,1721.00,0.00,0.00,0.00,6120.00,486.00,5634.00,2124.00,2124.00,0.00,0.00,0.00,0.00,0.00,2488.00,0.00,65.00,2423.00,0.00,0.00,0.00,7721.00,6949.00,772.00,4441.00,4441.00,-602.00,-602.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
