1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q1,149028.00,29398.00,926.00,0.00,282.00,28190.00,117734.00,4160.00,2106.00,111468.00,1168.00,254.00,914.00,716.00,12.00,149028.00,75534.00,44677.00,26661.00,18016.00,5382.00,7622.00,5420.00,1337.00,1232.00,568.00,251.00,0.00,81.00,1309.00,0.00,642.00,2642.00,2642.00,0.00,7751.00
1961:Q2,151975.00,30550.00,787.00,0.00,256.00,29507.00,119417.00,6362.00,2002.00,111053.00,1247.00,260.00,987.00,749.00,12.00,151975.00,73877.00,46035.00,27971.00,18064.00,7457.00,7472.00,5594.00,1344.00,1270.00,601.00,260.00,0.00,115.00,1344.00,0.00,660.00,2518.00,2518.00,0.00,9022.00
1961:Q3,155416.00,30060.00,901.00,0.00,369.00,28790.00,123369.00,7750.00,2136.00,113483.00,1192.00,239.00,953.00,783.00,12.00,155416.00,76806.00,46242.00,28109.00,18133.00,9428.00,7271.00,5739.00,1354.00,1309.00,635.00,269.00,0.00,115.00,1381.00,0.00,676.00,2744.00,2744.00,0.00,7186.00
1961:Q4,162367.00,31412.00,887.00,0.00,294.00,30231.00,128898.00,5946.00,2586.00,120366.00,1229.00,218.00,1011.00,815.00,13.00,162367.00,76992.00,50046.00,31884.00,18162.00,7055.00,8161.00,6007.00,1365.00,1392.00,660.00,277.00,0.00,207.00,1418.00,0.00,688.00,3098.00,3098.00,0.00,11008.00
1962:Q1,154500.00,30221.00,899.00,0.00,262.00,29060.00,122141.00,6260.00,2884.00,112997.00,1280.00,235.00,1045.00,845.00,13.00,154500.00,75249.00,46599.00,28422.00,18177.00,7435.00,7977.00,5803.00,1388.00,1219.00,677.00,285.00,0.00,103.00,1441.00,0.00,690.00,3381.00,3381.00,0.00,8056.00
1962:Q2,158642.00,31929.00,991.00,0.00,353.00,30585.00,124503.00,9554.00,2814.00,112135.00,1323.00,253.00,1070.00,873.00,14.00,158642.00,73123.00,47866.00,29680.00,18186.00,10910.00,8189.00,5911.00,1422.00,1213.00,687.00,294.00,0.00,148.00,1464.00,0.00,683.00,3420.00,3420.00,0.00,9223.00
1962:Q3,157533.00,30769.00,916.00,0.00,273.00,29580.00,124605.00,8090.00,2364.00,114151.00,1242.00,224.00,1018.00,903.00,14.00,157533.00,75484.00,48647.00,30463.00,18184.00,9864.00,7841.00,6030.00,1454.00,1289.00,695.00,302.00,0.00,134.00,1488.00,0.00,668.00,2861.00,2861.00,0.00,6806.00
1962:Q4,167739.00,32090.00,977.00,0.00,292.00,30821.00,133502.00,7158.00,2740.00,123604.00,1194.00,201.00,993.00,938.00,15.00,167739.00,77233.00,52949.00,34786.00,18163.00,8098.00,8223.00,6330.00,1471.00,1457.00,707.00,307.00,0.00,227.00,1513.00,0.00,648.00,3233.00,3233.00,0.00,11673.00
1963:Q1,159341.00,31740.00,1291.00,0.00,219.00,30230.00,125495.00,7330.00,2470.00,115695.00,1113.00,225.00,888.00,978.00,15.00,159341.00,78438.00,46130.00,27991.00,18139.00,8646.00,8097.00,5972.00,1473.00,1230.00,721.00,311.00,0.00,107.00,1478.00,0.00,652.00,2914.00,2914.00,0.00,9144.00
1963:Q2,165104.00,33381.00,1175.00,0.00,219.00,31987.00,129557.00,11060.00,2804.00,115693.00,1127.00,227.00,900.00,1023.00,16.00,165104.00,77301.00,47496.00,29408.00,18088.00,12595.00,8263.00,6046.00,1462.00,1246.00,735.00,313.00,0.00,193.00,1442.00,0.00,655.00,3250.00,3250.00,0.00,10153.00
