1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q1,417227.00,385193.00,370472.00,121.00,519.00,14081.00,32035.00,30431.00,1085.00,519.00,0.00,417227.00,382294.00,4548.00,4348.00,200.00,180.00,14796.00,6402.00,5646.00,138.00,0.00,0.00,618.00,0.00,9007.00
1970:Q2,429357.00,393565.00,378325.00,130.00,537.00,14573.00,35793.00,34090.00,1166.00,537.00,0.00,429357.00,390486.00,5911.00,5311.00,600.00,202.00,16939.00,6706.00,5866.00,209.00,0.00,0.00,631.00,0.00,9113.00
1970:Q3,449677.00,399943.00,384450.00,137.00,552.00,14804.00,49735.00,47955.00,1228.00,552.00,0.00,449677.00,408317.00,6325.00,5325.00,1000.00,360.00,19729.00,6913.00,6099.00,167.00,0.00,0.00,647.00,0.00,8033.00
1970:Q4,468066.00,412949.00,396791.00,141.00,567.00,15450.00,55118.00,53284.00,1267.00,567.00,0.00,468066.00,423525.00,6747.00,5347.00,1400.00,463.00,23012.00,7194.00,6315.00,213.00,0.00,0.00,666.00,0.00,7125.00
1971:Q1,497652.00,437427.00,420498.00,146.00,560.00,16223.00,60225.00,58347.00,1318.00,560.00,0.00,497652.00,447207.00,9344.00,7544.00,1800.00,480.00,25946.00,7485.00,6567.00,233.00,0.00,0.00,685.00,0.00,7190.00
1971:Q2,515222.00,455182.00,437418.00,150.00,555.00,17059.00,60041.00,58134.00,1352.00,555.00,0.00,515222.00,462733.00,11024.00,8824.00,2200.00,517.00,26041.00,7648.00,6765.00,180.00,0.00,0.00,703.00,0.00,7259.00
1971:Q3,530321.00,465851.00,447534.00,162.00,610.00,17545.00,64470.00,62406.00,1454.00,610.00,0.00,530321.00,475887.00,11865.00,9265.00,2600.00,530.00,26752.00,7927.00,7033.00,174.00,0.00,0.00,720.00,0.00,7360.00
1971:Q4,549909.00,481319.00,462194.00,167.00,643.00,18315.00,68591.00,66447.00,1501.00,643.00,0.00,549909.00,491035.00,12509.00,9509.00,3000.00,520.00,30236.00,8155.00,7270.00,148.00,0.00,0.00,737.00,0.00,7454.00
1972:Q1,574870.00,505099.00,485008.00,177.00,626.00,19288.00,69771.00,67557.00,1588.00,626.00,0.00,574870.00,511194.00,15140.00,11740.00,3400.00,500.00,31781.00,8305.00,7513.00,39.00,0.00,0.00,753.00,0.00,7950.00
1972:Q2,595775.00,519938.00,498971.00,184.00,610.00,20173.00,75837.00,73570.00,1657.00,610.00,0.00,595775.00,529210.00,16124.00,12324.00,3800.00,492.00,33077.00,8624.00,7821.00,33.00,0.00,0.00,770.00,0.00,8248.00
1972:Q3,616463.00,534569.00,513103.00,157.00,661.00,20648.00,81894.00,79823.00,1410.00,661.00,0.00,616463.00,548959.00,15141.00,10941.00,4200.00,610.00,33335.00,9006.00,8155.00,65.00,0.00,0.00,786.00,0.00,9412.00
1972:Q4,638377.00,550998.00,528462.00,247.00,713.00,21576.00,87380.00,84499.00,2168.00,713.00,0.00,638377.00,564227.00,16490.00,11890.00,4600.00,606.00,36970.00,9504.00,8511.00,191.00,0.00,0.00,802.00,0.00,10580.00
1973:Q1,670281.00,570053.00,546331.00,287.00,719.00,22716.00,100228.00,96994.00,2515.00,719.00,0.00,670281.00,587526.00,20589.00,15583.00,5006.00,770.00,39845.00,10013.00,8891.00,304.00,0.00,0.00,818.00,0.00,11538.00
1973:Q2,689939.00,582582.00,557681.00,299.00,700.00,23902.00,107357.00,104109.00,2548.00,700.00,0.00,689939.00,602598.00,23290.00,17879.00,5411.00,730.00,40305.00,10494.00,9232.00,429.00,0.00,0.00,833.00,0.00,12522.00
1973:Q3,704776.00,577997.00,552978.00,335.00,747.00,23937.00,126780.00,123165.00,2868.00,747.00,0.00,704776.00,615196.00,23084.00,17271.00,5813.00,590.00,42077.00,11189.00,9680.00,660.00,0.00,0.00,849.00,0.00,12640.00
1973:Q4,716793.00,590352.00,564750.00,363.00,784.00,24455.00,126442.00,122645.00,3013.00,784.00,0.00,716793.00,624850.00,22836.00,16623.00,6213.00,439.00,43585.00,11691.00,10027.00,800.00,0.00,0.00,864.00,0.00,13392.00
