1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q2,579.00,333.00,2076.00,-64.00,0.00,0.00,1300.00,0.00,-1152.00,160.00,1668.00,624.00,20.00,472.00,0.00,268.00,80.00,0.00,1872.00,0.00,88.00,0.00,-292.00,4.00,2072.00,0.00,2072.00,42.00
1967:Q3,703.00,332.00,1940.00,-56.00,0.00,0.00,1348.00,0.00,-40.00,-992.00,1680.00,700.00,20.00,268.00,0.00,276.00,84.00,0.00,2256.00,0.00,108.00,0.00,-4.00,4.00,2148.00,0.00,2148.00,687.00
1967:Q4,859.00,341.00,2340.00,-24.00,0.00,0.00,1540.00,0.00,-156.00,-508.00,1348.00,856.00,16.00,412.00,0.00,304.00,92.00,0.00,2240.00,0.00,152.00,0.00,-12.00,4.00,2096.00,0.00,2096.00,418.00
1968:Q1,743.00,346.00,2668.00,48.00,0.00,0.00,1784.00,0.00,-464.00,152.00,1048.00,1048.00,12.00,440.00,0.00,284.00,100.00,0.00,2596.00,0.00,184.00,0.00,120.00,4.00,2288.00,0.00,2288.00,325.00
1968:Q2,649.00,348.00,2956.00,108.00,0.00,0.00,2016.00,0.00,-652.00,624.00,776.00,1268.00,8.00,440.00,0.00,280.00,104.00,0.00,2384.00,0.00,200.00,0.00,-144.00,4.00,2324.00,0.00,2324.00,-272.00
1968:Q3,589.00,357.00,3584.00,108.00,0.00,0.00,2040.00,0.00,-48.00,80.00,728.00,1280.00,8.00,1020.00,0.00,296.00,112.00,0.00,2836.00,0.00,252.00,0.00,96.00,4.00,2484.00,0.00,2484.00,-516.00
1968:Q4,366.00,374.00,3476.00,44.00,0.00,0.00,1848.00,0.00,-248.00,116.00,892.00,1088.00,4.00,1120.00,0.00,340.00,120.00,0.00,2964.00,0.00,352.00,0.00,-160.00,4.00,2768.00,0.00,2768.00,-521.00
1969:Q1,823.00,374.00,3296.00,-4.00,0.00,0.00,1668.00,0.00,-608.00,364.00,992.00,920.00,8.00,1112.00,0.00,384.00,128.00,0.00,3964.00,0.00,464.00,0.00,128.00,4.00,3368.00,0.00,3368.00,1117.00
1969:Q2,305.00,387.00,2856.00,-56.00,0.00,0.00,1164.00,0.00,632.00,-976.00,1028.00,480.00,4.00,1176.00,0.00,432.00,136.00,0.00,3912.00,0.00,596.00,0.00,-24.00,8.00,3332.00,0.00,3332.00,974.00
1969:Q3,103.00,408.00,2648.00,-64.00,0.00,0.00,1812.00,0.00,-1840.00,1504.00,1108.00,1040.00,4.00,300.00,0.00,448.00,148.00,0.00,3568.00,0.00,616.00,0.00,172.00,8.00,2772.00,0.00,2772.00,615.00
1969:Q4,163.00,418.00,3684.00,-40.00,0.00,0.00,1804.00,0.00,-124.00,-112.00,1244.00,796.00,12.00,1328.00,0.00,424.00,156.00,0.00,4364.00,0.00,520.00,0.00,-72.00,8.00,3908.00,0.00,3908.00,425.00
1970:Q1,219.00,452.00,5164.00,68.00,0.00,0.00,3088.00,0.00,-392.00,276.00,1268.00,1936.00,32.00,1356.00,0.00,452.00,168.00,0.00,4008.00,0.00,428.00,0.00,184.00,8.00,3388.00,0.00,3388.00,-1389.00
1970:Q2,621.00,462.00,5024.00,136.00,0.00,0.00,3048.00,0.00,-432.00,396.00,1188.00,1896.00,48.00,1148.00,0.00,464.00,180.00,0.00,3568.00,0.00,344.00,0.00,-188.00,8.00,3404.00,0.00,3404.00,-1297.00
1970:Q3,1478.00,466.00,5104.00,144.00,0.00,0.00,4172.00,0.00,584.00,-580.00,1484.00,2684.00,52.00,68.00,0.00,476.00,192.00,0.00,3912.00,0.00,352.00,0.00,128.00,8.00,3424.00,0.00,3424.00,-180.00
1970:Q4,1916.00,452.00,7072.00,96.00,0.00,0.00,4864.00,0.00,40.00,-40.00,2160.00,2704.00,48.00,1364.00,0.00,496.00,204.00,0.00,4056.00,0.00,448.00,0.00,144.00,8.00,3456.00,0.00,3456.00,-1552.00
1971:Q1,2091.00,460.00,5492.00,92.00,0.00,0.00,3804.00,0.00,-280.00,304.00,2800.00,980.00,0.00,1084.00,0.00,292.00,220.00,0.00,4132.00,0.00,544.00,0.00,136.00,8.00,3444.00,0.00,3444.00,271.00
1971:Q2,1983.00,475.00,7220.00,84.00,0.00,0.00,3812.00,0.00,-432.00,480.00,3416.00,348.00,-20.00,2996.00,0.00,112.00,236.00,0.00,4124.00,0.00,640.00,0.00,132.00,8.00,3344.00,0.00,3344.00,-1588.00
1971:Q3,2030.00,485.00,7248.00,72.00,0.00,0.00,3808.00,0.00,-160.00,228.00,3768.00,-28.00,-28.00,2948.00,0.00,200.00,248.00,0.00,4128.00,0.00,648.00,0.00,-48.00,8.00,3520.00,0.00,3520.00,-1575.00
1971:Q4,2065.00,503.00,7476.00,60.00,0.00,0.00,3772.00,0.00,12.00,64.00,3856.00,-160.00,-40.00,2856.00,0.00,560.00,268.00,0.00,4152.00,0.00,564.00,0.00,-392.00,8.00,3972.00,0.00,3972.00,-1762.00
1972:Q1,2156.00,434.00,7404.00,48.00,0.00,0.00,3812.00,0.00,-512.00,612.00,4108.00,-396.00,-32.00,2352.00,0.00,936.00,288.00,0.00,5184.00,0.00,496.00,0.00,264.00,8.00,4416.00,0.00,4416.00,-498.00
1972:Q2,2382.00,445.00,8284.00,40.00,0.00,0.00,3904.00,0.00,-676.00,816.00,4524.00,-760.00,-44.00,2740.00,0.00,1336.00,308.00,0.00,5248.00,0.00,432.00,0.00,-56.00,8.00,4864.00,0.00,4864.00,-1099.00
1972:Q3,2745.00,457.00,9016.00,24.00,0.00,0.00,3776.00,0.00,-516.00,644.00,4548.00,-900.00,-44.00,3552.00,0.00,1380.00,328.00,0.00,5660.00,0.00,424.00,0.00,188.00,8.00,5040.00,0.00,5040.00,-1068.00
1972:Q4,2502.00,477.00,7984.00,12.00,0.00,0.00,3412.00,0.00,576.00,-508.00,4176.00,-832.00,-48.00,3184.00,0.00,1072.00,352.00,0.00,5520.00,0.00,472.00,0.00,84.00,8.00,4956.00,0.00,4956.00,-439.00
1973:Q1,2236.00,566.00,6996.00,0.00,0.00,0.00,3480.00,0.00,-668.00,652.00,3948.00,-452.00,-20.00,2328.00,0.00,832.00,376.00,0.00,5404.00,0.00,492.00,0.00,104.00,28.00,4780.00,0.00,4780.00,78.00
1973:Q2,2166.00,597.00,6692.00,-24.00,0.00,0.00,3240.00,0.00,-240.00,112.00,3868.00,-500.00,-12.00,2416.00,0.00,672.00,400.00,0.00,5128.00,0.00,480.00,0.00,-128.00,28.00,4748.00,0.00,4748.00,5.00
1973:Q3,1733.00,620.00,7048.00,-20.00,0.00,0.00,3348.00,0.00,256.00,-348.00,3600.00,-160.00,-8.00,2736.00,0.00,564.00,428.00,0.00,5408.00,0.00,532.00,0.00,88.00,28.00,4760.00,0.00,4760.00,-527.00
1973:Q4,1221.00,638.00,6720.00,-8.00,0.00,0.00,3776.00,0.00,396.00,-328.00,3152.00,556.00,-20.00,2008.00,0.00,504.00,460.00,0.00,5476.00,0.00,648.00,0.00,-12.00,28.00,4812.00,0.00,4812.00,-661.00
1974:Q1,921.00,700.00,6344.00,28.00,0.00,0.00,4240.00,0.00,-288.00,568.00,2624.00,1336.00,-8.00,976.00,0.00,616.00,492.00,0.00,5464.00,0.00,756.00,0.00,140.00,-308.00,4876.00,0.00,4876.00,-659.00
1974:Q2,740.00,723.00,5424.00,48.00,0.00,0.00,4668.00,0.00,-820.00,1316.00,2032.00,2140.00,-8.00,-308.00,0.00,500.00,524.00,0.00,5392.00,0.00,864.00,0.00,-128.00,-308.00,4964.00,0.00,4964.00,-15.00
1974:Q3,652.00,754.00,4988.00,56.00,0.00,0.00,4804.00,0.00,-140.00,636.00,1904.00,2404.00,-4.00,-912.00,0.00,484.00,560.00,0.00,5628.00,0.00,916.00,0.00,84.00,-308.00,4936.00,0.00,4936.00,538.00
1974:Q4,871.00,787.00,4176.00,84.00,0.00,0.00,4700.00,0.00,1340.00,-1040.00,2240.00,2160.00,-16.00,-1732.00,0.00,540.00,600.00,0.00,5392.00,0.00,916.00,0.00,-16.00,-308.00,4800.00,0.00,4800.00,1300.00
1975:Q1,98.00,935.00,6788.00,-676.00,0.00,0.00,6768.00,0.00,1240.00,1132.00,2376.00,2020.00,-24.00,-572.00,0.00,648.00,644.00,0.00,6760.00,0.00,928.00,0.00,108.00,180.00,5544.00,0.00,5544.00,-865.00
1975:Q2,8.00,933.00,5816.00,172.00,0.00,0.00,5944.00,0.00,1356.00,-196.00,2316.00,2468.00,84.00,-1780.00,0.00,708.00,688.00,0.00,6544.00,0.00,968.00,0.00,-132.00,180.00,5528.00,0.00,5528.00,-197.00
1975:Q3,704.00,939.00,8152.00,288.00,0.00,0.00,7012.00,0.00,1944.00,-340.00,2580.00,2828.00,76.00,-624.00,0.00,668.00,732.00,0.00,7416.00,0.00,976.00,0.00,60.00,180.00,6200.00,0.00,6200.00,-971.00
1975:Q4,405.00,948.00,11436.00,616.00,0.00,0.00,9368.00,0.00,2900.00,1892.00,3172.00,1404.00,120.00,-20.00,0.00,568.00,784.00,0.00,8700.00,0.00,964.00,0.00,-16.00,188.00,7564.00,0.00,7564.00,-3280.00
1976:Q1,1149.00,936.00,16544.00,-780.00,0.00,0.00,15128.00,0.00,2960.00,1088.00,5452.00,5628.00,0.00,328.00,0.00,1028.00,840.00,0.00,10252.00,0.00,896.00,0.00,128.00,260.00,8968.00,0.00,8968.00,-6079.00
