1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1989:Q2,10120025.00,3211933.00,2143370.00,787208.00,3544286.00,2376516.00,2454316.00,909489.00,2375895.00,384611.00
1989:Q3,10282057.00,3276345.00,2205094.00,796149.00,3584223.00,2405111.00,2500028.00,921461.00,2409149.00,385863.00
1989:Q4,10482852.00,3347649.00,2260115.00,809285.00,3644318.00,2454124.00,2550522.00,940363.00,2479072.00,389152.00
1990:Q1,10713107.00,3437311.00,2341358.00,813793.00,3698371.00,2502277.00,2618661.00,958764.00,2517849.00,384150.00
1990:Q2,10879326.00,3496289.00,2395950.00,818310.00,3732195.00,2537969.00,2681731.00,969112.00,2567283.00,395086.00
1990:Q3,11042889.00,3555911.00,2443875.00,826225.00,3758024.00,2563996.00,2753929.00,975024.00,2607801.00,397722.00
1990:Q4,11198601.00,3606609.00,2489255.00,824391.00,3773802.00,2583285.00,2830770.00,987420.00,2694509.00,396190.00
1991:Q1,11292817.00,3653636.00,2538672.00,824860.00,3750337.00,2564082.00,2889145.00,999699.00,2732815.00,409468.00
1991:Q2,11437741.00,3710750.00,2594093.00,822851.00,3750409.00,2564232.00,2961398.00,1015185.00,2763723.00,393271.00
1991:Q3,11572475.00,3749819.00,2614390.00,818093.00,3719483.00,2550027.00,3062723.00,1040450.00,2803043.00,400236.00
1991:Q4,11722456.00,3810087.00,2667356.00,815581.00,3686411.00,2524448.00,3147363.00,1078595.00,2884420.00,406185.00
1992:Q1,11865017.00,3860250.00,2716521.00,817269.00,3688446.00,2531063.00,3238034.00,1078287.00,2939420.00,405074.00
1992:Q2,11993208.00,3898636.00,2745225.00,815377.00,3682001.00,2532165.00,3328872.00,1083699.00,3017008.00,421199.00
1992:Q3,12152562.00,3947048.00,2791385.00,818575.00,3684035.00,2542702.00,3423745.00,1097733.00,3087730.00,425314.00
1992:Q4,12278172.00,4012830.00,2840356.00,824769.00,3679116.00,2543603.00,3491131.00,1095095.00,3129876.00,425807.00
1993:Q1,12416046.00,4058394.00,2864936.00,832774.00,3696281.00,2570412.00,3550017.00,1111355.00,3202760.00,434167.00
1993:Q2,12622018.00,4118935.00,2914439.00,843397.00,3730710.00,2608857.00,3641160.00,1131213.00,3265904.00,448869.00
1993:Q3,12826021.00,4198179.00,2956935.00,860654.00,3766852.00,2650470.00,3709639.00,1151351.00,3371825.00,479888.00
1993:Q4,13020044.00,4277444.00,2999034.00,886169.00,3805227.00,2690367.00,3784333.00,1153040.00,3461980.00,520572.00
1994:Q1,13173074.00,4349339.00,3041439.00,912689.00,3865825.00,2749813.00,3809948.00,1147963.00,3614215.00,488114.00
