date,FU893065105.Q,FU153165105.Q,FU103165105.Q,FU113165105.Q,FU893065105.Q,FU153065103.Q,FU103065105.Q,FU113065103.Q,FU313065105.Q,FU213065103.Q,FU763065105.Q,FU753065103.Q,FU743065103.Q,FU473065100.Q,FU543065105.Q,FU573065103.Q,FU223065143.Q,FU403065105.Q,FU413065105.Q,FU673065105.Q,FU613065105.Q,FU643065105.Q,FV893065153.Q,FU893065125.Q,FU763065125.Q,FU753065203.Q,FU473065125.Q,FU673065123.Q,FU613065123.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q1,3556.00,3556.00,0.00,0.00,3556.00,289.00,0.00,0.00,-27.00,2.00,2588.00,0.00,16.00,139.00,328.00,62.00,77.00,33.00,0.00,0.00,49.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1965:Q2,4438.00,4438.00,0.00,0.00,4438.00,440.00,0.00,0.00,-96.00,1.00,3521.00,0.00,19.00,-3.00,167.00,113.00,86.00,30.00,0.00,0.00,160.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1965:Q3,4713.00,4713.00,0.00,0.00,4713.00,100.00,0.00,0.00,-12.00,1.00,3921.00,0.00,19.00,-81.00,187.00,54.00,91.00,105.00,23.00,0.00,305.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1965:Q4,4407.00,4407.00,0.00,0.00,4407.00,418.00,0.00,0.00,12.00,5.00,3200.00,0.00,15.00,-79.00,382.00,37.00,91.00,356.00,27.00,0.00,-57.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1966:Q1,3569.00,3569.00,0.00,0.00,3569.00,-388.00,0.00,0.00,95.00,9.00,2471.00,0.00,11.00,246.00,260.00,51.00,93.00,751.00,34.00,0.00,-64.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1966:Q2,3874.00,3874.00,0.00,0.00,3874.00,487.00,0.00,0.00,126.00,14.00,2572.00,0.00,7.00,-49.00,177.00,31.00,100.00,438.00,38.00,0.00,-67.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1966:Q3,3040.00,3040.00,0.00,0.00,3040.00,366.00,0.00,0.00,208.00,13.00,1986.00,0.00,6.00,-121.00,57.00,47.00,97.00,369.00,66.00,0.00,-54.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1966:Q4,2470.00,2470.00,0.00,0.00,2470.00,589.00,0.00,0.00,208.00,8.00,1318.00,0.00,9.00,-68.00,150.00,85.00,83.00,318.00,78.00,0.00,-308.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1967:Q1,1605.00,1605.00,0.00,0.00,1605.00,455.00,0.00,0.00,150.00,2.00,609.00,0.00,14.00,1.00,10.00,31.00,78.00,206.00,90.00,0.00,-41.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1967:Q2,2855.00,2855.00,0.00,0.00,2855.00,222.00,0.00,0.00,88.00,-3.00,2214.00,0.00,18.00,-7.00,-171.00,-11.00,79.00,-10.00,102.00,0.00,334.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1967:Q3,4471.00,4471.00,0.00,0.00,4471.00,337.00,0.00,0.00,225.00,-4.00,3454.00,0.00,18.00,-3.00,-225.00,34.00,38.00,401.00,93.00,0.00,103.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1967:Q4,4427.00,4427.00,0.00,0.00,4427.00,536.00,0.00,0.00,253.00,-3.00,3143.00,0.00,13.00,-41.00,-84.00,9.00,38.00,530.00,101.00,0.00,-68.00,0.00,0.00,ND,ND,ND,ND,ND,ND
