1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q2,404.00,0.00,0.00,404.00,404.00,0.00,0.00,0.00,0.00,0.00,0.00,404.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,404.00,0.00,0.00,404.00
1965:Q3,437.00,0.00,0.00,437.00,437.00,0.00,0.00,0.00,0.00,0.00,0.00,437.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,437.00,0.00,0.00,437.00
1965:Q4,496.00,0.00,0.00,496.00,496.00,0.00,0.00,0.00,0.00,0.00,0.00,496.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,496.00,0.00,0.00,496.00
1966:Q1,493.00,0.00,0.00,493.00,493.00,0.00,0.00,0.00,0.00,0.00,0.00,493.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,493.00,0.00,0.00,493.00
1966:Q2,583.00,0.00,0.00,583.00,583.00,0.00,0.00,0.00,0.00,0.00,0.00,583.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,583.00,0.00,0.00,583.00
1966:Q3,793.00,0.00,0.00,793.00,793.00,0.00,0.00,0.00,0.00,0.00,0.00,793.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,793.00,0.00,0.00,793.00
1966:Q4,767.00,0.00,0.00,767.00,767.00,0.00,0.00,0.00,0.00,0.00,0.00,767.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,767.00,0.00,0.00,767.00
1967:Q1,732.00,0.00,0.00,732.00,732.00,0.00,0.00,0.00,0.00,0.00,0.00,732.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,732.00,0.00,0.00,732.00
1967:Q2,800.00,0.00,0.00,800.00,800.00,0.00,0.00,0.00,0.00,0.00,0.00,800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800.00,0.00,0.00,800.00
1967:Q3,775.00,0.00,0.00,775.00,775.00,0.00,0.00,0.00,0.00,0.00,0.00,775.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,775.00,0.00,0.00,775.00
1967:Q4,822.00,0.00,0.00,822.00,822.00,0.00,0.00,0.00,0.00,0.00,0.00,822.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,822.00,0.00,0.00,822.00
1968:Q1,1376.00,0.00,0.00,1376.00,1376.00,0.00,0.00,0.00,0.00,0.00,0.00,1376.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1376.00,0.00,0.00,1376.00
