date,FU344090045.Q,FU344022045.Q,FU343061165.Q,FU343061733.Q,FU343063033.Q,FU343064133.Q,FU343073045.Q,FU344190045.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3892.00,370.00,370.00,0.00,0.00,0.00,3522.00,3892.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3435.00,823.00,823.00,0.00,0.00,0.00,2612.00,3435.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3633.00,823.00,823.00,0.00,0.00,0.00,2810.00,3633.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,3962.00,1040.00,1040.00,0.00,0.00,0.00,2922.00,3962.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4729.00,784.00,784.00,0.00,0.00,0.00,3945.00,4729.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q4,16014.00,16537.00,16537.00,0.00,0.00,0.00,-523.00,16014.00
1989:Q1,15820.00,-4554.00,-4554.00,0.00,0.00,0.00,20374.00,15820.00
1989:Q2,16114.00,8014.00,8014.00,0.00,0.00,0.00,8100.00,16114.00
1989:Q3,16371.00,12989.00,12989.00,0.00,0.00,0.00,3382.00,16371.00
1989:Q4,16416.00,18108.00,18108.00,0.00,0.00,0.00,-1692.00,16416.00
1990:Q1,16088.00,-5249.00,-5249.00,0.00,0.00,0.00,21337.00,16088.00
1990:Q2,16304.00,7037.00,7037.00,0.00,0.00,0.00,9267.00,16304.00
1990:Q3,16549.00,13673.00,13673.00,0.00,0.00,0.00,2876.00,16549.00
1990:Q4,16655.00,17893.00,17893.00,0.00,0.00,0.00,-1238.00,16655.00
1991:Q1,16432.00,-6010.00,-6010.00,0.00,0.00,0.00,22442.00,16432.00
1991:Q2,16790.00,9370.00,9370.00,0.00,0.00,0.00,7420.00,16790.00
1991:Q3,17186.00,14633.00,14633.00,0.00,0.00,0.00,2553.00,17186.00
1991:Q4,17405.00,20365.00,20365.00,0.00,0.00,0.00,-2960.00,17405.00
1992:Q1,17387.00,-6314.00,-6314.00,0.00,0.00,0.00,23701.00,17387.00
1992:Q2,17462.00,9689.00,9689.00,0.00,0.00,0.00,7773.00,17462.00
1992:Q3,17588.00,15528.00,15528.00,0.00,0.00,0.00,2060.00,17588.00
1992:Q4,17393.00,20884.00,20884.00,0.00,0.00,0.00,-3491.00,17393.00
1993:Q1,16775.00,-7966.00,-7966.00,0.00,0.00,0.00,24741.00,16775.00
1993:Q2,16750.00,9563.00,9563.00,0.00,0.00,0.00,7187.00,16750.00
1993:Q3,16823.00,14847.00,14847.00,0.00,0.00,0.00,1976.00,16823.00
1993:Q4,16834.00,20634.00,20634.00,0.00,0.00,0.00,-3800.00,16834.00
1994:Q1,16547.00,-7916.00,-7916.00,0.00,0.00,0.00,24463.00,16547.00
1994:Q2,16825.00,9425.00,9425.00,0.00,0.00,0.00,7400.00,16825.00
1994:Q3,17069.00,14510.00,14510.00,0.00,0.00,0.00,2559.00,17069.00
1994:Q4,17071.00,21623.00,21623.00,0.00,0.00,0.00,-4552.00,17071.00
1995:Q1,16661.00,-8614.00,-8614.00,0.00,0.00,0.00,25275.00,16661.00
1995:Q2,16785.00,10026.00,10026.00,0.00,0.00,0.00,6759.00,16785.00
1995:Q3,16902.00,14699.00,14699.00,0.00,0.00,0.00,2203.00,16902.00
1995:Q4,16843.00,4715.00,4715.00,0.00,0.00,0.00,12128.00,16843.00
1996:Q1,16616.00,4518.00,4518.00,0.00,0.00,0.00,12098.00,16616.00
1996:Q2,16595.00,11800.00,11800.00,0.00,0.00,0.00,4795.00,16595.00
1996:Q3,16785.00,13138.00,13138.00,0.00,0.00,0.00,3647.00,16785.00
1996:Q4,16823.00,25604.00,25604.00,0.00,0.00,0.00,-8781.00,16823.00
1997:Q1,16518.00,-9855.00,-9855.00,0.00,0.00,0.00,26373.00,16518.00
1997:Q2,16782.00,9503.00,9503.00,0.00,0.00,0.00,7279.00,16782.00
1997:Q3,17062.00,15562.00,15562.00,0.00,0.00,0.00,1500.00,17062.00
1997:Q4,17170.00,25091.00,25091.00,0.00,0.00,0.00,-7921.00,17170.00
1998:Q1,16911.00,-11224.00,-11224.00,0.00,0.00,0.00,28135.00,16911.00
1998:Q2,17222.00,11063.00,11063.00,0.00,0.00,0.00,6159.00,17222.00
1998:Q3,17544.00,14744.00,14744.00,0.00,0.00,0.00,2800.00,17544.00
1998:Q4,17678.00,26635.00,26635.00,0.00,0.00,0.00,-8957.00,17678.00
1999:Q1,17416.00,-10357.00,-10357.00,0.00,0.00,0.00,27773.00,17416.00
1999:Q2,17716.00,10182.00,10182.00,0.00,0.00,0.00,7534.00,17716.00
1999:Q3,17993.00,14732.00,14732.00,0.00,0.00,0.00,3261.00,17993.00
1999:Q4,18053.00,26565.00,26565.00,0.00,0.00,0.00,-8512.00,18053.00
2000:Q1,17908.00,-11083.00,-11083.00,0.00,0.00,0.00,28991.00,17908.00
2000:Q2,17968.00,10379.00,10379.00,0.00,0.00,0.00,7589.00,17968.00
2000:Q3,18250.00,14034.00,14034.00,0.00,0.00,0.00,4216.00,18250.00
2000:Q4,18353.00,7572.00,7572.00,0.00,0.00,0.00,10781.00,18353.00
2001:Q1,18046.00,8339.00,8339.00,0.00,0.00,0.00,9707.00,18046.00
2001:Q2,18305.00,11641.00,11641.00,0.00,0.00,0.00,6664.00,18305.00
2001:Q3,18507.00,13318.00,13318.00,0.00,0.00,0.00,5189.00,18507.00
2001:Q4,18468.00,27537.00,27537.00,0.00,0.00,0.00,-9069.00,18468.00
2002:Q1,18053.00,-12033.00,-12033.00,0.00,0.00,0.00,30086.00,18053.00
2002:Q2,18331.00,8834.00,8834.00,0.00,0.00,0.00,9497.00,18331.00
2002:Q3,20196.00,11114.00,11114.00,0.00,0.00,1430.00,7652.00,20196.00
2002:Q4,27395.00,19745.00,17788.00,1174.00,783.00,5119.00,2531.00,27395.00
2003:Q1,28652.00,-19382.00,-21328.00,1168.00,778.00,6386.00,41648.00,28652.00
2003:Q2,19874.00,10876.00,10854.00,13.00,9.00,84.00,8914.00,19874.00
2003:Q3,21349.00,10523.00,9885.00,383.00,255.00,79.00,10747.00,21349.00
2003:Q4,19903.00,26676.00,26542.00,58.00,76.00,-344.00,-6429.00,19903.00
2004:Q1,20165.00,-13803.00,-14013.00,104.00,106.00,-47.00,34015.00,20165.00
2004:Q2,20064.00,7984.00,7808.00,84.00,92.00,-158.00,12238.00,20064.00
2004:Q3,20417.00,15671.00,15033.00,354.00,284.00,-757.00,5503.00,20417.00
2004:Q4,20682.00,31405.00,31427.00,-72.00,50.00,49.00,-10772.00,20682.00
2005:Q1,20098.00,-11787.00,-11699.00,-109.00,21.00,-152.00,32037.00,20098.00
2005:Q2,20579.00,8575.00,8623.00,-85.00,37.00,-37.00,12041.00,20579.00
2005:Q3,20870.00,14493.00,14033.00,191.00,269.00,-567.00,6944.00,20870.00
2005:Q4,20630.00,28698.00,28802.00,-85.00,-19.00,-122.00,-7946.00,20630.00
2006:Q1,19688.00,-14272.00,-14112.00,-114.00,-46.00,-312.00,34272.00,19688.00
2006:Q2,19881.00,4475.00,4593.00,-91.00,-27.00,-176.00,15582.00,19881.00
2006:Q3,20127.00,15343.00,15094.00,101.00,148.00,-493.00,5277.00,20127.00
