1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1999:Q1,644696.00,0.00,543.00,70797.00,200848.00,245.00,85984.00,70019.00,0.00,44600.00,339669.00,319312.00,1995.00,18362.00,0.00,32839.00,713466.00,21495.00,10164.00,11331.00,8882.00,7884.00,345006.00,116263.00,2132.00,45841.00,165963.00,89790.00,76173.00
1999:Q2,614204.00,0.00,1208.00,69932.00,192010.00,251.00,83161.00,64669.00,0.00,43929.00,320724.00,302007.00,1570.00,17147.00,0.00,30330.00,707527.00,3739.00,-6224.00,9963.00,7865.00,6892.00,345942.00,117044.00,2100.00,60372.00,163573.00,88473.00,75100.00
1999:Q3,623745.00,0.00,493.00,65532.00,204344.00,417.00,92495.00,69718.00,0.00,41714.00,321402.00,303133.00,1398.00,16871.00,0.00,31974.00,726022.00,-316.00,-9810.00,9494.00,8148.00,7294.00,351557.00,104578.00,1821.00,60815.00,192125.00,102479.00,89646.00
1999:Q4,637301.00,0.00,1436.00,61557.00,212498.00,636.00,94503.00,72350.00,0.00,45009.00,324697.00,307127.00,1630.00,15940.00,0.00,37113.00,749466.00,-12627.00,-19246.00,6619.00,9138.00,7524.00,402126.00,96290.00,2003.00,61972.00,183040.00,93031.00,90009.00
2000:Q1,637793.00,0.00,457.00,75513.00,207905.00,767.00,89739.00,71690.00,0.00,45709.00,320933.00,302637.00,1644.00,16652.00,0.00,32985.00,716515.00,-93902.00,-102988.00,9086.00,8250.00,7200.00,423047.00,99305.00,1959.00,62962.00,207694.00,114567.00,93127.00
2000:Q2,642162.00,0.00,617.00,88061.00,200621.00,785.00,84355.00,70440.00,0.00,45041.00,322363.00,303429.00,1730.00,17204.00,0.00,30500.00,752338.00,-82047.00,-91616.00,9569.00,9321.00,7451.00,423637.00,123874.00,2029.00,63215.00,204858.00,114542.00,90316.00
2000:Q3,664843.00,0.00,432.00,99808.00,208372.00,695.00,91203.00,70789.00,0.00,45685.00,323465.00,304834.00,1627.00,17004.00,0.00,32766.00,772643.00,-92961.00,-102261.00,9300.00,8039.00,6464.00,430444.00,136438.00,1940.00,64604.00,217675.00,119921.00,97754.00
2000:Q4,704291.00,0.00,477.00,107130.00,220016.00,569.00,94029.00,72703.00,0.00,52715.00,343218.00,324484.00,1606.00,17128.00,0.00,33450.00,824548.00,-85051.00,-106172.00,21121.00,8740.00,7159.00,432089.00,156117.00,1962.00,64236.00,239296.00,138669.00,100627.00
2001:Q1,719171.00,0.00,556.00,119658.00,223338.00,588.00,97915.00,75316.00,0.00,49519.00,342670.00,324083.00,1476.00,17111.00,0.00,32949.00,838188.00,-116084.00,-127894.00,11810.00,8235.00,7572.00,460691.00,167744.00,1819.00,63950.00,244261.00,134244.00,110017.00
2001:Q2,676230.00,0.00,460.00,92154.00,229728.00,0.00,102192.00,56905.00,0.00,70631.00,322364.00,304403.00,1222.00,16739.00,0.00,31524.00,797303.00,-124682.00,-145124.00,20442.00,8072.00,13412.00,458255.00,144593.00,1353.00,67988.00,228312.00,126241.00,102071.00
