date,FL893065105.Q,FL153165105.Q,FL103165105.Q,FL113165105.Q,FL893065105.Q,FL153065103.Q,FL103065105.Q,FL113065103.Q,FL313065105.Q,FL213065103.Q,FL763065105.Q,FL753065103.Q,FL743065103.Q,FL473065100.Q,FL543065105.Q,FL573065103.Q,FL223065143.Q,FL403065105.Q,FL413065105.Q,FL673065105.Q,FL613065105.Q,FL643065105.Q,FL893065125.Q,FL763065125.Q,FL753065203.Q,FL473065125.Q,FL673065123.Q,FL613065123.Q
1966:Q1,223358.00,223358.00,0.00,0.00,223358.00,16655.00,0.00,0.00,3995.00,1714.00,158458.00,0.00,297.00,1672.00,29849.00,1567.00,2047.00,3261.00,84.00,0.00,3759.00,0.00,ND,ND,ND,ND,ND,ND
1966:Q2,227232.00,227232.00,0.00,0.00,227232.00,17142.00,0.00,0.00,4121.00,1728.00,161030.00,0.00,304.00,1623.00,30026.00,1598.00,2147.00,3699.00,122.00,0.00,3692.00,0.00,ND,ND,ND,ND,ND,ND
1966:Q3,230272.00,230272.00,0.00,0.00,230272.00,17508.00,0.00,0.00,4329.00,1741.00,163016.00,0.00,310.00,1502.00,30083.00,1645.00,2244.00,4068.00,188.00,0.00,3638.00,0.00,ND,ND,ND,ND,ND,ND
1966:Q4,232742.00,232742.00,0.00,0.00,232742.00,18097.00,0.00,0.00,4537.00,1749.00,164334.00,0.00,319.00,1434.00,30233.00,1730.00,2327.00,4386.00,266.00,0.00,3330.00,0.00,ND,ND,ND,ND,ND,ND
1967:Q1,234221.00,234221.00,0.00,0.00,234221.00,18410.00,0.00,0.00,4687.00,1751.00,164959.00,0.00,333.00,1435.00,30243.00,1761.00,2405.00,4592.00,356.00,0.00,3289.00,0.00,ND,ND,ND,ND,ND,ND
1967:Q2,237076.00,237076.00,0.00,0.00,237076.00,18632.00,0.00,0.00,4775.00,1748.00,167173.00,0.00,351.00,1428.00,30072.00,1750.00,2484.00,4582.00,458.00,0.00,3623.00,0.00,ND,ND,ND,ND,ND,ND
1967:Q3,241547.00,241547.00,0.00,0.00,241547.00,18969.00,0.00,0.00,5000.00,1744.00,170627.00,0.00,369.00,1425.00,29847.00,1784.00,2522.00,4983.00,551.00,0.00,3726.00,0.00,ND,ND,ND,ND,ND,ND
1967:Q4,245974.00,245974.00,0.00,0.00,245974.00,19505.00,0.00,0.00,5253.00,1741.00,173770.00,0.00,382.00,1384.00,29763.00,1793.00,2560.00,5513.00,652.00,0.00,3658.00,0.00,ND,ND,ND,ND,ND,ND
1968:Q1,249378.00,249378.00,0.00,0.00,249378.00,20133.00,0.00,0.00,5521.00,1742.00,175777.00,0.00,393.00,1319.00,29644.00,1794.00,2630.00,6154.00,761.00,0.00,3510.00,0.00,ND,ND,ND,ND,ND,ND
1968:Q2,253675.00,253675.00,0.00,0.00,253675.00,20552.00,0.00,0.00,5760.00,1743.00,178728.00,0.00,401.00,1311.00,29450.00,1773.00,2688.00,6612.00,878.00,0.00,3769.00,10.00,ND,ND,ND,ND,ND,ND
1968:Q3,258183.00,258183.00,0.00,0.00,258183.00,21158.00,0.00,0.00,5994.00,1746.00,182228.00,0.00,408.00,1279.00,29198.00,1780.00,2686.00,6830.00,936.00,0.00,3914.00,26.00,ND,ND,ND,ND,ND,ND
1968:Q4,262934.00,262934.00,0.00,0.00,262934.00,21622.00,0.00,0.00,6155.00,1751.00,185804.00,0.00,417.00,1276.00,29030.00,1774.00,2724.00,7151.00,994.00,0.00,4201.00,35.00,ND,ND,ND,ND,ND,ND
1969:Q1,264857.00,264857.00,0.00,0.00,264857.00,19531.00,0.00,0.00,6263.00,1758.00,188662.00,0.00,425.00,1259.00,28929.00,1778.00,2755.00,7671.00,1052.00,0.00,4724.00,50.00,ND,ND,ND,ND,ND,ND
1969:Q2,269738.00,269738.00,0.00,0.00,269738.00,19350.00,0.00,0.00,6290.00,1767.00,192498.00,0.00,433.00,1182.00,28746.00,1772.00,2762.00,8155.00,1108.00,0.00,5591.00,84.00,ND,ND,ND,ND,ND,ND
1969:Q3,274512.00,274512.00,0.00,0.00,274512.00,19749.00,0.00,0.00,6331.00,1784.00,196220.00,0.00,441.00,1087.00,28502.00,1799.00,2725.00,9298.00,1236.00,0.00,5211.00,129.00,ND,ND,ND,ND,ND,ND
1969:Q4,278689.00,278689.00,0.00,0.00,278689.00,21688.00,0.00,0.00,6361.00,1809.00,197730.00,0.00,449.00,1055.00,27649.00,1829.00,2750.00,10919.00,1369.00,0.00,4868.00,213.00,ND,ND,ND,ND,ND,ND
1970:Q1,280971.00,275814.00,1031.00,4126.00,280971.00,21107.00,0.00,0.00,6362.00,1845.00,198225.00,0.00,521.00,745.00,27777.00,1829.00,2800.00,12446.00,1522.00,0.00,5427.00,365.00,ND,ND,ND,ND,ND,ND
1970:Q2,284366.00,278674.00,1138.00,4554.00,284366.00,21053.00,0.00,0.00,6337.00,1847.00,200145.00,0.00,536.00,764.00,27448.00,1814.00,2913.00,13508.00,1686.00,0.00,5889.00,426.00,ND,ND,ND,ND,ND,279.00
1970:Q3,288349.00,282347.00,1200.00,4802.00,288349.00,21024.00,0.00,0.00,6293.00,1851.00,203137.00,0.00,551.00,784.00,27064.00,1791.00,2852.00,14883.00,2005.00,0.00,5625.00,489.00,ND,ND,ND,ND,ND,362.00
1970:Q4,292240.00,286015.00,1245.00,4980.00,292240.00,20988.00,0.00,0.00,6234.00,1884.00,205919.00,0.00,569.00,800.00,26739.00,1781.00,2862.00,15538.00,2532.00,0.00,5789.00,605.00,ND,ND,ND,ND,ND,446.00
1971:Q1,296349.00,289592.00,1351.00,5406.00,296349.00,21117.00,0.00,100.00,6038.00,1899.00,208922.00,0.00,590.00,813.00,26388.00,1732.00,2824.00,15305.00,3583.00,0.00,6369.00,669.00,ND,ND,ND,ND,ND,530.00
1971:Q2,303206.00,295363.00,1569.00,6274.00,303206.00,21260.00,0.00,225.00,5956.00,1901.00,214474.00,0.00,664.00,824.00,25827.00,1727.00,2828.00,15263.00,5041.00,0.00,6444.00,772.00,ND,ND,ND,ND,ND,613.00
1971:Q3,311379.00,302822.00,1711.00,6846.00,311379.00,21038.00,0.00,350.00,5871.00,1912.00,221683.00,0.00,670.00,835.00,25187.00,1624.00,2784.00,16724.00,5717.00,0.00,6241.00,743.00,ND,ND,ND,ND,ND,697.00
1971:Q4,318411.00,309454.00,1791.00,7166.00,318411.00,20691.00,0.00,475.00,5615.00,1978.00,227465.00,0.00,676.00,847.00,24645.00,1488.00,2950.00,17615.00,6717.00,0.00,6464.00,785.00,ND,ND,ND,ND,ND,781.00
1972:Q1,325753.00,316038.00,1943.00,7772.00,325753.00,20766.00,0.00,600.00,5660.00,1979.00,233926.00,0.00,680.00,881.00,24173.00,1334.00,2964.00,17930.00,7636.00,0.00,6338.00,886.00,ND,ND,ND,ND,ND,864.00
1972:Q2,335726.00,324462.00,2253.00,9011.00,335726.00,20516.00,0.00,700.00,5596.00,2051.00,242828.00,0.00,695.00,927.00,23621.00,1312.00,2927.00,18450.00,8681.00,0.00,6308.00,1114.00,ND,ND,ND,ND,ND,949.00
