date,FL413065005.Q,FL413065105.Q,FL413065405.Q,FL413065505.Q,FL413065605.Q,FL413065005.Q
1945:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4.00,0.00,0.00,0.00,4.00,4.00
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,7.00,0.00,0.00,0.00,7.00,7.00
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,32.00,0.00,0.00,0.00,32.00,32.00
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1997:Q3,1791088.00,1754275.00,36372.00,0.00,441.00,1791088.00
1997:Q4,1826294.00,1788052.00,37794.00,0.00,448.00,1826294.00
1998:Q1,1847555.00,1808089.00,38995.00,0.00,471.00,1847555.00
1998:Q2,1909389.00,1868500.00,40393.00,0.00,496.00,1909389.00
1998:Q3,1976247.00,1931146.00,44580.00,0.00,521.00,1976247.00
1998:Q4,2018969.00,1970167.00,48255.00,0.00,547.00,2018969.00
1999:Q1,2113010.00,2061639.00,50636.00,0.00,735.00,2113010.00
1999:Q2,2183642.00,2129994.00,52722.00,0.00,926.00,2183642.00
1999:Q3,2247217.00,2191289.00,54814.00,0.00,1114.00,2247217.00
1999:Q4,2293531.00,2234749.00,57478.00,0.00,1304.00,2293531.00
2000:Q1,2323499.00,2263011.00,59102.00,0.00,1386.00,2323499.00
2000:Q2,2356632.00,2294135.00,61029.00,0.00,1468.00,2356632.00
2000:Q3,2415895.00,2351364.00,62982.00,0.00,1549.00,2415895.00
2000:Q4,2493245.00,2425625.00,65989.00,0.00,1631.00,2493245.00
2001:Q1,2535824.00,2464923.00,69264.00,0.00,1637.00,2535824.00
2001:Q2,2637390.00,2561685.00,74062.00,0.00,1643.00,2637390.00
2001:Q3,2760457.00,2681500.00,77308.00,0.00,1649.00,2760457.00
2001:Q4,2831784.00,2748518.00,81610.00,0.00,1656.00,2831784.00
2002:Q1,2956420.00,2870618.00,84468.00,0.00,1334.00,2956420.00
2002:Q2,3042612.00,2954972.00,86628.00,0.00,1012.00,3042612.00
2002:Q3,3085197.00,2996036.00,88471.00,0.00,690.00,3085197.00
2002:Q4,3158603.00,3063697.00,94539.00,0.00,367.00,3158603.00
2003:Q1,3230475.00,3131919.00,98218.00,0.00,338.00,3230475.00
2003:Q2,3292961.00,3190784.00,101838.00,0.00,339.00,3292961.00
2003:Q3,3375161.00,3264639.00,109493.00,0.00,1029.00,3375161.00
2003:Q4,3343251.00,3233511.00,108737.00,0.00,1003.00,3343251.00
2004:Q1,3346388.00,3241227.00,104195.00,0.00,966.00,3346388.00
2004:Q2,3366532.00,3258248.00,107317.00,0.00,967.00,3366532.00
2004:Q3,3380765.00,3273410.00,106391.00,0.00,964.00,3380765.00
2004:Q4,3384018.00,3277346.00,105734.00,0.00,938.00,3384018.00
2005:Q1,3407181.00,3301814.00,104485.00,0.00,882.00,3407181.00
2005:Q2,3442350.00,3338254.00,103221.00,0.00,875.00,3442350.00
2005:Q3,3484951.00,3382026.00,102090.00,0.00,835.00,3484951.00
2005:Q4,3548483.00,3446357.00,101282.00,0.00,844.00,3548483.00
