1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q3,-179.00,0.00,0.00,-179.00,-179.00,0.00,0.00,0.00,0.00,0.00,0.00,-179.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-179.00,0.00,0.00,-179.00
1974:Q4,-286.00,0.00,0.00,-286.00,-286.00,0.00,0.00,0.00,0.00,0.00,0.00,-286.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-286.00,0.00,0.00,-286.00
1975:Q1,136.00,0.00,0.00,136.00,136.00,0.00,0.00,0.00,0.00,0.00,0.00,136.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,136.00,0.00,0.00,136.00
1975:Q2,-197.00,0.00,0.00,-197.00,-197.00,0.00,0.00,0.00,0.00,0.00,0.00,-197.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-197.00,0.00,0.00,-197.00
1975:Q3,-269.00,0.00,0.00,-269.00,-269.00,0.00,0.00,0.00,0.00,0.00,0.00,-269.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-269.00,0.00,0.00,-269.00
1975:Q4,265.00,0.00,0.00,265.00,265.00,0.00,0.00,0.00,0.00,0.00,0.00,265.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,265.00,0.00,0.00,265.00
1976:Q1,-308.00,155.00,0.00,-463.00,-463.00,0.00,0.00,0.00,0.00,0.00,0.00,-308.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-308.00,310.00,0.00,-618.00
1976:Q2,-114.00,-66.00,0.00,-48.00,-48.00,0.00,0.00,0.00,0.00,0.00,0.00,-114.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-114.00,-132.00,0.00,18.00
1976:Q3,-152.00,10.00,0.00,-162.00,-162.00,0.00,0.00,0.00,0.00,0.00,0.00,-152.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-152.00,20.00,0.00,-172.00
1976:Q4,666.00,206.00,0.00,460.00,460.00,0.00,0.00,0.00,0.00,0.00,0.00,666.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,666.00,412.00,0.00,254.00
1977:Q1,288.00,161.00,0.00,127.00,127.00,0.00,0.00,0.00,0.00,0.00,0.00,288.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,288.00,321.00,0.00,-33.00
1977:Q2,-24.00,-196.00,0.00,172.00,172.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,-391.00,0.00,367.00
1977:Q3,97.00,-48.00,0.00,145.00,145.00,0.00,0.00,0.00,0.00,0.00,0.00,97.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.00,-97.00,0.00,194.00
1977:Q4,22.00,24.00,0.00,-2.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,48.00,0.00,-26.00
1978:Q1,524.00,35.00,0.00,489.00,489.00,0.00,0.00,0.00,0.00,0.00,0.00,524.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,524.00,70.00,0.00,454.00
1978:Q2,-175.00,-101.00,0.00,-74.00,-74.00,0.00,0.00,0.00,0.00,0.00,0.00,-175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-175.00,-201.00,0.00,26.00
1978:Q3,-228.00,79.00,0.00,-307.00,-307.00,0.00,0.00,0.00,0.00,0.00,0.00,-228.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-228.00,157.00,0.00,-385.00
