1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q3,-172440.00,11612.00,-218192.00,ND,ND,-73924.00,-3736.00,-70188.00,3120.00,-12788.00,12260.00,2000.00,96.00,2012.00,-30752.00,132116.00,-176647.00,4080.00,-8812.00,22244.00,-36912.00,ND,ND,52868.00,20616.00,32252.00,1343.00,ND,ND,-276.00,-4856.00,1116.00,-4480.00,-88589.00,20.00,-68752.00,-6276.00,-242964.00,-4388.00,0.00,201712.00,4207.00,0.00,0.00,0.00
2003:Q4,146774.00,2676.00,-96340.00,ND,ND,-67574.00,-50868.00,-16706.00,5428.00,-3912.00,-32636.00,14692.00,13232.00,310088.00,-2864.00,3984.00,46652.00,-5020.00,764.00,-24424.00,-153576.00,ND,ND,-31100.00,-59220.00,28120.00,-4962.00,ND,ND,-1316.00,-24832.00,1452.00,-2284.00,34122.00,15604.00,9012.00,-11600.00,61684.00,-2480.00,0.00,174008.00,100122.00,0.00,0.00,0.00
2004:Q1,866131.00,-15804.00,158512.00,ND,ND,135663.00,63176.00,72487.00,-10028.00,-3640.00,2588.00,-14692.00,41040.00,412732.00,10740.00,149020.00,1063297.00,-3212.00,384.00,-17262.00,79036.00,ND,ND,120412.00,-7828.00,128240.00,-1403.00,ND,ND,876.00,6300.00,936.00,-2144.00,112131.00,68444.00,33904.00,16900.00,359312.00,14176.00,0.00,291408.00,-197166.00,0.00,0.00,0.00
2004:Q2,288724.00,-9892.00,75476.00,ND,ND,19556.00,-59940.00,79496.00,2352.00,5496.00,8728.00,0.00,25548.00,184860.00,-30088.00,6688.00,585246.00,-1416.00,16072.00,12395.00,-10460.00,ND,ND,-13268.00,-37140.00,23872.00,4186.00,ND,ND,412.00,-880.00,2172.00,-6204.00,-35135.00,-71028.00,13620.00,-108.00,573736.00,-30792.00,0.00,131836.00,-296521.00,0.00,0.00,0.00
2004:Q3,1229229.00,25860.00,108136.00,ND,ND,-30427.00,9540.00,-39967.00,4036.00,-5204.00,-2732.00,0.00,15060.00,871316.00,3264.00,239920.00,742484.00,3560.00,1984.00,-3550.00,88768.00,ND,ND,18280.00,3492.00,14788.00,-1036.00,ND,ND,1824.00,-1716.00,1008.00,-19008.00,-20410.00,3612.00,8548.00,77552.00,413432.00,3952.00,0.00,243236.00,486745.00,0.00,0.00,0.00
2004:Q4,-343620.00,20360.00,-195144.00,ND,ND,-114600.00,-11552.00,-103048.00,2848.00,-564.00,-13380.00,9916.00,33016.00,-278844.00,-4536.00,197308.00,-448807.00,2812.00,8452.00,-34583.00,-14052.00,ND,ND,-172620.00,11488.00,-184108.00,4850.00,ND,ND,-7984.00,2084.00,-1908.00,-3096.00,-131298.00,22432.00,14236.00,-22872.00,-230708.00,-2916.00,0.00,95492.00,105186.00,0.00,0.00,0.00
2005:Q1,762888.00,-26708.00,9944.00,ND,ND,-35284.00,16608.00,-51892.00,-9676.00,2824.00,25816.00,-4408.00,6896.00,769560.00,28136.00,-4212.00,657633.00,-928.00,2096.00,21528.00,-7944.00,ND,ND,56248.00,-17988.00,74236.00,-4023.00,ND,ND,1508.00,26876.00,3560.00,-8384.00,188145.00,16804.00,8328.00,28504.00,299964.00,29624.00,0.00,24232.00,105255.00,0.00,0.00,0.00
2005:Q2,798385.00,8308.00,89944.00,ND,ND,43401.00,-13032.00,56433.00,7140.00,-376.00,-128.00,-2976.00,12468.00,422924.00,8772.00,208908.00,304964.00,9076.00,476.00,-11797.00,-192000.00,ND,ND,73712.00,21200.00,52512.00,-20.00,ND,ND,2388.00,-8308.00,-28.00,-3748.00,218481.00,-4276.00,-17944.00,-3584.00,168672.00,2032.00,0.00,68248.00,493421.00,0.00,0.00,0.00
2005:Q3,718842.00,2948.00,121416.00,ND,ND,70730.00,47100.00,23630.00,8728.00,-2380.00,3256.00,-3864.00,21884.00,496028.00,1808.00,-1712.00,728314.00,12932.00,16904.00,-2881.00,126528.00,ND,ND,20392.00,-15000.00,35392.00,10440.00,ND,ND,-1884.00,-10160.00,44.00,-16748.00,-29824.00,-2540.00,75228.00,83648.00,333880.00,4296.00,0.00,191708.00,-9473.00,0.00,0.00,0.00
2005:Q4,-391259.00,14340.00,-55100.00,ND,ND,89409.00,3044.00,86365.00,-2044.00,528.00,832.00,3728.00,11496.00,-209120.00,-13884.00,-231444.00,-317731.00,11472.00,6296.00,48151.00,-10100.00,ND,ND,4812.00,56352.00,-51540.00,2419.00,ND,ND,544.00,-12384.00,696.00,-6620.00,78347.00,-7016.00,-9820.00,-4728.00,-295396.00,-10380.00,0.00,-118752.00,-73527.00,0.00,0.00,0.00
2006:Q1,697100.00,-15860.00,140960.00,ND,ND,-130496.00,19368.00,-149864.00,-8268.00,-44.00,12544.00,-3616.00,4292.00,526176.00,5860.00,165552.00,629087.00,-17828.00,-3612.00,-64933.00,115984.00,ND,ND,29464.00,-8452.00,37916.00,1579.00,ND,ND,-2152.00,-2640.00,1428.00,-7480.00,94578.00,33916.00,33656.00,16248.00,135020.00,8344.00,0.00,273764.00,68013.00,0.00,0.00,0.00
2006:Q2,166380.00,10496.00,132024.00,ND,ND,7352.00,568.00,6784.00,11784.00,-140.00,-2416.00,8.00,36216.00,128604.00,108.00,-157656.00,-149891.00,8204.00,5552.00,-19150.00,-166140.00,ND,ND,64280.00,-29148.00,93428.00,-1451.00,ND,ND,-1880.00,-480.00,816.00,-9444.00,139466.00,1672.00,-29344.00,-44680.00,25556.00,480.00,0.00,-168028.00,316271.00,0.00,0.00,0.00
2006:Q3,1537206.00,7964.00,231600.00,ND,ND,211518.00,55956.00,155562.00,3816.00,324.00,-12396.00,-788.00,18984.00,919096.00,9608.00,147480.00,868854.00,2056.00,14268.00,-21184.00,332548.00,ND,ND,62492.00,16332.00,46160.00,-5545.00,ND,ND,5084.00,764.00,896.00,604.00,-89818.00,7688.00,29680.00,15404.00,315512.00,10812.00,0.00,202996.00,668352.00,0.00,0.00,0.00
2006:Q4,-231869.00,-6160.00,-396880.00,ND,ND,140951.00,-15364.00,156315.00,-3676.00,-568.00,3536.00,2800.00,-1876.00,-27156.00,-11116.00,68276.00,-390649.00,11460.00,7352.00,81267.00,2140.00,ND,ND,80720.00,-22764.00,103484.00,-962.00,ND,ND,-4020.00,2048.00,908.00,616.00,59198.00,-12356.00,3320.00,-976.00,-536840.00,-15704.00,0.00,-69796.00,158780.00,0.00,0.00,0.00
2007:Q1,1668824.00,30672.00,91768.00,ND,ND,-33752.00,83316.00,-117068.00,-17992.00,-2504.00,-13512.00,2000.00,24584.00,1296400.00,1424.00,289736.00,1645190.00,-6476.00,12112.00,-16747.00,157596.00,ND,ND,4660.00,-25028.00,29688.00,12753.00,ND,ND,3816.00,-2240.00,236.00,624.00,90012.00,-2472.00,139564.00,84632.00,647148.00,1912.00,0.00,602692.00,23634.00,0.00,0.00,0.00
2007:Q2,327475.00,-19736.00,56044.00,ND,ND,19299.00,19792.00,-493.00,4796.00,988.00,2156.00,-1152.00,9176.00,35360.00,-7220.00,227764.00,399456.00,-20876.00,5124.00,-65290.00,-97916.00,ND,ND,56668.00,66336.00,-9668.00,-6491.00,ND,ND,2944.00,3200.00,240.00,628.00,231805.00,-7972.00,-24008.00,8632.00,172872.00,-7544.00,0.00,156072.00,-71980.00,0.00,0.00,0.00
2007:Q3,307510.00,13360.00,12220.00,ND,ND,-94426.00,-117924.00,23498.00,5836.00,-768.00,3036.00,-268.00,-82872.00,368800.00,-4636.00,87228.00,301195.00,-4208.00,5444.00,93593.00,311732.00,ND,ND,37172.00,1120.00,36052.00,2839.00,ND,ND,1912.00,256.00,240.00,-324.00,264292.00,6844.00,-90592.00,-8708.00,-39596.00,-5128.00,0.00,-283280.00,6315.00,0.00,0.00,0.00
