1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q2,1485270.00,11010.00,452712.00,32887.00,523439.00,86346.00,3463.00,138933.00,4022.00,1509.00,1579.00,102724.00,49983.00,21255.00,35190.00,160.00,2780.00,2544.00,2448.00,12286.00,1264707.00,68280.00,235183.00,48958.00,8124.00,229.00,2748.00,47640.00,289.00,4311.00,1270.00,0.00,21190.00,114251.00,523439.00,86346.00,527.00,0.00,0.00,2300.00,0.00,9826.00,336.00,3864.00,85596.00,0.00,220563.00
1979:Q3,1539285.00,11360.00,486019.00,33693.00,526676.00,89307.00,3745.00,138679.00,4114.00,1836.00,1581.00,106427.00,51196.00,21397.00,42855.00,421.00,3464.00,2285.00,2701.00,11529.00,1290820.00,70254.00,262689.00,50557.00,8216.00,272.00,3733.00,37742.00,394.00,4566.00,1701.00,0.00,21919.00,104658.00,526676.00,89307.00,638.00,0.00,0.00,2332.00,0.00,12242.00,378.00,4330.00,88216.00,0.00,248465.00
1979:Q4,1577203.00,11692.00,499853.00,37425.00,536871.00,94463.00,4763.00,136559.00,3635.00,2179.00,1566.00,110182.00,52173.00,24157.00,40745.00,268.00,3526.00,3949.00,2953.00,10244.00,1319654.00,72256.00,262204.00,52261.00,8344.00,188.00,3045.00,35407.00,374.00,4849.00,2330.00,0.00,22603.00,113162.00,536871.00,94463.00,700.00,0.00,0.00,2856.00,0.00,11038.00,400.00,5500.00,90803.00,0.00,257549.00
1980:Q1,1646739.00,12003.00,540260.00,38986.00,549759.00,94214.00,3366.00,144306.00,4683.00,2562.00,3375.00,114012.00,52894.00,24491.00,42884.00,317.00,3536.00,1198.00,2655.00,11238.00,1341369.00,74399.00,250421.00,52951.00,8396.00,209.00,2585.00,42344.00,361.00,5243.00,3507.00,0.00,23246.00,124758.00,549759.00,94232.00,419.00,0.00,0.00,2912.00,0.00,8530.00,430.00,4375.00,92292.00,0.00,305370.00
1980:Q2,1701565.00,12288.00,568688.00,41439.00,559439.00,86084.00,4521.00,142446.00,7032.00,3317.00,3350.00,117350.00,53202.00,25891.00,56861.00,299.00,3688.00,2176.00,2482.00,11012.00,1381445.00,76062.00,264190.00,52127.00,8518.00,154.00,3123.00,41462.00,3761.00,5632.00,4337.00,0.00,23844.00,122524.00,559439.00,86119.00,713.00,0.00,0.00,2886.00,0.00,12498.00,467.00,5357.00,95533.00,12699.00,320120.00
1980:Q3,1756998.00,12587.00,616868.00,42702.00,560974.00,82549.00,3199.00,144699.00,7655.00,4100.00,2425.00,120571.00,53664.00,26407.00,55592.00,401.00,4221.00,2738.00,3949.00,11697.00,1442664.00,77696.00,314760.00,52636.00,8796.00,128.00,3226.00,40988.00,4217.00,6059.00,4709.00,0.00,24461.00,124471.00,560974.00,82602.00,771.00,0.00,0.00,3236.00,0.00,13354.00,497.00,7115.00,98550.00,13418.00,314334.00
1980:Q4,1753393.00,12939.00,591258.00,44203.00,571927.00,80572.00,3768.00,144381.00,7277.00,4680.00,3100.00,123727.00,54312.00,27713.00,57072.00,325.00,6698.00,1951.00,3435.00,14055.00,1462156.00,79428.00,303343.00,57557.00,10039.00,122.00,3526.00,46970.00,4982.00,6609.00,5651.00,0.00,25158.00,127694.00,571927.00,80642.00,588.00,0.00,0.00,4106.00,0.00,10786.00,510.00,6880.00,103115.00,12523.00,291237.00
1981:Q1,1879450.00,13358.00,694411.00,42822.00,585695.00,83038.00,3262.00,150239.00,8394.00,4975.00,2927.00,126814.00,55862.00,28053.00,62548.00,266.00,5037.00,1233.00,-3670.00,14186.00,1583061.00,81458.00,382332.00,61972.00,10066.00,221.00,3056.00,50965.00,5432.00,7411.00,5035.00,0.00,25890.00,136056.00,585695.00,83126.00,521.00,0.00,0.00,5485.00,0.00,14666.00,540.00,5881.00,103165.00,14088.00,296389.00
1981:Q2,1909835.00,13859.00,688100.00,41457.00,595772.00,83610.00,3876.00,158801.00,6154.00,5249.00,2453.00,129799.00,57793.00,28445.00,64283.00,321.00,5854.00,1454.00,5605.00,16950.00,1620693.00,83546.00,380932.00,66255.00,10566.00,270.00,4149.00,56131.00,5764.00,8381.00,4504.00,0.00,26597.00,147646.00,595772.00,83715.00,1095.00,0.00,0.00,3524.00,0.00,13465.00,553.00,6547.00,106914.00,14367.00,289142.00
1981:Q3,1970441.00,14345.00,716945.00,42032.00,596115.00,90045.00,4278.00,156136.00,7184.00,5471.00,3277.00,132592.00,59865.00,31035.00,65522.00,263.00,6193.00,4391.00,13959.00,20793.00,1669056.00,85536.00,382971.00,69908.00,10851.00,332.00,3592.00,56501.00,7200.00,9178.00,5377.00,0.00,27436.00,167958.00,596115.00,90168.00,1220.00,0.00,0.00,3936.00,0.00,14046.00,544.00,5390.00,113528.00,17269.00,301385.00
