date,FL153050005.Q,FL543150005.Q,FL574190005.Q,FL344090005.Q,FL224190005.Q,FL153050005.Q,LM893131573.Q,FL763131573.Q,FL473131573.Q,LM543131503.Q,FL633131573.Q,LM653131573.Q,LM153131575.Q
1945:Q4,57011.00,2700.00,20697.00,24055.00,9559.00,57011.00,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,64505.00,3100.00,22077.00,28162.00,11166.00,64505.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,71873.00,3600.00,23594.00,31565.00,13114.00,71873.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,79319.00,4200.00,24957.00,35122.00,15040.00,79319.00,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q4,930197.00,60372.00,273966.00,421024.00,174835.00,930197.00,ND,ND,ND,ND,ND,ND,ND
1975:Q1,959276.00,62694.00,287453.00,428928.00,180201.00,959276.00,ND,ND,ND,ND,ND,ND,ND
1975:Q2,987986.00,65593.00,299697.00,436949.00,185747.00,987986.00,ND,ND,ND,ND,ND,ND,ND
1975:Q3,1010295.00,68877.00,304947.00,445099.00,191372.00,1010295.00,ND,ND,ND,ND,ND,ND,ND
1975:Q4,1037090.00,72349.00,314515.00,453301.00,196925.00,1037090.00,ND,ND,ND,ND,ND,ND,ND
1976:Q1,1058787.00,76120.00,325311.00,461396.00,195960.00,1058787.00,ND,ND,ND,ND,ND,ND,ND
1976:Q2,1075581.00,80343.00,330742.00,469562.00,194934.00,1075581.00,ND,ND,ND,ND,ND,ND,ND
1976:Q3,1094943.00,84666.00,338370.00,477900.00,194007.00,1094943.00,ND,ND,ND,ND,ND,ND,ND
1976:Q4,1115292.00,88740.00,346977.00,486343.00,193232.00,1115292.00,ND,ND,ND,ND,ND,ND,ND
1977:Q1,1138786.00,92446.00,354147.00,494443.00,197750.00,1138786.00,ND,ND,ND,ND,ND,ND,ND
1977:Q2,1163296.00,95847.00,362044.00,502862.00,202543.00,1163296.00,ND,ND,ND,ND,ND,ND,ND
1977:Q3,1188787.00,99313.00,370194.00,511708.00,207572.00,1188787.00,ND,ND,ND,ND,ND,ND,ND
1977:Q4,1215036.00,103217.00,378135.00,520967.00,212717.00,1215036.00,ND,ND,ND,ND,ND,ND,ND
1978:Q1,1244327.00,107458.00,387951.00,530717.00,218201.00,1244327.00,ND,ND,ND,ND,ND,ND,ND
1978:Q2,1276109.00,111959.00,399353.00,540948.00,223849.00,1276109.00,ND,ND,ND,ND,ND,ND,ND
