1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q4,5695412.00,1943160.00,3752252.00,777359.00,207528.00,50804.00,761088.00,693870.00,67218.00,7924.00,23389.00,0.00,0.00,35905.00,1955473.00,651963.00,5043449.00,13.36,20.28
1974:Q1,5731093.00,1944362.00,3786731.00,794682.00,216140.00,49251.00,730203.00,664408.00,65795.00,8373.00,24216.00,0.00,0.00,33206.00,1996455.00,656014.00,5075079.00,12.74,19.28
1974:Q2,5735405.00,1962167.00,3773238.00,811359.00,219153.00,52085.00,651160.00,591895.00,59265.00,7823.00,22141.00,0.00,0.00,29301.00,2039482.00,676607.00,5058798.00,11.35,17.26
1974:Q3,5705725.00,2002013.00,3703712.00,820525.00,239174.00,52982.00,484388.00,440798.00,43590.00,5921.00,16570.00,0.00,0.00,21099.00,2106643.00,694827.00,5010898.00,8.49,13.08
1974:Q4,5864711.00,2064399.00,3800312.00,840814.00,248991.00,54027.00,493713.00,445034.00,48679.00,6146.00,18689.00,0.00,0.00,23844.00,2162766.00,707818.00,5156893.00,8.42,12.99
1975:Q1,6129814.00,2142379.00,3987435.00,857327.00,256110.00,47484.00,610208.00,547842.00,62366.00,7419.00,25731.00,0.00,0.00,29216.00,2216306.00,706942.00,5422872.00,9.95,15.30
1975:Q2,6374695.00,2216102.00,4158593.00,885773.00,250799.00,50693.00,699056.00,625664.00,73392.00,8536.00,30802.00,0.00,0.00,34054.00,2272272.00,720672.00,5654023.00,10.97,16.81
1975:Q3,6372059.00,2228730.00,4143329.00,902855.00,260444.00,50994.00,608782.00,544752.00,64030.00,7431.00,27970.00,0.00,0.00,28629.00,2320254.00,740457.00,5631602.00,9.55,14.69
1975:Q4,6559155.00,2286480.00,4272675.00,924544.00,270268.00,55203.00,654427.00,584599.00,69828.00,9276.00,30240.00,0.00,0.00,30312.00,2368233.00,763776.00,5795379.00,9.98,15.32
1976:Q1,6774771.00,2335010.00,4439761.00,948185.00,269440.00,56153.00,758240.00,677976.00,80264.00,10644.00,34626.00,0.00,0.00,34994.00,2407743.00,773207.00,6001564.00,11.19,17.08
1976:Q2,6976287.00,2420296.00,4555991.00,977066.00,274370.00,55980.00,777006.00,696689.00,80317.00,10834.00,34596.00,0.00,0.00,34887.00,2471569.00,799859.00,6176428.00,11.14,17.05
