date,FU263192005.Q,FU263192101.Q,FU263192113.Q,FU263192125.Q,FU263192193.Q,FU263192305.Q,FU263192313.Q,FU263092313.Q,FU103092005.Q,FU263192193.Q,FU763092000.Q,FU513092003.Q,FU543092073.Q,FU613092003.Q,FU663092003.Q,FU103192005.Q,FU263092193.Q,FU115114005.Q,FU753192003.Q,FU513192003.Q,FU543192073.Q,FU613192003.Q,FU663192005.Q,FU733192003.Q,FU503192003.Q,FU263092001.Q,FU263092101.Q,FU263092113.Q,FU263092125.Q,FU263092193.Q,FU263092303.Q,FU263092323.Q,FU263192323.Q,FU263192035.Q,FU263192101.Q,FU263192345.Q,FU263192313.Q,FU263192323.Q,FU263092035.Q,FU263092101.Q,FU263092345.Q,FU263092313.Q,FU263092323.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q2,444.00,ND,ND,ND,ND,ND,ND,ND,421.00,ND,3.00,2.00,4.00,6.00,8.00,12.00,ND,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q3,169.00,ND,ND,ND,ND,ND,ND,ND,145.00,ND,3.00,3.00,3.00,7.00,8.00,1.00,ND,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,401.00,ND,ND,ND,ND,ND,ND,ND,375.00,ND,4.00,2.00,4.00,8.00,8.00,49.00,ND,2.00,1.00,0.00,0.00,0.00,-2.00,0.00,0.00,50.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q1,287.00,ND,ND,ND,ND,ND,ND,ND,261.00,ND,3.00,3.00,4.00,7.00,9.00,52.00,ND,2.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,58.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,442.00,ND,ND,ND,ND,ND,ND,ND,415.00,ND,4.00,3.00,3.00,8.00,9.00,79.00,ND,3.00,3.00,1.00,1.00,1.00,2.00,0.00,0.00,90.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q3,224.00,ND,ND,ND,ND,ND,ND,ND,197.00,ND,3.00,3.00,4.00,8.00,9.00,51.00,ND,3.00,3.00,1.00,1.00,1.00,2.00,0.00,0.00,62.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,419.00,ND,ND,ND,ND,ND,ND,ND,390.00,ND,4.00,3.00,4.00,9.00,9.00,17.00,ND,3.00,5.00,1.00,1.00,0.00,1.00,0.00,0.00,28.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q1,679.00,ND,ND,ND,ND,ND,ND,ND,650.00,ND,4.00,3.00,4.00,8.00,10.00,73.00,ND,1.00,3.00,1.00,1.00,1.00,8.00,0.00,0.00,88.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q2,664.00,ND,ND,ND,ND,ND,ND,ND,636.00,ND,3.00,2.00,4.00,9.00,10.00,84.00,ND,1.00,5.00,2.00,2.00,2.00,8.00,0.00,0.00,104.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q3,698.00,ND,ND,ND,ND,ND,ND,ND,668.00,ND,4.00,3.00,4.00,9.00,10.00,83.00,ND,1.00,5.00,2.00,2.00,2.00,8.00,0.00,0.00,103.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
