1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q3,36033.00,0.00,3306.00,0.00,0.00,6219.00,0.00,511.00,130.00,5578.00,0.00,20825.00,0.00,5683.00,0.00,0.00,5683.00,36033.00
1971:Q4,37783.00,0.00,3417.00,0.00,0.00,6387.00,0.00,531.00,133.00,5723.00,0.00,22163.00,0.00,5816.00,0.00,0.00,5816.00,37783.00
1972:Q1,40782.00,0.00,3531.00,0.00,0.00,6644.00,123.00,635.00,188.00,5698.00,0.00,24058.00,0.00,6549.00,0.00,0.00,6549.00,40782.00
1972:Q2,42780.00,0.00,3676.00,0.00,0.00,7071.00,318.00,613.00,265.00,5875.00,0.00,24271.00,0.00,7762.00,0.00,0.00,7762.00,42780.00
1972:Q3,45363.00,0.00,3833.00,0.00,0.00,7690.00,529.00,656.00,383.00,6122.00,0.00,24841.00,0.00,8999.00,0.00,0.00,8999.00,45363.00
1972:Q4,48946.00,0.00,4000.00,0.00,0.00,8125.00,702.00,845.00,457.00,6121.00,0.00,26954.00,0.00,9867.00,0.00,0.00,9867.00,48946.00
1973:Q1,48987.00,0.00,4179.00,0.00,0.00,8656.00,842.00,931.00,571.00,6312.00,0.00,25565.00,0.00,10587.00,0.00,0.00,10587.00,48987.00
1973:Q2,48318.00,0.00,4339.00,0.00,0.00,8978.00,953.00,1003.00,613.00,6409.00,0.00,23900.00,0.00,11101.00,0.00,0.00,11101.00,48318.00
1973:Q3,51655.00,0.00,4550.00,0.00,0.00,9498.00,1071.00,1178.00,653.00,6596.00,0.00,26195.00,0.00,11412.00,0.00,0.00,11412.00,51655.00
1973:Q4,49968.00,0.00,4713.00,0.00,0.00,9826.00,1232.00,1345.00,702.00,6547.00,0.00,23389.00,0.00,12040.00,0.00,0.00,12040.00,49968.00
1974:Q1,51937.00,0.00,4909.00,0.00,0.00,10203.00,1422.00,1527.00,715.00,6539.00,0.00,24216.00,0.00,12609.00,0.00,0.00,12609.00,51937.00
1974:Q2,51201.00,0.00,5110.00,0.00,0.00,10653.00,1628.00,1728.00,718.00,6579.00,0.00,22141.00,0.00,13297.00,0.00,0.00,13297.00,51201.00
1974:Q3,47498.00,0.00,5326.00,0.00,0.00,11448.00,1868.00,2059.00,772.00,6749.00,0.00,16570.00,0.00,14154.00,0.00,0.00,14154.00,47498.00
1974:Q4,51377.00,0.00,5620.00,0.00,0.00,12250.00,2161.00,2140.00,947.00,7002.00,0.00,18689.00,0.00,14818.00,0.00,0.00,14818.00,51377.00
1975:Q1,60510.00,0.00,5873.00,0.00,0.00,13389.00,2532.00,2406.00,1028.00,7423.00,0.00,25731.00,0.00,15517.00,0.00,0.00,15517.00,60510.00
1975:Q2,68666.00,0.00,6181.00,0.00,0.00,14439.00,3003.00,2629.00,1078.00,7729.00,0.00,30802.00,0.00,17244.00,0.00,0.00,17244.00,68666.00
1975:Q3,69713.00,0.00,6501.00,0.00,0.00,15475.00,3379.00,2974.00,1096.00,8026.00,0.00,27970.00,0.00,19767.00,0.00,0.00,19767.00,69713.00
1975:Q4,74612.00,0.00,6793.00,0.00,0.00,16309.00,3626.00,3099.00,1202.00,8382.00,0.00,30240.00,0.00,21270.00,0.00,0.00,21270.00,74612.00
1976:Q1,80177.00,0.00,7095.00,0.00,0.00,17158.00,3957.00,3403.00,1309.00,8489.00,0.00,34626.00,0.00,21298.00,0.00,0.00,21298.00,80177.00
1976:Q2,79871.00,0.00,7354.00,0.00,0.00,17954.00,4176.00,3803.00,1391.00,8584.00,0.00,34596.00,0.00,19967.00,0.00,0.00,19967.00,79871.00
1976:Q3,81529.00,0.00,7565.00,0.00,0.00,18111.00,4302.00,4093.00,1433.00,8283.00,0.00,34586.00,0.00,21267.00,0.00,0.00,21267.00,81529.00
1976:Q4,84341.00,0.00,7820.00,0.00,0.00,18285.00,4381.00,4519.00,1336.00,8049.00,0.00,35140.00,0.00,23096.00,0.00,0.00,23096.00,84341.00
1977:Q1,86109.00,0.00,8131.00,0.00,0.00,18505.00,4455.00,4468.00,1559.00,8023.00,0.00,33238.00,0.00,26235.00,0.00,0.00,26235.00,86109.00
1977:Q2,88655.00,0.00,8476.00,23.00,0.00,19425.00,4509.00,4989.00,1678.00,8249.00,0.00,34491.00,0.00,26240.00,0.00,0.00,26240.00,88655.00
1977:Q3,91112.00,0.00,8846.00,53.00,0.00,19751.00,4524.00,5020.00,1894.00,8313.00,0.00,33733.00,0.00,28729.00,0.00,0.00,28729.00,91112.00
1977:Q4,92766.00,0.00,9233.00,94.00,0.00,20633.00,4526.00,5327.00,1870.00,8910.00,0.00,34611.00,0.00,28195.00,0.00,0.00,28195.00,92766.00
1978:Q1,95970.00,0.00,9678.00,150.00,0.00,20844.00,4540.00,5369.00,1864.00,9071.00,0.00,34181.00,0.00,31117.00,0.00,0.00,31117.00,95970.00
1978:Q2,100779.00,0.00,10147.00,212.00,0.00,21826.00,4534.00,5546.00,1853.00,9893.00,0.00,38367.00,0.00,30227.00,0.00,0.00,30227.00,100779.00
1978:Q3,108275.00,0.00,10579.00,272.00,0.00,22287.00,4469.00,5272.00,2194.00,10352.00,0.00,43231.00,0.00,31906.00,0.00,0.00,31906.00,108275.00
1978:Q4,110620.00,0.00,11120.00,359.00,0.00,22767.00,4465.00,5795.00,1910.00,10597.00,0.00,42086.00,0.00,34288.00,0.00,0.00,34288.00,110620.00
1979:Q1,120260.00,0.00,11622.00,500.00,0.00,23553.00,4637.00,5932.00,2177.00,10807.00,0.00,48762.00,0.00,35823.00,0.00,0.00,35823.00,120260.00
1979:Q2,124579.00,0.00,12068.00,688.00,0.00,25048.00,4999.00,6232.00,2361.00,11456.00,0.00,49791.00,0.00,36984.00,0.00,0.00,36984.00,124579.00
1979:Q3,130780.00,0.00,12556.00,913.00,0.00,26743.00,5558.00,6442.00,2641.00,12102.00,0.00,53555.00,0.00,37013.00,0.00,0.00,37013.00,130780.00
