1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1985:Q1,275191.00,59851.00,36370.00,0.00,5468.00,5468.00,0.00,41009.00,41009.00,0.00,60657.00,71836.00,52726.00,4842.00,14269.00,1080659.00,886857.00,129531.00,95730.00,661596.00,67916.00,18775.00,7460.00,99651.00
1985:Q2,283393.00,62458.00,37956.00,0.00,5488.00,5488.00,0.00,42493.00,42493.00,0.00,61926.00,73072.00,54588.00,4721.00,13763.00,1116708.00,915931.00,132549.00,96194.00,687188.00,69987.00,19494.00,7370.00,103927.00
1985:Q3,292268.00,65757.00,39489.00,0.00,5588.00,5588.00,0.00,43447.00,43447.00,0.00,62957.00,75030.00,56533.00,4616.00,13881.00,1146194.00,929118.00,132975.00,96349.00,699794.00,70920.00,20450.00,7410.00,118297.00
1985:Q4,301070.00,71771.00,40600.00,0.00,5754.00,5754.00,0.00,43983.00,43983.00,0.00,63798.00,75165.00,56258.00,4532.00,14375.00,1151978.00,933047.00,131382.00,93849.00,707816.00,66558.00,21596.00,7955.00,122822.00
1986:Q1,317506.00,73166.00,41380.00,3122.00,9425.00,9425.00,0.00,43818.00,43818.00,0.00,69046.00,77549.00,58108.00,4332.00,15109.00,1161451.00,951071.00,130931.00,93923.00,726218.00,54197.00,21836.00,8171.00,126175.00
1986:Q2,325694.00,73741.00,41918.00,3182.00,10008.00,10008.00,0.00,45091.00,45091.00,0.00,71303.00,80451.00,60130.00,4352.00,15969.00,1181040.00,972756.00,132147.00,94736.00,745873.00,50678.00,22148.00,8360.00,127097.00
1986:Q3,333203.00,73975.00,42224.00,3208.00,10530.00,10530.00,0.00,46259.00,46259.00,0.00,73364.00,83643.00,62033.00,4157.00,17453.00,1197799.00,988495.00,132675.00,93028.00,762792.00,49627.00,22637.00,8491.00,128549.00
1986:Q4,336276.00,74350.00,42308.00,3227.00,10771.00,10771.00,0.00,44676.00,44676.00,0.00,74822.00,86123.00,62879.00,3931.00,19313.00,1214318.00,1000195.00,131977.00,93021.00,775197.00,51446.00,23269.00,8104.00,131304.00
1987:Q1,335949.00,74594.00,42014.00,3220.00,10720.00,10720.00,0.00,42950.00,42950.00,0.00,75513.00,86939.00,62488.00,3726.00,20724.00,1229959.00,1016511.00,131935.00,92672.00,791903.00,54924.00,23459.00,8224.00,126841.00
1987:Q2,331843.00,74788.00,41183.00,3166.00,10365.00,10365.00,0.00,40438.00,40438.00,0.00,75274.00,86630.00,60734.00,3634.00,22261.00,1242996.00,1031020.00,136343.00,93539.00,801138.00,53811.00,23480.00,8388.00,126297.00
