1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1998:Q4,515819.00,51037.00,23186.00,4714.00,0.00,0.00,0.00,218279.00,136869.00,44894.00,36516.00,0.00,22254.00,81975.00,114374.00,5662085.00,6899.00,9200.00,19885.00,4395086.00,4366585.00,3292049.00,1074536.00,28501.00,0.00,66198.00,33555.00,1131262.00,1124562.00,6700.00
1999:Q1,523171.00,48262.00,29145.00,3858.00,0.00,0.00,0.00,221416.00,136231.00,44549.00,40636.00,0.00,23847.00,81050.00,115593.00,5686302.00,6653.00,8200.00,19885.00,4392185.00,4364067.00,3298489.00,1065578.00,28118.00,0.00,66671.00,33724.00,1158984.00,1152287.00,6697.00
1999:Q2,556927.00,45974.00,61206.00,4065.00,0.00,0.00,0.00,223598.00,136358.00,44453.00,42787.00,0.00,24520.00,80125.00,117439.00,5599444.00,6545.00,8200.00,20402.00,4294362.00,4266094.00,3187031.00,1079063.00,28268.00,0.00,69107.00,34398.00,1166430.00,1159773.00,6657.00
1999:Q3,598726.00,46378.00,62916.00,4582.00,0.00,0.00,0.00,261345.00,137125.00,77763.00,46457.00,0.00,25668.00,79200.00,118637.00,5600370.00,6799.00,7200.00,20902.00,4290764.00,4262488.00,3172959.00,1089529.00,28276.00,0.00,70564.00,34455.00,1169686.00,1162985.00,6701.00
1999:Q4,616211.00,44452.00,87921.00,5385.00,0.00,0.00,0.00,255743.00,130014.00,77741.00,47988.00,0.00,22859.00,80325.00,119526.00,5666772.00,6725.00,6200.00,20901.00,4365000.00,4336716.00,3221095.00,1115621.00,28284.00,0.00,72015.00,34956.00,1160975.00,1154425.00,6550.00
2000:Q1,585396.00,44052.00,48487.00,5474.00,0.00,0.00,0.00,259116.00,130054.00,76798.00,52264.00,0.00,25429.00,81450.00,121388.00,5664076.00,6599.00,6200.00,21441.00,4326404.00,4298636.00,3201973.00,1096663.00,27768.00,0.00,78144.00,35248.00,1190040.00,1183411.00,6629.00
2000:Q2,599255.00,41473.00,60162.00,5725.00,0.00,0.00,0.00,260081.00,129155.00,76821.00,54105.00,0.00,26889.00,82575.00,122350.00,5492997.00,6552.00,4200.00,22124.00,4147231.00,4119004.00,3014524.00,1104480.00,28227.00,0.00,79477.00,35904.00,1197509.00,1190995.00,6514.00
2000:Q3,598210.00,39682.00,55735.00,6248.00,0.00,0.00,0.00,262096.00,128288.00,75266.00,58542.00,0.00,27667.00,83700.00,123082.00,5458837.00,6359.00,3200.00,23181.00,4107482.00,4079861.00,2970228.00,1109633.00,27621.00,0.00,80897.00,35958.00,1201760.00,1195206.00,6554.00
2000:Q4,569864.00,41051.00,24271.00,6339.00,0.00,0.00,0.00,262566.00,127250.00,75654.00,59662.00,0.00,28146.00,83325.00,124166.00,5448235.00,6384.00,2200.00,23180.00,4090025.00,4062699.00,2944782.00,1117917.00,27326.00,0.00,77678.00,36396.00,1212372.00,1205982.00,6390.00
2001:Q1,581983.00,38741.00,30666.00,8384.00,0.00,0.00,0.00,264466.00,125016.00,75064.00,64386.00,0.00,31652.00,82950.00,125124.00,5493640.00,6177.00,2200.00,23578.00,4122030.00,4095263.00,2964368.00,1130895.00,26767.00,0.00,80619.00,36555.00,1222481.00,1216003.00,6478.00
2001:Q2,605852.00,39495.00,48951.00,9862.00,0.00,0.00,0.00,265151.00,123540.00,74928.00,66683.00,0.00,33828.00,82575.00,125990.00,5356491.00,6103.00,2200.00,23904.00,3976229.00,3949181.00,2804731.00,1144450.00,27048.00,0.00,81570.00,37148.00,1229337.00,1222980.00,6357.00
2001:Q3,621142.00,44666.00,50562.00,11674.00,0.00,0.00,0.00,268130.00,123286.00,74079.00,70765.00,0.00,37647.00,82200.00,126263.00,5447481.00,6316.00,2200.00,24462.00,4058181.00,4031221.00,2883903.00,1147318.00,26960.00,0.00,84292.00,37155.00,1234875.00,1228483.00,6392.00
2001:Q4,632611.00,43164.00,66852.00,10530.00,0.00,0.00,0.00,266432.00,119423.00,74539.00,72470.00,0.00,35470.00,84000.00,126163.00,5522679.00,6157.00,2200.00,24462.00,4145237.00,4118460.00,2940792.00,1177668.00,26777.00,0.00,80897.00,37781.00,1225945.00,1219728.00,6217.00
2002:Q1,600232.00,42247.00,25212.00,15236.00,0.00,0.00,0.00,269728.00,119127.00,74509.00,76092.00,0.00,35898.00,85800.00,126111.00,5592966.00,6109.00,2200.00,24696.00,4183973.00,4157645.00,2994298.00,1163347.00,26328.00,0.00,82282.00,37713.00,1255993.00,1249689.00,6304.00
2002:Q2,630327.00,47606.00,53502.00,9851.00,0.00,0.00,0.00,270409.00,119767.00,74246.00,76396.00,0.00,34660.00,87600.00,126699.00,5635707.00,6519.00,2200.00,24846.00,4213894.00,4187119.00,3012323.00,1174796.00,26775.00,0.00,84298.00,38713.00,1265237.00,1259061.00,6176.00
2002:Q3,668785.00,48815.00,77651.00,18414.00,0.00,0.00,0.00,273848.00,119603.00,73796.00,80449.00,0.00,32480.00,89400.00,128177.00,5744560.00,6481.00,2200.00,25450.00,4314504.00,4287334.00,3096826.00,1190508.00,27170.00,0.00,84450.00,38684.00,1272791.00,1266588.00,6203.00
2002:Q4,652848.00,50977.00,47703.00,27595.00,0.00,0.00,0.00,274450.00,118901.00,75059.00,80490.00,0.00,32197.00,90650.00,129276.00,5873289.00,6661.00,2200.00,25450.00,4427328.00,4400053.00,3181716.00,1218337.00,27275.00,0.00,81905.00,39354.00,1290391.00,1268994.00,21397.00
2003:Q1,634399.00,51745.00,23346.00,18415.00,0.00,0.00,0.00,274714.00,118876.00,72709.00,83129.00,0.00,45581.00,91900.00,128698.00,6029105.00,6731.00,2200.00,25591.00,4468372.00,4441492.00,3293980.00,1147512.00,26880.00,0.00,104451.00,39373.00,1382387.00,1360187.00,22200.00
2003:Q2,667727.00,52934.00,41852.00,27783.00,0.00,0.00,0.00,273284.00,118356.00,72764.00,82164.00,0.00,48735.00,93150.00,129989.00,6125733.00,6864.00,2200.00,25992.00,4585543.00,4558534.00,3356764.00,1201770.00,27009.00,0.00,122541.00,39793.00,1342800.00,1319606.00,23194.00
2003:Q3,663369.00,54879.00,53292.00,9106.00,0.00,0.00,0.00,272887.00,117237.00,72339.00,83311.00,0.00,48424.00,94400.00,130381.00,6273630.00,7005.00,2200.00,26015.00,4702629.00,4675606.00,3438700.00,1236906.00,27023.00,0.00,141028.00,39930.00,1354823.00,1330378.00,24445.00
2003:Q4,659716.00,54972.00,54308.00,2408.00,0.00,0.00,0.00,272026.00,117075.00,72585.00,82366.00,0.00,51277.00,93650.00,131075.00,6442367.00,7281.00,2200.00,26014.00,4848035.00,4823169.00,3553832.00,1269337.00,24866.00,0.00,153581.00,40480.00,1364776.00,1323973.00,40803.00
2004:Q1,639584.00,54360.00,22675.00,1850.00,0.00,0.00,0.00,278342.00,118348.00,74591.00,85403.00,0.00,57635.00,92900.00,131822.00,6606918.00,7254.00,2200.00,26210.00,4970105.00,4944973.00,3702839.00,1242134.00,25132.00,0.00,162265.00,40468.00,1398416.00,1358048.00,40368.00
2004:Q2,661305.00,52282.00,46845.00,2114.00,0.00,0.00,0.00,274261.00,116439.00,73094.00,84728.00,0.00,60967.00,92150.00,132686.00,6674800.00,7184.00,2200.00,26499.00,5018844.00,4994623.00,3736774.00,1257849.00,24221.00,0.00,167733.00,40940.00,1411400.00,1370345.00,41055.00
2004:Q3,650460.00,52002.00,35405.00,2247.00,0.00,0.00,0.00,275637.00,115222.00,73275.00,87140.00,0.00,59836.00,91400.00,133933.00,6783110.00,7197.00,2200.00,26673.00,5117264.00,5093081.00,3822244.00,1270837.00,24183.00,0.00,171230.00,40994.00,1417552.00,1375908.00,41644.00
2004:Q4,640612.00,54298.00,22176.00,2402.00,0.00,0.00,0.00,274293.00,114032.00,74187.00,86074.00,0.00,61768.00,91225.00,134450.00,6921102.00,7609.00,2200.00,26703.00,5250883.00,5226622.00,3919926.00,1306696.00,24261.00,0.00,168975.00,41566.00,1423166.00,1365196.00,57970.00
2005:Q1,628575.00,47496.00,20806.00,2393.00,0.00,0.00,0.00,270179.00,106302.00,74452.00,89425.00,0.00,62466.00,91050.00,134185.00,7119196.00,7402.00,2200.00,26902.00,5403995.00,5379919.00,4062682.00,1317237.00,24076.00,0.00,179625.00,41567.00,1457505.00,1397621.00,59884.00
2005:Q2,643596.00,46157.00,33467.00,1692.00,0.00,0.00,0.00,269146.00,105605.00,74605.00,88936.00,0.00,67175.00,90875.00,135084.00,7104590.00,7137.00,2200.00,27172.00,5356972.00,5333242.00,3992064.00,1341178.00,23730.00,0.00,189665.00,41985.00,1479459.00,1423024.00,56435.00
2005:Q3,646141.00,41025.00,34784.00,2074.00,0.00,0.00,0.00,272107.00,104826.00,75566.00,91715.00,0.00,69305.00,90700.00,136146.00,7210905.00,7102.00,2200.00,27401.00,5443776.00,5420140.00,4044797.00,1375343.00,23636.00,0.00,199592.00,42055.00,1488779.00,1430356.00,58423.00
2005:Q4,643690.00,35057.00,37049.00,1439.00,0.00,0.00,0.00,271197.00,104802.00,76573.00,89822.00,0.00,70992.00,91600.00,136356.00,7370344.00,7003.00,2200.00,27482.00,5584775.00,5560940.00,4143058.00,1417882.00,23835.00,0.00,202637.00,42702.00,1503545.00,1422797.00,80748.00
2006:Q1,636000.00,34898.00,8624.00,1537.00,0.00,0.00,0.00,291188.00,104079.00,77014.00,110095.00,0.00,69468.00,92500.00,137785.00,7549445.00,7059.00,2200.00,27626.00,5726756.00,5703174.00,4297584.00,1405590.00,23582.00,0.00,206181.00,42778.00,1536845.00,1457228.00,79617.00
2006:Q2,679938.00,36558.00,45946.00,1575.00,0.00,0.00,0.00,292742.00,104400.00,78736.00,109606.00,0.00,71816.00,93400.00,137901.00,7502144.00,7248.00,2200.00,27815.00,5656530.00,5632891.00,4211505.00,1421386.00,23639.00,0.00,213572.00,43333.00,1551446.00,1472970.00,78476.00
2006:Q3,689921.00,35088.00,51476.00,4822.00,0.00,0.00,0.00,294249.00,104151.00,79639.00,110459.00,0.00,71108.00,94300.00,138878.00,7566446.00,7234.00,2200.00,28065.00,5714828.00,5691443.00,4257879.00,1433564.00,23385.00,0.00,214207.00,43470.00,1556442.00,1478406.00,78036.00
2006:Q4,658308.00,34239.00,33195.00,1660.00,0.00,0.00,0.00,294291.00,105348.00,80279.00,108664.00,0.00,59397.00,96100.00,139426.00,7661497.00,7371.00,2200.00,28064.00,5803923.00,5780414.00,4297561.00,1482853.00,23509.00,0.00,208841.00,44204.00,1566894.00,1468330.00,98564.00
2007:Q1,641577.00,34491.00,7377.00,1561.00,0.00,0.00,0.00,299026.00,105756.00,81093.00,112177.00,0.00,61231.00,97900.00,139991.00,7842647.00,7399.00,2200.00,28166.00,5940824.00,5917644.00,4423714.00,1493930.00,23180.00,0.00,218455.00,44565.00,1601038.00,1503599.00,97439.00
2007:Q2,667694.00,34129.00,28362.00,1433.00,0.00,0.00,0.00,299624.00,105871.00,81899.00,111854.00,0.00,63511.00,99700.00,140935.00,7787553.00,7426.00,2200.00,27835.00,5819983.00,5796827.00,4294495.00,1502332.00,23156.00,0.00,232621.00,45132.00,1652356.00,1534475.00,117881.00
2007:Q3,725711.00,35716.00,77247.00,1351.00,0.00,0.00,0.00,301717.00,104837.00,81880.00,115000.00,0.00,66496.00,101500.00,141684.00,7925411.00,7627.00,2200.00,27484.00,5941940.00,5918987.00,4403060.00,1515927.00,22953.00,0.00,239422.00,45116.00,1661622.00,1538925.00,122697.00
2007:Q4,703845.00,36379.00,56501.00,2841.00,0.00,0.00,0.00,301073.00,103054.00,82362.00,115657.00,0.00,60593.00,105000.00,141458.00,8054529.00,7742.00,2200.00,27383.00,6074315.00,6051176.00,4493689.00,1557487.00,23139.00,0.00,238161.00,45769.00,1658959.00,1516754.00,142205.00
