1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q3,521196.00,1333.00,5431.00,0.00,1053.00,94458.00,0.00,33031.00,2102.00,2348.00,56977.00,9684.00,66455.00,689.00,342093.00,0.00,1672.00,332614.00,7807.00,522174.00,496935.00,164321.00,332614.00,ND,495957.00,25239.00,ND,ND
1969:Q4,534923.00,1333.00,5599.00,0.00,1079.00,95444.00,0.00,32767.00,2174.00,2331.00,58172.00,9791.00,68725.00,715.00,352237.00,0.00,1710.00,342529.00,7998.00,535904.00,510066.00,167537.00,342529.00,ND,509085.00,25838.00,ND,ND
1970:Q1,552058.00,1265.00,5784.00,0.00,1105.00,96695.00,0.00,32601.00,2170.00,2308.00,59616.00,9880.00,69089.00,737.00,367503.00,0.00,1720.00,357556.00,8227.00,553055.00,523883.00,166327.00,357556.00,ND,522886.00,29172.00,ND,ND
1970:Q2,563697.00,1224.00,6075.00,0.00,1133.00,99368.00,0.00,34073.00,2269.00,2159.00,60867.00,10021.00,56873.00,752.00,388251.00,0.00,1560.00,378060.00,8631.00,564726.00,537993.00,159933.00,378060.00,ND,536964.00,26733.00,ND,ND
1970:Q3,580835.00,1302.00,6266.00,0.00,1161.00,101759.00,0.00,34472.00,2492.00,2133.00,62662.00,9982.00,68490.00,774.00,391101.00,0.00,1730.00,380656.00,8715.00,581899.00,552360.00,171704.00,380656.00,ND,551296.00,29539.00,ND,ND
1970:Q4,597420.00,1494.00,6528.00,0.00,1190.00,103681.00,0.00,34756.00,2395.00,2032.00,64498.00,10091.00,77187.00,817.00,396432.00,0.00,1858.00,385721.00,8853.00,598510.00,566839.00,181118.00,385721.00,ND,565749.00,31671.00,ND,ND
1971:Q1,615079.00,1551.00,6800.00,0.00,1221.00,104105.00,0.00,34865.00,2173.00,2040.00,65027.00,10099.00,88918.00,882.00,401503.00,0.00,2004.00,390517.00,8982.00,616247.00,582074.00,191557.00,390517.00,ND,580906.00,34173.00,ND,ND
1971:Q2,631229.00,1625.00,6945.00,0.00,1252.00,105898.00,0.00,36010.00,1993.00,2042.00,65853.00,10084.00,91735.00,968.00,412722.00,0.00,2029.00,401452.00,9241.00,632481.00,597721.00,196269.00,401452.00,ND,596469.00,34760.00,ND,ND
1971:Q3,648637.00,1692.00,7207.00,0.00,1286.00,106344.00,0.00,36229.00,2038.00,2050.00,66027.00,9946.00,97241.00,1062.00,423859.00,0.00,2097.00,412290.00,9472.00,649972.00,613939.00,201649.00,412290.00,ND,612604.00,36033.00,ND,ND
1971:Q4,667058.00,1853.00,7418.00,0.00,1321.00,108304.00,0.00,36392.00,2150.00,2152.00,67610.00,9946.00,104051.00,1150.00,433015.00,0.00,2199.00,421123.00,9693.00,668484.00,630701.00,209578.00,421123.00,ND,629275.00,37783.00,ND,ND
1972:Q1,687481.00,2116.00,7552.00,0.00,1474.00,110134.00,308.00,36462.00,2526.00,2229.00,68609.00,9641.00,113687.00,1237.00,441640.00,0.00,2350.00,428375.00,10915.00,689065.00,648283.00,219908.00,428375.00,ND,646699.00,40782.00,ND,ND
1972:Q2,707401.00,2218.00,7854.00,0.00,1707.00,114959.00,794.00,38597.00,3007.00,2466.00,70095.00,9390.00,115596.00,1330.00,454347.00,0.00,2426.00,438985.00,12936.00,709083.00,666303.00,227318.00,438985.00,ND,664621.00,42780.00,ND,ND
1972:Q3,728310.00,2300.00,8220.00,0.00,1948.00,118773.00,1322.00,38959.00,3685.00,2123.00,72684.00,9205.00,119193.00,1419.00,467252.00,0.00,2537.00,449717.00,14998.00,730094.00,684731.00,235014.00,449717.00,ND,682947.00,45363.00,ND,ND
1972:Q4,750281.00,2557.00,8702.00,0.00,2130.00,122140.00,1755.00,40342.00,4183.00,2029.00,73831.00,9198.00,130017.00,1494.00,474043.00,0.00,2722.00,454876.00,16445.00,752142.00,703196.00,248320.00,454876.00,ND,701335.00,48946.00,ND,ND
1973:Q1,760463.00,2501.00,9195.00,0.00,2260.00,125353.00,2104.00,40594.00,4882.00,1622.00,76151.00,9146.00,123746.00,1555.00,486707.00,0.00,2695.00,466367.00,17645.00,762428.00,713441.00,247074.00,466367.00,ND,711476.00,48987.00,ND,ND
1973:Q2,770157.00,2680.00,9661.00,0.00,2348.00,130192.00,2382.00,42968.00,5268.00,1536.00,78038.00,9260.00,115925.00,1603.00,498488.00,0.00,2634.00,477353.00,18501.00,772262.00,723944.00,246591.00,477353.00,ND,721839.00,48318.00,ND,ND
1973:Q3,784338.00,2940.00,10340.00,0.00,2427.00,133472.00,2677.00,42932.00,5808.00,1650.00,80405.00,9249.00,127230.00,1647.00,497033.00,0.00,2826.00,475187.00,19020.00,786600.00,734945.00,259758.00,475187.00,ND,732683.00,51655.00,ND,ND
1973:Q4,794041.00,2999.00,10827.00,0.00,2530.00,135852.00,3079.00,43386.00,6526.00,1691.00,81170.00,9517.00,113757.00,1695.00,516864.00,0.00,2697.00,494100.00,20067.00,796462.00,746494.00,252394.00,494100.00,ND,744073.00,49968.00,ND,ND
1974:Q1,813164.00,2963.00,11331.00,0.00,2645.00,137957.00,3554.00,43062.00,7069.00,1845.00,82427.00,9670.00,117902.00,1734.00,528962.00,0.00,2791.00,505156.00,21015.00,815813.00,763876.00,258720.00,505156.00,ND,761227.00,51937.00,ND,ND
1974:Q2,830271.00,3145.00,12056.00,0.00,2765.00,144962.00,4069.00,47710.00,7409.00,1444.00,84330.00,9707.00,107860.00,1751.00,548025.00,0.00,2718.00,523146.00,22161.00,833094.00,781893.00,258747.00,523146.00,ND,779070.00,51201.00,ND,ND
1974:Q3,844701.00,3363.00,12704.00,0.00,2894.00,149045.00,4670.00,47876.00,7912.00,1248.00,87339.00,9791.00,80756.00,1790.00,584358.00,0.00,2459.00,558309.00,23590.00,847750.00,800252.00,241943.00,558309.00,ND,797203.00,47498.00,ND,ND
1974:Q4,866549.00,3620.00,13500.00,0.00,3041.00,153198.00,5403.00,48382.00,8888.00,983.00,89542.00,10074.00,91155.00,1895.00,590066.00,0.00,2670.00,562699.00,24697.00,869825.00,818448.00,255749.00,562699.00,ND,815172.00,51377.00,ND,ND
1975:Q1,892998.00,3943.00,14306.00,0.00,3211.00,159177.00,6329.00,49129.00,9392.00,789.00,93538.00,10114.00,112160.00,2065.00,588022.00,0.00,3035.00,559126.00,25861.00,896582.00,836072.00,276946.00,559126.00,ND,832488.00,60510.00,ND,ND
1975:Q2,918564.00,4247.00,14839.00,0.00,3575.00,170482.00,7508.00,55774.00,9736.00,728.00,96736.00,10188.00,134377.00,2301.00,578555.00,0.00,3436.00,546379.00,28740.00,922393.00,853727.00,307348.00,546379.00,ND,849898.00,68666.00,ND,ND
1975:Q3,937389.00,4479.00,15174.00,0.00,4042.00,175162.00,8447.00,56406.00,10026.00,906.00,99377.00,10241.00,122159.00,2559.00,603573.00,0.00,3431.00,567197.00,32945.00,941418.00,871705.00,304508.00,567197.00,ND,867676.00,69713.00,ND,ND
1975:Q4,960486.00,4675.00,15625.00,0.00,4346.00,181614.00,9066.00,56997.00,10720.00,1940.00,102891.00,9925.00,132299.00,2795.00,609207.00,0.00,3665.00,570092.00,35450.00,964741.00,890129.00,320037.00,570092.00,ND,885874.00,74612.00,ND,ND
1976:Q1,978327.00,4882.00,16160.00,0.00,4385.00,186279.00,9892.00,57994.00,11487.00,2193.00,104713.00,9926.00,151868.00,2795.00,602032.00,0.00,3965.00,562570.00,35497.00,982667.00,902490.00,339920.00,562570.00,ND,898150.00,80177.00,ND,ND
1976:Q2,990809.00,4989.00,16779.00,0.00,4140.00,199267.00,10440.00,66524.00,12181.00,3150.00,106972.00,10006.00,152274.00,3033.00,600321.00,0.00,3984.00,563059.00,33278.00,995238.00,915367.00,352308.00,563059.00,ND,910938.00,79871.00,ND,ND
1976:Q3,1005755.00,4873.00,17151.00,0.00,4386.00,200339.00,10756.00,66583.00,12792.00,3383.00,106825.00,9998.00,152777.00,3297.00,612934.00,0.00,4032.00,573457.00,35445.00,1010277.00,928748.00,355291.00,573457.00,ND,924226.00,81529.00,ND,ND
1976:Q4,1021937.00,4776.00,17787.00,0.00,4736.00,201962.00,10952.00,68789.00,12911.00,3360.00,105950.00,10146.00,155601.00,3534.00,623395.00,0.00,4130.00,580772.00,38493.00,1026552.00,942211.00,361439.00,580772.00,ND,937596.00,84341.00,ND,ND
1977:Q1,1041579.00,4735.00,18398.00,0.00,5319.00,203142.00,11138.00,68051.00,15501.00,2872.00,105580.00,10104.00,147405.00,3692.00,648784.00,0.00,4140.00,600919.00,43725.00,1046340.00,960231.00,359312.00,600919.00,ND,955470.00,86109.00,ND,ND
1977:Q2,1062538.00,4867.00,19435.00,23.00,5335.00,211571.00,11272.00,73453.00,16249.00,3628.00,106969.00,10403.00,153119.00,3771.00,654014.00,0.00,4284.00,605997.00,43733.00,1067449.00,978794.00,372797.00,605997.00,ND,973883.00,88655.00,ND,ND
1977:Q3,1084408.00,5014.00,20304.00,53.00,5803.00,222463.00,11309.00,79939.00,17449.00,3556.00,110210.00,10108.00,149797.00,3771.00,667095.00,0.00,4348.00,614866.00,47881.00,1089474.00,998362.00,383496.00,614866.00,ND,993296.00,91112.00,ND,ND
1977:Q4,1106592.00,5115.00,21060.00,94.00,5717.00,230082.00,11314.00,81300.00,18086.00,3544.00,115838.00,10538.00,153610.00,3746.00,676630.00,0.00,4459.00,625179.00,46992.00,1111819.00,1019053.00,393874.00,625179.00,ND,1013826.00,92766.00,ND,ND
1978:Q1,1131424.00,5276.00,22350.00,150.00,6268.00,233084.00,11350.00,81067.00,19440.00,3386.00,117841.00,10641.00,151277.00,3750.00,698628.00,0.00,4551.00,642215.00,51862.00,1136869.00,1040899.00,398684.00,642215.00,ND,1035454.00,95970.00,ND,ND
1978:Q2,1158483.00,5418.00,23633.00,212.00,6136.00,243782.00,11335.00,84705.00,19774.00,3732.00,124236.00,10893.00,169069.00,3750.00,695590.00,0.00,4845.00,640367.00,50378.00,1164150.00,1063371.00,423004.00,640367.00,ND,1057704.00,100779.00,ND,ND
1978:Q3,1187810.00,5538.00,24945.00,272.00,6488.00,256052.00,11173.00,90285.00,21895.00,3668.00,129031.00,11113.00,189552.00,3708.00,690142.00,0.00,5214.00,631751.00,53177.00,1193725.00,1085450.00,453699.00,631751.00,ND,1079535.00,108275.00,ND,ND
1978:Q4,1210608.00,5569.00,26014.00,359.00,6935.00,263677.00,11162.00,92892.00,22646.00,3951.00,133026.00,11307.00,183608.00,3715.00,709424.00,0.00,5270.00,647008.00,57146.00,1216778.00,1106158.00,459150.00,647008.00,ND,1099988.00,110620.00,ND,ND
1979:Q1,1239328.00,5666.00,27474.00,500.00,7253.00,267171.00,11593.00,92955.00,24327.00,4073.00,134223.00,11595.00,198044.00,3862.00,717763.00,0.00,5571.00,652487.00,59705.00,1246049.00,1125789.00,473302.00,652487.00,ND,1119068.00,120260.00,ND,ND
1979:Q2,1263439.00,5668.00,28521.00,688.00,7490.00,279240.00,12498.00,98301.00,25230.00,3867.00,139344.00,11767.00,201877.00,4152.00,724036.00,0.00,5772.00,656624.00,61640.00,1270736.00,1146157.00,489533.00,656624.00,ND,1138860.00,124579.00,ND,ND
1979:Q3,1292698.00,5626.00,29769.00,913.00,7532.00,294510.00,13894.00,106663.00,26069.00,3880.00,144004.00,12290.00,216832.00,4585.00,720641.00,0.00,6095.00,652858.00,61688.00,1300611.00,1169831.00,516973.00,652858.00,ND,1161918.00,130780.00,ND,ND
1979:Q4,1330030.00,5621.00,31352.00,1182.00,7768.00,302855.00,15396.00,108960.00,27919.00,3910.00,146670.00,12743.00,212537.00,11476.00,744496.00,0.00,6196.00,674590.00,63710.00,1338582.00,1198865.00,524275.00,674590.00,ND,1190313.00,139717.00,ND,ND
1980:Q1,1357099.00,5535.00,32399.00,1500.00,7979.00,313280.00,16621.00,109523.00,29324.00,4101.00,153711.00,13245.00,202192.00,12220.00,768749.00,0.00,6240.00,696919.00,65590.00,1366410.00,1229842.00,532923.00,696919.00,ND,1220531.00,136568.00,ND,ND
