1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1997:Q1,10682.00,4386.00,5982.00,774.00,-384.00,953.00,-445.00,-376.00,1774.00,-405.00,0.00,5044.00,8974.00,0.00,0.00,8978.00,-14840.00,-5376.00,7308.00,-13681.00,-184.00,1584.00,-190.00,1774.00,-3468.00,-13352.00,1739.00,-6915.00,8654.00,-13367.00
1997:Q2,11111.00,4480.00,24046.00,-130.00,46.00,1315.00,-678.00,666.00,1327.00,-42.00,0.00,22857.00,10984.00,0.00,0.00,-3911.00,5477.00,3708.00,6599.00,6701.00,-95.00,8901.00,2509.00,6392.00,-27.00,-8578.00,6500.00,2523.00,3977.00,-10715.00
1997:Q3,10839.00,4703.00,16074.00,53.00,85.00,-980.00,-215.00,-863.00,98.00,-264.00,0.00,17180.00,11325.00,0.00,0.00,5030.00,400.00,997.00,-572.00,5095.00,111.00,3894.00,596.00,3298.00,3260.00,-5581.00,3411.00,1110.00,2301.00,-4843.00
1997:Q4,19219.00,4771.00,19835.00,-864.00,827.00,4191.00,1284.00,1148.00,1759.00,671.00,0.00,15010.00,-2.00,0.00,0.00,-6475.00,12485.00,-82.00,9084.00,-1418.00,743.00,4649.00,3064.00,1585.00,-64.00,-3390.00,-3356.00,-9480.00,6124.00,-6805.00
1998:Q1,12820.00,4930.00,41763.00,445.00,-1037.00,3640.00,-1715.00,3100.00,2255.00,179.00,0.00,38536.00,19848.00,0.00,0.00,5296.00,-591.00,-1070.00,15053.00,23495.00,64.00,12598.00,4217.00,8381.00,549.00,-2967.00,13251.00,5651.00,7600.00,-10378.00
1998:Q2,9264.00,5102.00,25728.00,294.00,-116.00,-4130.00,-581.00,-2804.00,-745.00,-280.00,0.00,29960.00,14456.00,0.00,0.00,-3894.00,18133.00,-768.00,2033.00,21782.00,3658.00,9311.00,6179.00,3132.00,2375.00,-4152.00,10590.00,8446.00,2144.00,216.00
1998:Q3,11392.00,5194.00,15685.00,-70.00,-22.00,1496.00,-707.00,617.00,1586.00,10.00,0.00,14271.00,17126.00,0.00,0.00,-2394.00,3732.00,-2445.00,-1748.00,4141.00,170.00,5623.00,1963.00,3660.00,3112.00,-2916.00,-1848.00,-1741.00,-107.00,-5347.00
1998:Q4,16179.00,5353.00,41978.00,-112.00,5464.00,-3637.00,-55.00,215.00,-3797.00,1796.00,0.00,38467.00,9729.00,0.00,0.00,1858.00,16894.00,3696.00,6290.00,24003.00,922.00,-2654.00,-4544.00,1890.00,4024.00,-5008.00,26719.00,20517.00,6202.00,-7150.00
1999:Q1,11794.00,5191.00,12973.00,-112.00,-1703.00,-966.00,230.00,-537.00,-659.00,-524.00,0.00,16278.00,13887.00,0.00,0.00,3249.00,3375.00,-3137.00,-1096.00,2111.00,-1769.00,9070.00,1010.00,8060.00,1129.00,-4107.00,-2212.00,-2370.00,158.00,-4260.00
1999:Q2,16124.00,5386.00,11729.00,1933.00,320.00,-514.00,11.00,-1962.00,1437.00,616.00,0.00,9374.00,1650.00,0.00,0.00,-624.00,14681.00,-6846.00,513.00,4083.00,157.00,2926.00,2438.00,488.00,7663.00,161.00,-6824.00,-8539.00,1715.00,3092.00
