1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2009:Q1,3574437.00,2442556.00,253005.00,531235.00,1658316.00,493037.00,529442.00,428076.00,38077.00,299373.00,49270.00,41356.00,101366.00,83136.00,784.00,16890.00,556.00,-36405.00,-32480.00,-3925.00,-98466.00,379873.00,478339.00,737311.00,593316.00,221352.00,371964.00,143995.00,68046.00,75949.00,32104.00,158979.00,126875.00,3606541.00,-2575.00,6263.00,-6956.00,3268.00,0.00
2009:Q2,3589409.00,2442438.00,251190.00,535907.00,1655341.00,456473.00,503453.00,409376.00,37134.00,284476.00,46060.00,41707.00,94077.00,76995.00,1317.00,15835.00,-71.00,-46980.00,-41803.00,-5177.00,-85431.00,380686.00,466116.00,775930.00,610586.00,234735.00,375851.00,165344.00,71388.00,93956.00,31167.00,155649.00,124482.00,3620576.00,-2459.00,553.00,-1215.00,3121.00,0.00
2009:Q3,3612436.00,2472703.00,261457.00,549775.00,1661472.00,446600.00,498083.00,400079.00,36454.00,278349.00,43803.00,41474.00,98004.00,80160.00,1364.00,16477.00,3.00,-51483.00,-45160.00,-6323.00,-101391.00,399110.00,500501.00,794524.00,616851.00,238053.00,378798.00,177673.00,72824.00,104849.00,44869.00,163719.00,118851.00,3657305.00,-2366.00,-243.00,-394.00,3002.00,0.00
2009:Q4,3642458.00,2489273.00,257667.00,558210.00,1673396.00,482008.00,494709.00,395912.00,35431.00,278415.00,39744.00,42322.00,98797.00,80759.00,1212.00,16631.00,195.00,-12701.00,-11345.00,-1357.00,-110150.00,428071.00,538221.00,781327.00,621309.00,239562.00,381747.00,160018.00,71725.00,88293.00,42909.00,170551.00,127642.00,3685366.00,-2295.00,-306.00,-312.00,2912.00,0.00
2010:Q1,3649389.00,2511131.00,260049.00,566166.00,1684916.00,497385.00,494370.00,398597.00,33506.00,280503.00,43868.00,40720.00,95773.00,80080.00,269.00,14588.00,835.00,3015.00,2812.00,203.00,-122176.00,438307.00,560483.00,763050.00,620017.00,239718.00,380299.00,143033.00,71095.00,71938.00,50899.00,174153.00,123254.00,3700289.00,-2225.00,-352.00,-196.00,2773.00,0.00
2010:Q2,3724002.00,2534413.00,266172.00,565234.00,1703006.00,523179.00,510650.00,410449.00,33440.00,291050.00,45530.00,40430.00,100201.00,83661.00,517.00,15283.00,740.00,12529.00,11792.00,737.00,-130807.00,453507.00,584314.00,797217.00,631913.00,251651.00,380262.00,165304.00,75098.00,90206.00,51328.00,177998.00,126670.00,3775330.00,-2138.00,-97.00,-430.00,2664.00,0.00
2010:Q3,3781480.00,2558355.00,268773.00,571828.00,1717754.00,541142.00,510756.00,419351.00,33454.00,299003.00,45927.00,40967.00,91405.00,76332.00,-878.00,14021.00,1930.00,30386.00,28157.00,2229.00,-133754.00,467461.00,601215.00,815737.00,636246.00,257395.00,378851.00,179491.00,76952.00,102539.00,49931.00,180128.00,130197.00,3831411.00,-2076.00,-227.00,-284.00,2587.00,0.00
2010:Q4,3809511.00,2598296.00,275699.00,588892.00,1733705.00,539114.00,523515.00,429830.00,33688.00,307526.00,47967.00,40649.00,93685.00,78215.00,605.00,14360.00,505.00,15600.00,15163.00,437.00,-125921.00,493060.00,618980.00,798021.00,634032.00,255141.00,378891.00,163989.00,76814.00,87175.00,53810.00,187740.00,133930.00,3863321.00,-2039.00,-435.00,-62.00,2542.00,-5.00
2011:Q1,3787795.00,2630885.00,278821.00,604673.00,1747392.00,530865.00,524296.00,430591.00,32114.00,308538.00,49564.00,40376.00,93706.00,78003.00,796.00,14568.00,339.00,6568.00,5619.00,949.00,-140619.00,508331.00,648951.00,766664.00,623138.00,244235.00,378903.00,143526.00,73200.00,70326.00,57031.00,191277.00,134246.00,3844826.00,-2062.00,-313.00,-53.00,2427.00,1.00
2011:Q2,3868140.00,2662839.00,278086.00,618902.00,1765851.00,553169.00,537409.00,442128.00,32475.00,317602.00,51485.00,40566.00,95282.00,79248.00,108.00,14873.00,1054.00,15760.00,13878.00,1882.00,-146737.00,527081.00,673818.00,798869.00,637378.00,254980.00,382398.00,161491.00,74923.00,86568.00,57769.00,197799.00,140030.00,3925909.00,-1983.00,-181.00,-170.00,2334.00,0.00
