1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q4,453301.00,42061.00,42061.00,0.00,0.00,0.00,411240.00,453301.00,453301.00,42061.00,411240.00,453301.00,0.00
1976:Q1,461396.00,41323.00,41323.00,0.00,0.00,0.00,420073.00,461396.00,461396.00,41323.00,420073.00,461396.00,0.00
1976:Q2,469562.00,47681.00,47681.00,0.00,0.00,0.00,421881.00,469562.00,469562.00,47681.00,421881.00,469562.00,0.00
1976:Q3,477900.00,46312.00,46312.00,0.00,0.00,0.00,431588.00,477900.00,477900.00,46312.00,431588.00,477900.00,0.00
1976:Q4,486343.00,46657.00,46657.00,0.00,0.00,0.00,439686.00,486343.00,486343.00,46657.00,439686.00,486343.00,0.00
1977:Q1,494443.00,45466.00,45466.00,0.00,0.00,0.00,448977.00,494443.00,494443.00,45466.00,448977.00,494443.00,0.00
1977:Q2,502862.00,46928.00,46928.00,0.00,0.00,0.00,455934.00,502862.00,502862.00,46928.00,455934.00,502862.00,0.00
1977:Q3,511708.00,53102.00,53102.00,0.00,0.00,0.00,458606.00,511708.00,511708.00,53102.00,458606.00,511708.00,0.00
1977:Q4,520967.00,53232.00,53232.00,0.00,0.00,0.00,467735.00,520967.00,520967.00,53232.00,467735.00,520967.00,0.00
1978:Q1,530717.00,51966.00,51966.00,0.00,0.00,0.00,478751.00,530717.00,530717.00,51966.00,478751.00,530717.00,0.00
1978:Q2,540948.00,53425.00,53425.00,0.00,0.00,0.00,487523.00,540948.00,540948.00,53425.00,487523.00,540948.00,0.00
1978:Q3,551558.00,59653.00,59653.00,0.00,0.00,0.00,491905.00,551558.00,551558.00,59653.00,491905.00,551558.00,0.00
1978:Q4,562307.00,60259.00,60259.00,0.00,0.00,0.00,502048.00,562307.00,562307.00,60259.00,502048.00,562307.00,0.00
1979:Q1,572829.00,58551.00,58551.00,0.00,0.00,0.00,514278.00,572829.00,572829.00,58551.00,514278.00,572829.00,0.00
1979:Q2,583485.00,60046.00,60046.00,0.00,0.00,0.00,523439.00,583485.00,583485.00,60046.00,523439.00,583485.00,0.00
1979:Q3,594283.00,67607.00,67607.00,0.00,0.00,0.00,526676.00,594283.00,594283.00,67607.00,526676.00,594283.00,0.00
1979:Q4,605130.00,68259.00,68259.00,0.00,0.00,0.00,536871.00,605130.00,605130.00,68259.00,536871.00,605130.00,0.00
1980:Q1,615920.00,66161.00,66161.00,0.00,0.00,0.00,549759.00,615920.00,615920.00,66161.00,549759.00,615920.00,0.00
1980:Q2,626797.00,67358.00,67358.00,0.00,0.00,0.00,559439.00,626797.00,626797.00,67358.00,559439.00,626797.00,0.00
1980:Q3,637898.00,76924.00,76924.00,0.00,0.00,0.00,560974.00,637898.00,637898.00,76924.00,560974.00,637898.00,0.00
1980:Q4,649110.00,77183.00,77183.00,0.00,0.00,0.00,571927.00,649110.00,649110.00,77183.00,571927.00,649110.00,0.00
1981:Q1,660134.00,74439.00,74439.00,0.00,0.00,0.00,585695.00,660134.00,660134.00,74439.00,585695.00,660134.00,0.00
1981:Q2,671425.00,75653.00,75653.00,0.00,0.00,0.00,595772.00,671425.00,671425.00,75653.00,595772.00,671425.00,0.00
1981:Q3,683010.00,86895.00,86895.00,0.00,0.00,0.00,596115.00,683010.00,683010.00,86895.00,596115.00,683010.00,0.00
1981:Q4,694775.00,87179.00,87179.00,0.00,0.00,0.00,607596.00,694775.00,694775.00,87179.00,607596.00,694775.00,0.00
1982:Q1,706535.00,84313.00,84313.00,0.00,0.00,0.00,622222.00,706535.00,706535.00,84313.00,622222.00,706535.00,0.00
1982:Q2,718557.00,86345.00,86345.00,0.00,0.00,0.00,632212.00,718557.00,718557.00,86345.00,632212.00,718557.00,0.00
1982:Q3,730790.00,98516.00,98516.00,0.00,0.00,0.00,632274.00,730790.00,730790.00,98516.00,632274.00,730790.00,0.00
1982:Q4,743061.00,99245.00,99245.00,0.00,0.00,0.00,643816.00,743061.00,743061.00,99245.00,643816.00,743061.00,0.00
1983:Q1,755018.00,96374.00,96374.00,0.00,0.00,0.00,658644.00,755018.00,755018.00,96374.00,658644.00,755018.00,0.00
1983:Q2,767251.00,98735.00,98735.00,0.00,0.00,0.00,668516.00,767251.00,767251.00,98735.00,668516.00,767251.00,0.00
1983:Q3,779902.00,111500.00,111500.00,0.00,0.00,0.00,668402.00,779902.00,779902.00,111500.00,668402.00,779902.00,0.00
1983:Q4,792965.00,113787.00,113787.00,0.00,0.00,0.00,679178.00,792965.00,792965.00,113787.00,679178.00,792965.00,0.00
1984:Q1,805816.00,111640.00,111640.00,0.00,0.00,0.00,694176.00,805816.00,805816.00,111640.00,694176.00,805816.00,0.00
