1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2011:Q2,5840.00,5840.00,772.00,772.00,-17692.00,-276.00,516.00,0.00,-16512.00,-696.00,8.00,-832.00,100.00,0.00,12820.00,0.00,11552.00,-3948.00,-156464.00,257464.00,121424.00,-2888.00,-2888.00,-62100.00,85984.00,23884.00,2112.00,1056.00,1056.00
2011:Q3,1704.00,1704.00,-1924.00,-1924.00,-2864.00,-272.00,652.00,0.00,-3352.00,88.00,12.00,4.00,4.00,0.00,81056.00,0.00,28784.00,-6636.00,-53492.00,52144.00,101856.00,-4848.00,-4848.00,-133144.00,55776.00,-77368.00,2016.00,1008.00,1008.00
2011:Q4,436.00,436.00,3576.00,3576.00,-1572.00,72.00,124.00,0.00,-2596.00,3268.00,-60.00,-2364.00,-16.00,0.00,58120.00,0.00,-10148.00,-10112.00,72240.00,-132092.00,-21992.00,-7388.00,-7388.00,-9160.00,32196.00,23036.00,224.00,112.00,112.00
2012:Q1,1456.00,1456.00,1272.00,1272.00,-2588.00,436.00,312.00,0.00,-3148.00,-132.00,64.00,-120.00,0.00,0.00,22244.00,-40100.00,-2096.00,-26712.00,266760.00,77336.00,297432.00,176.00,176.00,65700.00,6824.00,72524.00,-2864.00,-1432.00,-1432.00
2012:Q2,7012.00,7012.00,500.00,500.00,-3208.00,-324.00,-344.00,0.00,-3252.00,480.00,0.00,176.00,56.00,0.00,174248.00,10428.00,28480.00,-13600.00,-115312.00,-77800.00,6444.00,-10696.00,-10696.00,-103008.00,732.00,-102276.00,-400.00,-200.00,-200.00
2012:Q3,1000.00,1000.00,108.00,108.00,-1496.00,20.00,400.00,0.00,-1812.00,-124.00,-12.00,16.00,0.00,16.00,136628.00,1448.00,12960.00,-1284.00,5420.00,-48740.00,106432.00,-1012.00,-1012.00,-42304.00,60120.00,17816.00,-13632.00,-6816.00,-6816.00
2012:Q4,280.00,280.00,-36.00,-36.00,-28.00,-8.00,216.00,0.00,-428.00,0.00,4.00,76.00,84.00,28.00,71744.00,980.00,1720.00,27724.00,52164.00,-156948.00,-2616.00,21804.00,21804.00,32320.00,8384.00,40704.00,-10376.00,-5188.00,-5188.00
2013:Q1,148.00,148.00,816.00,816.00,-3556.00,296.00,-184.00,0.00,-3440.00,192.00,8.00,-424.00,-28.00,24.00,110688.00,-24636.00,856.00,-65592.00,-24644.00,89816.00,86488.00,56068.00,56068.00,67656.00,60624.00,128280.00,-12152.00,-6076.00,-6076.00
2013:Q2,8312.00,8312.00,-284.00,-284.00,1104.00,-200.00,1056.00,0.00,80.00,88.00,12.00,28.00,32.00,8.00,-100832.00,48.00,-616.00,4104.00,72304.00,-145956.00,-170948.00,4708.00,4708.00,-3376.00,-21792.00,-25168.00,-1920.00,-960.00,-960.00
2013:Q3,80.00,80.00,-208.00,-208.00,-604.00,-44.00,1020.00,0.00,-2260.00,104.00,28.00,488.00,36.00,24.00,70164.00,772.00,1624.00,692.00,-160716.00,106508.00,19044.00,792.00,792.00,-93612.00,38428.00,-55184.00,0.00,0.00,0.00
2013:Q4,308.00,308.00,264.00,264.00,4952.00,136.00,456.00,0.00,3272.00,-2596.00,216.00,3208.00,132.00,128.00,156836.00,-308.00,-8080.00,-2308.00,337808.00,-117788.00,366160.00,-2644.00,-2644.00,19248.00,-15272.00,3976.00,0.00,0.00,0.00
2014:Q1,0.00,0.00,2176.00,2176.00,-4692.00,628.00,1088.00,0.00,-6700.00,52.00,40.00,120.00,-12.00,92.00,179204.00,-2160.00,924.00,-45948.00,99896.00,-32604.00,199312.00,66908.00,66908.00,1484.00,9552.00,11036.00,0.00,0.00,0.00
2014:Q2,6752.00,6752.00,444.00,444.00,6120.00,-192.00,332.00,0.00,4476.00,876.00,-36.00,284.00,-4.00,384.00,200764.00,1856.00,2340.00,-2972.00,56344.00,29852.00,288184.00,-4788.00,-4788.00,-12204.00,65108.00,52904.00,0.00,0.00,0.00
2014:Q3,1904.00,1904.00,112.00,112.00,1368.00,-28.00,712.00,0.00,-380.00,668.00,20.00,104.00,-12.00,284.00,108004.00,-240.00,-296.00,-4040.00,-163848.00,-15960.00,-76380.00,-6528.00,-6528.00,28112.00,6768.00,34880.00,0.00,0.00,0.00
2014:Q4,704.00,704.00,1528.00,1528.00,2044.00,136.00,844.00,0.00,240.00,668.00,-4.00,-152.00,-32.00,344.00,295756.00,864.00,160.00,456.00,26824.00,-39572.00,284488.00,736.00,736.00,-98532.00,10996.00,-87536.00,0.00,0.00,0.00
2015:Q1,8744.00,8744.00,1000.00,1000.00,-4340.00,320.00,360.00,0.00,-6092.00,260.00,12.00,484.00,0.00,316.00,-81720.00,-5536.00,1120.00,-4720.00,-67112.00,34940.00,-123028.00,-7624.00,-7624.00,-27900.00,101976.00,74076.00,0.00,0.00,0.00
2015:Q2,4.00,4.00,1244.00,1244.00,4224.00,-128.00,496.00,0.00,860.00,840.00,12.00,1404.00,28.00,712.00,109700.00,2800.00,188.00,-9996.00,216136.00,-36772.00,282056.00,-16136.00,-16136.00,51556.00,-56696.00,-5140.00,0.00,0.00,0.00
2015:Q3,160.00,160.00,592.00,592.00,-2428.00,36.00,580.00,0.00,-6024.00,496.00,-4.00,100.00,188.00,2200.00,73808.00,796.00,924.00,-968.00,15416.00,57048.00,147024.00,-1564.00,-1564.00,-3076.00,57012.00,53936.00,0.00,0.00,0.00
2015:Q4,0.00,0.00,680.00,680.00,7620.00,132.00,584.00,0.00,5780.00,88.00,36.00,-184.00,172.00,1012.00,44280.00,-1104.00,-200.00,5468.00,141440.00,-20076.00,169808.00,8828.00,8828.00,-11900.00,43932.00,32032.00,0.00,0.00,0.00
2016:Q1,6836.00,6836.00,2508.00,2508.00,-5856.00,372.00,340.00,0.00,-6340.00,584.00,-28.00,280.00,-16.00,-1048.00,162456.00,-2052.00,3488.00,-14276.00,115044.00,-33808.00,230852.00,-23048.00,-23048.00,86892.00,112520.00,199412.00,0.00,0.00,0.00
