1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,2896.00,2896.00,2896.00,4634.00,4076.00,558.00,-1738.00,410.00,68.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,35.00,234.00,73.00,58.00,15.00,0.00,2148.00,1905.00,181.00,103.00,1621.00,-40.00,0.00,3.00,0.00,280.00
1961:Q4,2918.00,2918.00,2918.00,4842.00,4236.00,606.00,-1924.00,-339.00,29.00,0.00,0.00,0.00,0.00,0.00,332.00,0.00,332.00,-751.00,51.00,47.00,4.00,0.00,1585.00,1106.00,64.00,-112.00,1154.00,-1068.00,0.00,3.00,0.00,1543.00
1962:Q1,2944.00,2944.00,2944.00,5194.00,4385.00,810.00,-2250.00,525.00,15.00,0.00,0.00,0.00,0.00,0.00,-353.00,0.00,-353.00,820.00,43.00,38.00,5.00,0.00,2775.00,1798.00,158.00,323.00,1317.00,700.00,0.00,1.00,0.00,276.00
1962:Q2,2966.00,2966.00,2966.00,4903.00,4558.00,345.00,-1937.00,-380.00,9.00,0.00,0.00,0.00,0.00,0.00,243.00,0.00,243.00,-656.00,24.00,23.00,1.00,0.00,1557.00,2438.00,530.00,190.00,1718.00,-272.00,0.00,1.00,0.00,-610.00
1962:Q3,2987.00,2987.00,2987.00,5035.00,4643.00,392.00,-2047.00,124.00,-2.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,85.00,42.00,26.00,16.00,0.00,2171.00,1745.00,185.00,14.00,1546.00,175.00,0.00,1.00,0.00,250.00
1962:Q4,3006.00,3006.00,3006.00,4920.00,4665.00,255.00,-1913.00,-367.00,-21.00,0.00,0.00,0.00,0.00,0.00,296.00,0.00,296.00,-691.00,49.00,45.00,4.00,0.00,1546.00,1603.00,241.00,-70.00,1432.00,-716.00,0.00,1.00,0.00,658.00
1963:Q1,3026.00,3026.00,3026.00,5466.00,4737.00,729.00,-2439.00,393.00,-24.00,0.00,0.00,0.00,0.00,0.00,-349.00,0.00,-349.00,687.00,79.00,74.00,5.00,0.00,2832.00,1901.00,66.00,490.00,1345.00,495.00,0.00,1.00,0.00,435.00
1963:Q2,3047.00,3047.00,3047.00,5289.00,5011.00,278.00,-2242.00,-186.00,-51.00,0.00,0.00,0.00,0.00,0.00,212.00,0.00,212.00,-447.00,100.00,100.00,0.00,0.00,2056.00,2820.00,582.00,195.00,2043.00,-460.00,0.00,1.00,0.00,-305.00
1963:Q3,3073.00,3073.00,3073.00,5318.00,5128.00,190.00,-2245.00,110.00,-49.00,0.00,0.00,0.00,0.00,0.00,46.00,0.00,46.00,-5.00,118.00,99.00,19.00,0.00,2355.00,1959.00,129.00,37.00,1793.00,-343.00,0.00,2.00,0.00,738.00
1963:Q4,3101.00,3101.00,3101.00,5673.00,5286.00,387.00,-2572.00,-357.00,-21.00,0.00,0.00,0.00,0.00,0.00,329.00,0.00,329.00,-736.00,71.00,67.00,4.00,0.00,2215.00,1990.00,380.00,103.00,1507.00,-1082.00,0.00,2.00,0.00,1306.00
1964:Q1,3135.00,3135.00,3135.00,5617.00,5465.00,152.00,-2482.00,426.00,1.00,0.00,0.00,0.00,0.00,0.00,-287.00,0.00,-287.00,613.00,99.00,94.00,5.00,0.00,2908.00,1837.00,180.00,439.00,1218.00,522.00,0.00,2.00,0.00,547.00
1964:Q2,3171.00,3171.00,3171.00,5460.00,5451.00,10.00,-2289.00,148.00,29.00,0.00,0.00,0.00,0.00,0.00,138.00,0.00,138.00,-120.00,101.00,100.00,1.00,0.00,2437.00,2868.00,482.00,322.00,2064.00,-20.00,0.00,2.00,0.00,-413.00
1964:Q3,3210.00,3210.00,3210.00,5384.00,5469.00,-85.00,-2174.00,404.00,39.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,33.00,207.00,125.00,104.00,21.00,0.00,2578.00,2073.00,136.00,67.00,1870.00,-9.00,0.00,2.00,0.00,512.00
1964:Q4,3253.00,3253.00,3253.00,5536.00,5473.00,63.00,-2283.00,-70.00,33.00,0.00,0.00,0.00,0.00,0.00,342.00,0.00,342.00,-555.00,110.00,102.00,8.00,0.00,2213.00,1518.00,-51.00,13.00,1556.00,-1049.00,0.00,2.00,0.00,1742.00
1965:Q1,3304.00,3304.00,3304.00,6262.00,5598.00,665.00,-2958.00,369.00,26.00,0.00,0.00,0.00,0.00,0.00,-284.00,0.00,-284.00,521.00,106.00,98.00,8.00,0.00,3327.00,2109.00,491.00,416.00,1202.00,582.00,0.00,2.00,0.00,634.00
1965:Q2,3356.00,3356.00,3356.00,6384.00,5724.00,660.00,-3029.00,-48.00,30.00,0.00,0.00,0.00,0.00,0.00,167.00,0.00,167.00,-361.00,116.00,96.00,20.00,0.00,2981.00,3152.00,631.00,321.00,2200.00,-133.00,0.00,2.00,0.00,-41.00
1965:Q3,3412.00,3412.00,3412.00,6448.00,5818.00,630.00,-3037.00,371.00,27.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,221.00,115.00,99.00,16.00,0.00,3408.00,2179.00,202.00,1.00,1976.00,101.00,0.00,3.00,0.00,1125.00
1965:Q4,3473.00,3473.00,3473.00,6577.00,5996.00,582.00,-3105.00,-50.00,21.00,0.00,0.00,0.00,0.00,0.00,370.00,0.00,370.00,-557.00,116.00,109.00,7.00,0.00,3055.00,1886.00,245.00,51.00,1590.00,-878.00,0.00,3.00,0.00,2044.00
1966:Q1,3541.00,3541.00,3541.00,6708.00,6059.00,649.00,-3167.00,489.00,3.00,0.00,0.00,0.00,0.00,0.00,-339.00,0.00,-339.00,697.00,128.00,116.00,12.00,0.00,3656.00,3396.00,622.00,684.00,2090.00,161.00,0.00,1.00,0.00,98.00
1966:Q2,3605.00,3605.00,3605.00,6140.00,6012.00,128.00,-2535.00,-107.00,-7.00,0.00,0.00,0.00,0.00,0.00,129.00,0.00,129.00,-367.00,138.00,124.00,14.00,0.00,2428.00,3199.00,954.00,250.00,1995.00,-668.00,0.00,1.00,0.00,-104.00
1966:Q3,3667.00,3667.00,3667.00,6298.00,5965.00,333.00,-2631.00,690.00,-8.00,0.00,0.00,0.00,0.00,0.00,-105.00,0.00,-105.00,655.00,148.00,130.00,18.00,0.00,3321.00,1526.00,28.00,23.00,1475.00,138.00,0.00,1.00,0.00,1657.00
1966:Q4,3727.00,3727.00,3727.00,6324.00,5791.00,533.00,-2596.00,-21.00,2.00,0.00,0.00,0.00,0.00,0.00,263.00,0.00,263.00,-424.00,138.00,130.00,8.00,0.00,2575.00,1564.00,646.00,-30.00,948.00,-834.00,0.00,1.00,0.00,1845.00
1967:Q1,3788.00,3788.00,3788.00,6504.00,5614.00,891.00,-2716.00,501.00,23.00,0.00,0.00,0.00,0.00,0.00,-334.00,0.00,-334.00,659.00,153.00,141.00,12.00,0.00,3217.00,1833.00,199.00,555.00,1079.00,-55.00,0.00,4.00,0.00,1435.00
1967:Q2,3848.00,3848.00,3848.00,6405.00,5748.00,658.00,-2558.00,108.00,30.00,0.00,0.00,0.00,0.00,0.00,76.00,0.00,76.00,-168.00,170.00,146.00,24.00,0.00,2666.00,3422.00,745.00,349.00,2328.00,-19.00,0.00,5.00,0.00,-742.00
1967:Q3,3912.00,3912.00,3912.00,6278.00,5850.00,428.00,-2366.00,586.00,37.00,0.00,0.00,50.00,50.00,0.00,-103.00,0.00,-103.00,440.00,162.00,153.00,9.00,0.00,2952.00,2310.00,-41.00,-20.00,2371.00,396.00,0.00,5.00,0.00,241.00
1967:Q4,3978.00,3978.00,3978.00,6234.00,6123.00,111.00,-2257.00,101.00,42.00,0.00,0.00,50.00,50.00,0.00,245.00,0.00,245.00,-400.00,164.00,152.00,12.00,0.00,2358.00,2767.00,457.00,275.00,2035.00,-413.00,0.00,5.00,0.00,-1.00
