1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2001:Q2,14.00,28.00,38061.00,141.00,-7084.00,-194.00,-1275.00,-19360.00,-917.00,-5795.00,-3697.00,-8951.00,-163.00,43148.00,-2419.00,25267.00,7860.00,-6418.00,28481.00,-4656.00,38075.00,14687.00,23374.00
2001:Q3,14.00,29.00,22054.00,138.00,-8371.00,-389.00,-1304.00,-17327.00,-1047.00,-656.00,-10454.00,-5170.00,-133.00,38037.00,30688.00,-19285.00,-27280.00,-7136.00,18516.00,-3385.00,22069.00,15188.00,6866.00
2001:Q4,14.00,26.00,49089.00,112.00,-8967.00,-1557.00,-1347.00,-19539.00,-1214.00,-6983.00,-1710.00,-9632.00,-199.00,27818.00,12019.00,40749.00,22019.00,-8799.00,31243.00,-3714.00,49101.00,14927.00,34162.00
2002:Q1,13.00,18.00,79255.00,6.00,-1356.00,1120.00,950.00,10803.00,723.00,4640.00,-2992.00,8432.00,596.00,-7902.00,31201.00,43837.00,21279.00,4957.00,16486.00,1115.00,79260.00,14119.00,65136.00
2002:Q2,13.00,17.00,-10448.00,68.00,-1734.00,5039.00,61.00,15512.00,-219.00,-2763.00,2848.00,15646.00,-26.00,-35702.00,15009.00,-8675.00,-17795.00,-2372.00,6918.00,4574.00,-10444.00,13932.00,-24380.00
2002:Q3,13.00,17.00,-5933.00,82.00,-1422.00,3116.00,304.00,-9241.00,-43.00,-1816.00,-7055.00,-327.00,66.00,-9002.00,20288.00,-10124.00,-27007.00,4354.00,11443.00,1087.00,-5929.00,14245.00,-20177.00
2002:Q4,14.00,17.00,21367.00,64.00,608.00,143.00,32.00,-25790.00,90.00,-4535.00,-9366.00,-11979.00,-49.00,-12856.00,10121.00,49094.00,12352.00,-5414.00,45989.00,-3833.00,21370.00,14917.00,6450.00
2003:Q1,13.00,17.00,79117.00,62.00,-4098.00,-1176.00,418.00,19546.00,345.00,7720.00,7815.00,3666.00,-70.00,73563.00,-1372.00,-7756.00,-4402.00,3537.00,-10816.00,3925.00,79121.00,15372.00,63745.00
2003:Q2,13.00,18.00,46562.00,46.00,3460.00,292.00,378.00,13904.00,-2617.00,4794.00,7480.00,4247.00,-170.00,-7782.00,4365.00,32069.00,23470.00,-3553.00,12944.00,-792.00,46566.00,16057.00,30505.00
2003:Q3,13.00,18.00,25541.00,37.00,-2325.00,343.00,279.00,14588.00,-147.00,-3097.00,11193.00,6639.00,35.00,-35593.00,7520.00,40657.00,9624.00,-1320.00,36723.00,-4370.00,25545.00,16110.00,9431.00
