1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2008:Q1,1752526.00,18214.00,47331.00,236495.00,23261.00,20902.00,64991.00,2168.00,125173.00,10948.00,563.00,10385.00,125908.00,1218735.00,94895.00,1764951.00,259167.00,1230328.00,275456.00
2008:Q2,1737140.00,19500.00,46306.00,236074.00,22380.00,22324.00,69969.00,2829.00,118572.00,10990.00,574.00,10416.00,112562.00,1214154.00,97554.00,1750354.00,253621.00,1203470.00,293263.00
2008:Q3,1583665.00,19981.00,51829.00,235136.00,21489.00,23264.00,75011.00,3494.00,111878.00,10976.00,586.00,10390.00,115238.00,1065121.00,85384.00,1598076.00,233706.00,1105086.00,259284.00
2008:Q4,1354649.00,20976.00,59838.00,228747.00,20598.00,18764.00,80065.00,4154.00,105166.00,15267.00,598.00,14669.00,101223.00,849319.00,79279.00,1366707.00,200726.00,945309.00,220672.00
2009:Q1,1280692.00,20303.00,59232.00,229802.00,18005.00,19708.00,80890.00,4191.00,107008.00,14204.00,592.00,13612.00,89942.00,791716.00,75493.00,1290519.00,190240.00,895512.00,204767.00
2009:Q2,1415979.00,19650.00,53739.00,232451.00,17943.00,19711.00,81714.00,4227.00,108856.00,13129.00,587.00,12542.00,103261.00,916927.00,76822.00,1424013.00,203899.00,1000913.00,219201.00
2009:Q3,1582904.00,18991.00,48588.00,234289.00,16992.00,19721.00,82539.00,4264.00,110773.00,12042.00,581.00,11461.00,118749.00,1057966.00,92279.00,1589372.00,222528.00,1119109.00,247735.00
2009:Q4,1615938.00,16275.00,43969.00,236735.00,16637.00,19738.00,83364.00,4300.00,112696.00,10950.00,576.00,10374.00,124144.00,1108394.00,75471.00,1620671.00,225011.00,1163829.00,231831.00
2010:Q1,1682483.00,16985.00,40547.00,246454.00,17364.00,21524.00,85723.00,4233.00,117610.00,10935.00,569.00,10366.00,132173.00,1160113.00,75276.00,1686567.00,227772.00,1211544.00,247251.00
2010:Q2,1601167.00,17726.00,40489.00,256650.00,18122.00,23471.00,88150.00,4165.00,122742.00,10921.00,562.00,10359.00,118057.00,1083725.00,73599.00,1604669.00,208315.00,1148155.00,248199.00
2010:Q3,1726817.00,18499.00,38377.00,267348.00,18914.00,25593.00,90643.00,4099.00,128099.00,10907.00,555.00,10352.00,131897.00,1198133.00,61656.00,1729732.00,220641.00,1247633.00,261458.00
2010:Q4,1834567.00,19305.00,36500.00,278582.00,19740.00,27907.00,93208.00,4034.00,133693.00,10894.00,549.00,10345.00,147908.00,1296909.00,44469.00,1836627.00,228383.00,1338866.00,269378.00
2011:Q1,1907481.00,19068.00,35962.00,280175.00,20180.00,30214.00,93429.00,4111.00,132241.00,10688.00,538.00,10150.00,159722.00,1354078.00,47788.00,1908925.00,237766.00,1395360.00,275799.00
2011:Q2,1914426.00,18834.00,36367.00,281738.00,20631.00,32527.00,93625.00,4185.00,130770.00,10487.00,528.00,9959.00,161720.00,1354873.00,50407.00,1915565.00,238488.00,1401103.00,275974.00
2011:Q3,1743900.00,18306.00,38822.00,283271.00,21091.00,34847.00,93795.00,4257.00,129281.00,10289.00,517.00,9772.00,133996.00,1190839.00,68377.00,1744468.00,213214.00,1252735.00,278519.00
2011:Q4,1831792.00,18375.00,36477.00,284306.00,21091.00,37169.00,93943.00,4329.00,127774.00,10095.00,507.00,9588.00,160812.00,1264574.00,57153.00,1831860.00,227793.00,1343359.00,260708.00
2012:Q1,1973552.00,18375.00,34722.00,293170.00,20594.00,38233.00,91901.00,4508.00,137934.00,10095.00,507.00,9588.00,179473.00,1381221.00,56496.00,1973041.00,240527.00,1477316.00,255198.00
2012:Q2,1922658.00,18375.00,34056.00,302730.00,20096.00,39328.00,89925.00,4695.00,148686.00,10095.00,507.00,9588.00,172677.00,1335434.00,49291.00,1921640.00,232562.00,1444256.00,244822.00
2012:Q3,2013490.00,18375.00,32516.00,313564.00,19599.00,40454.00,88015.00,4893.00,160603.00,10095.00,507.00,9588.00,182077.00,1399034.00,57829.00,2011636.00,240667.00,1510237.00,260732.00
2012:Q4,2052339.00,19692.00,32015.00,325798.00,19101.00,41612.00,86170.00,5102.00,173813.00,8819.00,367.00,8452.00,181019.00,1411441.00,73555.00,2050757.00,240738.00,1526589.00,283430.00
2013:Q1,2154191.00,18517.00,28357.00,325699.00,19530.00,41093.00,85683.00,5295.00,174098.00,9259.00,367.00,8892.00,197063.00,1497875.00,77421.00,2154488.00,252253.00,1609920.00,292315.00
2013:Q2,2156361.00,17360.00,29795.00,325701.00,19968.00,40590.00,85207.00,5494.00,174442.00,9722.00,367.00,9355.00,197944.00,1490799.00,85040.00,2157825.00,250251.00,1608086.00,299488.00
2013:Q3,2230814.00,16276.00,29521.00,325789.00,20416.00,40098.00,84742.00,5703.00,174830.00,10210.00,367.00,9843.00,203733.00,1562621.00,82664.00,2233699.00,257807.00,1671669.00,304223.00
2013:Q4,2323053.00,15259.00,27813.00,325960.00,20874.00,39619.00,84286.00,5921.00,175260.00,10722.00,367.00,10355.00,222002.00,1646534.00,74763.00,2326969.00,269676.00,1753406.00,303887.00
2014:Q1,2344281.00,15300.00,27045.00,326336.00,21230.00,41051.00,81539.00,6166.00,176350.00,11056.00,367.00,10689.00,221736.00,1661963.00,80845.00,2347591.00,273772.00,1773620.00,300199.00
2014:Q2,2414333.00,15340.00,26225.00,326704.00,21594.00,42495.00,78769.00,6412.00,177434.00,11401.00,367.00,11034.00,229411.00,1708063.00,97189.00,2417014.00,281498.00,1820375.00,315141.00
2014:Q3,2379522.00,15381.00,27031.00,327067.00,21964.00,43950.00,75977.00,6660.00,178516.00,11757.00,367.00,11390.00,224911.00,1672410.00,100965.00,2381513.00,278664.00,1796163.00,306686.00
2014:Q4,2419992.00,15421.00,25677.00,328123.00,22341.00,45753.00,73437.00,6922.00,179670.00,12125.00,367.00,11758.00,234410.00,1696220.00,108016.00,2421310.00,283400.00,1825411.00,312499.00
2015:Q1,2529082.00,14863.00,24087.00,367317.00,21544.00,54857.00,76869.00,8015.00,206032.00,25073.00,5173.00,19900.00,237655.00,1724721.00,135366.00,2531877.00,323749.00,1867531.00,340597.00
2015:Q2,2505680.00,14325.00,24156.00,366565.00,20776.00,54940.00,76631.00,8068.00,206150.00,25288.00,5188.00,20100.00,234753.00,1708994.00,131599.00,2511352.00,324284.00,1855939.00,331129.00
2015:Q3,2360783.00,13806.00,29663.00,365515.00,20036.00,56621.00,73952.00,8307.00,206599.00,25563.00,5213.00,20350.00,212896.00,1585686.00,127654.00,2369896.00,310233.00,1747340.00,312323.00
2015:Q4,2397316.00,13667.00,27619.00,363560.00,19844.00,56386.00,73707.00,8278.00,205345.00,25541.00,5025.00,20516.00,224999.00,1628266.00,113664.00,2410758.00,317812.00,1791724.00,301222.00
2016:Q1,2399855.00,12853.00,27899.00,384273.00,19811.00,59915.00,77313.00,8787.00,218447.00,25688.00,5201.00,20487.00,222984.00,1616131.00,110027.00,2413672.00,310064.00,1801392.00,302216.00
2016:Q2,2426369.00,13039.00,24678.00,397485.00,20097.00,61999.00,79123.00,9091.00,227175.00,26058.00,5276.00,20782.00,224907.00,1632538.00,107664.00,2440292.00,313483.00,1821871.00,304938.00
2016:Q3,2488108.00,13256.00,23804.00,403233.00,20431.00,62486.00,80086.00,9203.00,231027.00,26492.00,5364.00,21128.00,230955.00,1678785.00,111583.00,2502352.00,321456.00,1866989.00,313907.00
