1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1997:Q4,-1843.00,2165.00,30816.00,4447.00,232.00,0.00,3468.00,1095.00,-10216.00,-20833.00,2326.00,31096.00,596.00,-457.00,1053.00,729.00,12037.00,1117.00,8190.00,-221.00,84.00,8327.00,35807.00,0.00,-3343.00,-84.00,7604.00,-2942.00,505.00,1443.00,32624.00,0.00,0.00,2562.00,6338.00,23724.00,983.00
1998:Q1,-345.00,2415.00,43525.00,-4577.00,444.00,0.00,20737.00,2479.00,-2155.00,-380.00,390.00,20403.00,221.00,595.00,-374.00,-1399.00,14305.00,642.00,13152.00,-4.00,-34.00,13190.00,44790.00,0.00,-903.00,2.00,4578.00,17308.00,-593.00,256.00,24142.00,0.00,7.00,1900.00,5115.00,17120.00,-1495.00
1998:Q2,-334.00,2488.00,35500.00,1276.00,1894.00,0.00,10785.00,373.00,-2589.00,-1622.00,300.00,14323.00,2827.00,1587.00,1240.00,-146.00,17002.00,894.00,968.00,-14.00,285.00,697.00,34986.00,0.00,584.00,-153.00,8793.00,28402.00,111.00,748.00,-3499.00,0.00,482.00,1161.00,-5663.00,521.00,-3335.00
1998:Q3,-323.00,2531.00,41501.00,-407.00,3941.00,0.00,15144.00,5626.00,-2733.00,-1804.00,287.00,13768.00,527.00,911.00,-384.00,947.00,10880.00,-703.00,11172.00,20.00,-513.00,11665.00,33483.00,0.00,-1099.00,405.00,10237.00,20326.00,110.00,278.00,3226.00,0.00,277.00,2938.00,-5300.00,5311.00,-10872.00
1998:Q4,-86.00,2614.00,19132.00,992.00,-407.00,0.00,9955.00,-520.00,-2853.00,-1687.00,305.00,14710.00,5152.00,-1117.00,6269.00,-777.00,9563.00,-95.00,-5251.00,26.00,-1152.00,-4125.00,24440.00,0.00,-3288.00,438.00,16241.00,1295.00,113.00,1425.00,8216.00,0.00,0.00,4288.00,7499.00,-3571.00,2609.00
1999:Q1,1254.00,2587.00,50001.00,-2738.00,2523.00,0.00,24157.00,-2600.00,-1505.00,4168.00,662.00,23432.00,-215.00,-4125.00,3910.00,3766.00,10998.00,368.00,11142.00,60.00,1224.00,9858.00,45153.00,0.00,-1126.00,813.00,10188.00,453.00,-191.00,723.00,34293.00,0.00,1174.00,1156.00,2264.00,29699.00,-6181.00
1999:Q2,1494.00,2687.00,36307.00,1304.00,902.00,0.00,13139.00,-1723.00,-2107.00,2374.00,517.00,14078.00,4990.00,-593.00,5583.00,4195.00,12759.00,490.00,-1472.00,34.00,81.00,-1587.00,31052.00,0.00,-790.00,745.00,12601.00,6509.00,-189.00,9804.00,2372.00,0.00,1578.00,797.00,671.00,-674.00,-6448.00
1999:Q3,1398.00,2778.00,38607.00,-85.00,4765.00,0.00,10618.00,3759.00,-2490.00,1156.00,416.00,7777.00,2067.00,413.00,1654.00,5559.00,8769.00,656.00,6258.00,55.00,41.00,6162.00,32660.00,0.00,-1707.00,274.00,8019.00,-4719.00,-187.00,321.00,30659.00,0.00,531.00,5460.00,7257.00,17411.00,-7327.00
1999:Q4,1310.00,2810.00,11825.00,1530.00,1071.00,0.00,2458.00,4718.00,-2503.00,-186.00,245.00,184.00,4454.00,-154.00,4608.00,4958.00,16591.00,-59.00,-19178.00,-14.00,790.00,-19954.00,9851.00,0.00,-2372.00,-1107.00,12072.00,20166.00,-187.00,879.00,-19600.00,0.00,52.00,3948.00,-10713.00,-12887.00,-3473.00
2000:Q1,1166.00,2814.00,38650.00,-1404.00,-1739.00,0.00,20821.00,-3199.00,-1423.00,3981.00,-127.00,21589.00,-1416.00,-4.00,-1412.00,-2658.00,22406.00,818.00,1822.00,-83.00,-733.00,2638.00,25922.00,0.00,-1545.00,-184.00,10642.00,7402.00,-392.00,1965.00,8034.00,0.00,1343.00,934.00,-1565.00,7322.00,-14376.00
2000:Q2,1218.00,2914.00,41852.00,1598.00,-643.00,0.00,8494.00,2567.00,-1710.00,1849.00,-385.00,6173.00,4466.00,1216.00,3250.00,-1547.00,16538.00,430.00,12516.00,0.00,194.00,12322.00,39677.00,0.00,3216.00,-270.00,8075.00,24253.00,-392.00,3204.00,1591.00,0.00,2779.00,1586.00,-7679.00,4905.00,-3871.00
2000:Q3,1294.00,2954.00,52886.00,-1986.00,275.00,0.00,19893.00,2378.00,-1424.00,3471.00,-243.00,15711.00,3823.00,1698.00,2125.00,-965.00,13088.00,436.00,18322.00,105.00,-146.00,18363.00,40282.00,0.00,-1234.00,-87.00,11395.00,26437.00,-393.00,11345.00,-7181.00,0.00,1303.00,2918.00,-8588.00,-2814.00,-14265.00
