1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,64887.00,21891.00,16124.00,6783.00,21548.00,13439.00,15036.00,6412.00,13308.00,3260.00
1963:Q1,58439.00,29759.00,14544.00,7859.00,15556.00,8475.00,7972.00,5152.00,-9308.00,3056.00
1963:Q2,59927.00,25123.00,16144.00,7279.00,18824.00,9398.00,8988.00,6992.00,14612.00,5148.00
1963:Q3,49999.00,31979.00,18504.00,9247.00,17376.00,8829.00,-3816.00,4460.00,10668.00,1240.00
1963:Q4,64887.00,26987.00,18004.00,9719.00,25900.00,16277.00,6712.00,5288.00,15148.00,3444.00
1964:Q1,61587.00,34859.00,17268.00,10739.00,16300.00,9555.00,5340.00,5088.00,-3792.00,3088.00
1964:Q2,58815.00,22455.00,16452.00,8855.00,23156.00,13563.00,6292.00,6912.00,18288.00,3672.00
1964:Q3,66727.00,28051.00,18004.00,10079.00,23024.00,13872.00,8664.00,6988.00,1704.00,2968.00
1964:Q4,72367.00,30591.00,17192.00,8255.00,26332.00,18638.00,8908.00,6536.00,9472.00,5884.00
1965:Q1,70251.00,30963.00,16988.00,11967.00,28764.00,21028.00,3520.00,7004.00,-1624.00,5940.00
1965:Q2,59763.00,20615.00,15624.00,11799.00,29860.00,19149.00,736.00,8552.00,23484.00,908.00
1965:Q3,57943.00,28435.00,18188.00,9327.00,29332.00,19584.00,-7624.00,7800.00,-2768.00,420.00
1965:Q4,87051.00,34855.00,17656.00,7455.00,30212.00,21102.00,15140.00,6844.00,17336.00,3016.00
1966:Q1,77159.00,26071.00,17184.00,10067.00,38208.00,25431.00,6044.00,6836.00,2676.00,2492.00
1966:Q2,68027.00,18599.00,13184.00,5467.00,42080.00,31173.00,-1176.00,8524.00,25872.00,2228.00
1966:Q3,53963.00,16531.00,11672.00,3635.00,32008.00,24761.00,-676.00,6100.00,-2608.00,392.00
1966:Q4,74439.00,27559.00,9772.00,4563.00,25684.00,17878.00,15204.00,5992.00,21052.00,2940.00
1967:Q1,63671.00,11191.00,9360.00,3867.00,33476.00,27080.00,13220.00,5784.00,-7144.00,5316.00
1967:Q2,39703.00,8159.00,9016.00,4127.00,37240.00,25431.00,-14080.00,8384.00,-2800.00,3116.00
1967:Q3,93831.00,27027.00,17616.00,5815.00,32820.00,22380.00,25592.00,8392.00,7612.00,3592.00
1967:Q4,156063.00,89895.00,17440.00,6771.00,27112.00,14433.00,32312.00,6744.00,18444.00,3016.00
1968:Q1,50356.00,-22996.00,16580.00,7764.00,39864.00,33312.00,26512.00,6976.00,-468.00,3652.00
1968:Q2,82880.00,27564.00,15168.00,9612.00,43288.00,29625.00,4260.00,7768.00,23148.00,1580.00
1968:Q3,103964.00,33232.00,17908.00,10752.00,40668.00,30240.00,22328.00,7736.00,11188.00,2804.00
