1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1981:Q1,109577.00,18863.00,43508.00,88598.00,54447.00,-9357.00,-25445.00,119107.00,144552.00,800.00,57353.00,57384.00,-31.00,31231.00,21064.00,3468.00,6818.00,0.00,119.00,2130.00,3457176.00
1981:Q2,104895.00,23204.00,35934.00,86223.00,56366.00,-6077.00,-11380.00,28387.00,39767.00,-1350.00,55683.00,55690.00,-7.00,27126.00,21678.00,3253.00,2195.00,0.00,0.00,-1117.00,3562071.00
1981:Q3,59615.00,19073.00,44514.00,98191.00,58217.00,-4541.00,-18791.00,50116.00,68907.00,-6650.00,45455.00,45595.00,-140.00,18636.00,15007.00,3088.00,542.00,0.00,0.00,-23549.00,3621686.00
1981:Q4,114238.00,16942.00,40593.00,95943.00,60001.00,-4651.00,-17401.00,13244.00,30645.00,-6250.00,63168.00,63129.00,39.00,13956.00,16456.00,4235.00,-4169.00,10233.00,12800.00,20172.00,3735923.00
1982:Q1,67639.00,-4856.00,26606.00,85099.00,61718.00,-3225.00,-29587.00,34729.00,64316.00,-1875.00,75363.00,75461.00,-98.00,13099.00,7142.00,2508.00,3582.00,0.00,133.00,-15966.00,3803562.00
1982:Q2,35781.00,8488.00,24966.00,86879.00,63100.00,-1186.00,-17153.00,10057.00,27210.00,675.00,10749.00,10733.00,16.00,21977.00,18330.00,2955.00,692.00,0.00,0.00,-5433.00,3839344.00
1982:Q3,43671.00,2869.00,23580.00,86128.00,64147.00,-1599.00,-18836.00,35697.00,54533.00,-1875.00,10182.00,10001.00,181.00,12547.00,10768.00,2791.00,-1011.00,0.00,0.00,18073.00,3883015.00
1982:Q4,37638.00,11450.00,13753.00,77117.00,64859.00,-1495.00,-7277.00,7587.00,14864.00,4975.00,-3278.00,-3512.00,234.00,-30861.00,7528.00,3000.00,431.00,-33563.00,8257.00,60327.00,3920653.00
1983:Q1,59536.00,10525.00,11060.00,76861.00,65239.00,562.00,-6260.00,25683.00,31942.00,5725.00,28259.00,28104.00,155.00,7842.00,5181.00,2876.00,-215.00,0.00,0.00,12909.00,3980189.00
1983:Q2,38900.00,35239.00,25176.00,89161.00,65751.00,-1766.00,838.00,38479.00,37641.00,9225.00,-14738.00,-15001.00,263.00,5119.00,1646.00,1975.00,1500.00,0.00,0.00,13279.00,4019089.00
1983:Q3,24133.00,24916.00,32608.00,95217.00,66396.00,-3788.00,-9818.00,34525.00,44343.00,2125.00,-3016.00,-2944.00,-72.00,8075.00,945.00,3108.00,4022.00,0.00,0.00,-5841.00,4043222.00
1983:Q4,53303.00,39967.00,36115.00,100837.00,67175.00,-2453.00,928.00,43171.00,42243.00,2925.00,16616.00,16727.00,-111.00,-21151.00,5344.00,2253.00,272.00,-30421.00,-1401.00,17870.00,4096525.00
1984:Q1,27753.00,9990.00,46337.00,112775.00,68086.00,-1648.00,-20597.00,88963.00,109560.00,-15750.00,2457.00,2743.00,-286.00,12431.00,4013.00,2688.00,5732.00,-1.00,1.00,2875.00,4124278.00
1984:Q2,61641.00,13109.00,50844.00,117497.00,69106.00,-2452.00,-11485.00,89494.00,100978.00,-26250.00,22307.00,22447.00,-140.00,9068.00,5307.00,2067.00,1695.00,-1.00,1.00,17157.00,4185919.00
1984:Q3,87695.00,18550.00,50114.00,120417.00,70231.00,72.00,-13640.00,72993.00,86632.00,-17925.00,27795.00,27597.00,198.00,6652.00,3447.00,2982.00,224.00,-1.00,1.00,34698.00,4273614.00
1984:Q4,81087.00,31081.00,45685.00,117196.00,71462.00,49.00,4446.00,26030.00,21584.00,-19050.00,26250.00,26177.00,73.00,-23766.00,4200.00,627.00,76.00,-23056.00,5613.00,47521.00,4354701.00
1985:Q1,887.00,-46484.00,36248.00,109182.00,72795.00,138.00,-60983.00,44153.00,105136.00,-21750.00,-1.00,-398.00,397.00,4414.00,2916.00,2519.00,-1022.00,0.00,-1.00,42958.00,4355588.00
1985:Q2,25564.00,-19478.00,38865.00,113052.00,74101.00,86.00,-40843.00,31423.00,72265.00,-17500.00,5593.00,5309.00,284.00,4792.00,5635.00,1444.00,-2287.00,0.00,-1.00,34656.00,4381152.00
1985:Q3,26638.00,-6265.00,33888.00,111054.00,75375.00,1792.00,-20653.00,58242.00,78895.00,-19500.00,14066.00,15289.00,-1223.00,7899.00,7927.00,1859.00,-1888.00,0.00,-1.00,10938.00,4407789.00
1985:Q4,74191.00,-26544.00,41098.00,115720.00,76616.00,-1995.00,-41893.00,79184.00,121077.00,-25750.00,28083.00,27602.00,481.00,14395.00,11205.00,560.00,1439.00,2972.00,1781.00,58258.00,4481980.00
1986:Q1,38676.00,-14082.00,32501.00,115253.00,77818.00,4934.00,-31509.00,-31432.00,77.00,-15075.00,6017.00,5135.00,882.00,-1702.00,3150.00,2064.00,-6957.00,41.00,0.00,48444.00,4520657.00
1986:Q2,52884.00,-2631.00,30412.00,112842.00,78949.00,3481.00,-11218.00,23918.00,35135.00,-21825.00,7601.00,7413.00,188.00,14742.00,13895.00,1158.00,-312.00,1.00,0.00,33172.00,4573541.00
1986:Q3,28634.00,57.00,23146.00,104506.00,80001.00,1359.00,-1889.00,94727.00,96615.00,-21200.00,14004.00,14301.00,-297.00,16540.00,14222.00,1264.00,1054.00,1.00,0.00,-1968.00,4602175.00
1986:Q4,41809.00,-12647.00,26765.00,105026.00,80974.00,-2713.00,-12537.00,44214.00,56751.00,-26875.00,11241.00,10894.00,347.00,12082.00,8087.00,1186.00,84.00,6054.00,3328.00,31133.00,4643984.00
1987:Q1,77279.00,-9064.00,32916.00,111308.00,81861.00,-3469.00,-31105.00,43562.00,74667.00,-10875.00,8755.00,8057.00,698.00,11634.00,9333.00,2154.00,219.00,-72.00,0.00,65954.00,4721263.00
1987:Q2,56572.00,5364.00,32828.00,110961.00,82926.00,-4793.00,-8339.00,42687.00,51026.00,-19125.00,17078.00,16708.00,370.00,8539.00,2433.00,3076.00,3031.00,0.00,0.00,25590.00,4777834.00
1987:Q3,70660.00,13282.00,28227.00,108459.00,84163.00,-3931.00,2556.00,51652.00,49096.00,-17500.00,17868.00,17742.00,126.00,8281.00,2656.00,3724.00,1901.00,0.00,0.00,31229.00,4848495.00
1987:Q4,42746.00,6594.00,42031.00,123557.00,85572.00,-4046.00,-7437.00,90894.00,98331.00,-28000.00,49039.00,50412.00,-1373.00,63974.00,22815.00,5496.00,3819.00,30630.00,-1214.00,-76861.00,4891241.00
1988:Q1,79175.00,-37535.00,32170.00,114739.00,87145.00,-4576.00,-44456.00,54030.00,98485.00,-25250.00,46017.00,45564.00,453.00,19740.00,12470.00,5102.00,2083.00,85.00,0.00,50952.00,4970415.00
1988:Q2,82282.00,-22139.00,36942.00,119238.00,88666.00,-6370.00,-24206.00,50351.00,74557.00,-34875.00,31320.00,31170.00,150.00,16389.00,8531.00,3201.00,4657.00,0.00,0.00,56713.00,5052698.00
1988:Q3,73347.00,7668.00,37325.00,120918.00,90130.00,-6537.00,-8906.00,45921.00,54827.00,-20750.00,28024.00,28159.00,-135.00,11486.00,7158.00,2666.00,1663.00,0.00,0.00,26169.00,5126044.00
1988:Q4,104789.00,-25811.00,38250.00,125095.00,91536.00,-4691.00,-15436.00,200027.00,215463.00,-48625.00,42047.00,41971.00,76.00,30612.00,22865.00,2045.00,3220.00,10249.00,7766.00,57942.00,5230834.00
1989:Q1,224055.00,-57871.00,44177.00,128622.00,92880.00,-8435.00,-58973.00,128450.00,187423.00,-43075.00,192333.00,191724.00,609.00,19549.00,11637.00,4330.00,3583.00,0.00,0.00,70044.00,5454889.00
