1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q2,8024.00,8024.00,1716.00,6308.00,0.00,0.00,8024.00,-680.00,2264.00,0.00,-56.00,6512.00,4.00,8.00,0.00,208.00,-288.00,-288.00,0.00,0.00,0.00,0.00,0.00,340.00,0.00
1965:Q3,7544.00,7544.00,968.00,6576.00,0.00,0.00,7544.00,3848.00,-1076.00,0.00,-72.00,5368.00,36.00,12.00,0.00,324.00,-316.00,-256.00,0.00,0.00,0.00,0.00,0.00,-324.00,0.00
1965:Q4,6612.00,6612.00,-176.00,6788.00,0.00,0.00,6612.00,7108.00,-2344.00,0.00,-88.00,2928.00,20.00,20.00,0.00,668.00,-260.00,-236.00,0.00,0.00,0.00,0.00,0.00,-1204.00,0.00
1966:Q1,6652.00,6652.00,-56.00,6708.00,0.00,0.00,6652.00,5412.00,-2128.00,0.00,-104.00,3788.00,-24.00,28.00,0.00,308.00,36.00,-184.00,0.00,0.00,0.00,0.00,0.00,-480.00,0.00
1966:Q2,8176.00,8176.00,2084.00,6092.00,0.00,0.00,8176.00,3428.00,-32.00,0.00,-88.00,3904.00,-28.00,40.00,0.00,648.00,-692.00,-144.00,0.00,0.00,0.00,0.00,0.00,1140.00,0.00
1966:Q3,4912.00,4912.00,120.00,4792.00,0.00,0.00,4912.00,500.00,1784.00,0.00,-28.00,3248.00,60.00,40.00,0.00,788.00,-184.00,-120.00,0.00,0.00,0.00,0.00,0.00,-1176.00,0.00
1966:Q4,5204.00,5204.00,496.00,4708.00,0.00,0.00,5204.00,9140.00,-3468.00,0.00,52.00,-1820.00,56.00,28.00,0.00,1020.00,-240.00,-128.00,0.00,0.00,0.00,0.00,0.00,564.00,0.00
1967:Q1,5744.00,5744.00,376.00,5368.00,0.00,0.00,5744.00,-5076.00,-1176.00,0.00,32.00,9572.00,40.00,20.00,0.00,1312.00,-172.00,-80.00,0.00,0.00,0.00,0.00,0.00,1272.00,0.00
1967:Q2,8184.00,8184.00,2672.00,5512.00,0.00,0.00,8184.00,-6528.00,-92.00,0.00,12.00,13892.00,116.00,12.00,0.00,1668.00,-240.00,-76.00,0.00,0.00,0.00,0.00,0.00,-580.00,0.00
1967:Q3,7968.00,7968.00,2736.00,5232.00,0.00,0.00,7968.00,3200.00,-864.00,0.00,-36.00,4668.00,172.00,8.00,0.00,1680.00,-112.00,-72.00,0.00,0.00,0.00,0.00,0.00,-676.00,0.00
1967:Q4,6708.00,6708.00,1508.00,5200.00,0.00,0.00,6708.00,-3404.00,776.00,0.00,-8.00,7748.00,104.00,4.00,0.00,1348.00,64.00,-72.00,0.00,0.00,0.00,0.00,0.00,148.00,0.00
1968:Q1,6748.00,6748.00,1104.00,5644.00,0.00,0.00,6748.00,-3476.00,3960.00,0.00,-160.00,5344.00,-12.00,8.00,0.00,1048.00,120.00,124.00,0.00,0.00,0.00,0.00,0.00,-208.00,0.00
1968:Q2,7388.00,7388.00,204.00,7184.00,0.00,0.00,7388.00,2924.00,-2196.00,0.00,236.00,5116.00,-68.00,8.00,0.00,776.00,-8.00,-260.00,0.00,0.00,0.00,0.00,0.00,860.00,0.00
1968:Q3,7564.00,7564.00,-1720.00,9284.00,0.00,0.00,7564.00,-2200.00,-2160.00,0.00,20.00,11232.00,-72.00,8.00,0.00,728.00,-16.00,48.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00
1968:Q4,12072.00,12072.00,984.00,11088.00,0.00,0.00,12072.00,-3704.00,2324.00,0.00,88.00,12776.00,-52.00,116.00,0.00,892.00,100.00,-8.00,0.00,0.00,0.00,0.00,0.00,-460.00,0.00
1969:Q1,15492.00,15492.00,4260.00,11232.00,0.00,0.00,15492.00,14988.00,-728.00,0.00,96.00,768.00,-4.00,32.00,0.00,992.00,144.00,16.00,0.00,0.00,0.00,0.00,0.00,-812.00,0.00
1969:Q2,12880.00,12880.00,3024.00,9856.00,0.00,0.00,12880.00,7644.00,-1200.00,0.00,228.00,5296.00,-16.00,32.00,0.00,1028.00,-24.00,-72.00,0.00,0.00,0.00,0.00,0.00,-36.00,0.00
1969:Q3,10496.00,10496.00,2208.00,8288.00,0.00,0.00,10496.00,11796.00,-1000.00,0.00,12.00,-1412.00,-16.00,32.00,0.00,1108.00,0.00,-80.00,0.00,0.00,0.00,0.00,0.00,56.00,0.00
1969:Q4,6676.00,6676.00,1572.00,5104.00,0.00,0.00,6676.00,8588.00,-1000.00,0.00,-76.00,-2116.00,44.00,28.00,0.00,1244.00,-12.00,-68.00,0.00,0.00,0.00,0.00,0.00,44.00,0.00
1970:Q1,8576.00,8576.00,1252.00,7324.00,0.00,0.00,8576.00,3356.00,-500.00,0.00,-112.00,3948.00,-156.00,24.00,0.00,1268.00,56.00,-92.00,0.00,0.00,0.00,0.00,0.00,784.00,0.00
1970:Q2,13360.00,13360.00,3748.00,9612.00,0.00,0.00,13360.00,592.00,1500.00,0.00,344.00,10920.00,92.00,12.00,0.00,1188.00,-24.00,-596.00,0.00,0.00,0.00,0.00,0.00,-668.00,0.00
1970:Q3,8852.00,8852.00,-1060.00,9912.00,0.00,0.00,8852.00,-224.00,-4500.00,0.00,8.00,11120.00,-12.00,20.00,0.00,1484.00,172.00,-104.00,0.00,0.00,0.00,0.00,0.00,888.00,0.00
1970:Q4,17144.00,17144.00,5432.00,11712.00,0.00,0.00,17144.00,-4124.00,1000.00,0.00,352.00,15936.00,840.00,36.00,0.00,2160.00,136.00,-404.00,0.00,0.00,0.00,0.00,0.00,1212.00,0.00
1971:Q1,17120.00,17120.00,4676.00,12444.00,0.00,0.00,17120.00,-4048.00,1000.00,0.00,-84.00,17992.00,-728.00,224.00,0.00,2800.00,32.00,32.00,0.00,0.00,0.00,0.00,0.00,-100.00,0.00
1971:Q2,17072.00,16992.00,3408.00,13584.00,0.00,80.00,17072.00,1224.00,1000.00,0.00,-128.00,13072.00,-68.00,52.00,0.00,3416.00,100.00,8.00,0.00,0.00,0.00,0.00,0.00,-1604.00,0.00
1971:Q3,14160.00,14028.00,832.00,13196.00,0.00,132.00,14160.00,-852.00,1000.00,0.00,-184.00,8528.00,32.00,-100.00,0.00,3768.00,108.00,32.00,0.00,0.00,0.00,0.00,0.00,1828.00,0.00
1971:Q4,16252.00,16120.00,1016.00,15104.00,0.00,132.00,16252.00,-1020.00,1000.00,0.00,-612.00,12420.00,-8.00,-108.00,0.00,3856.00,-12.00,408.00,0.00,0.00,0.00,0.00,0.00,328.00,0.00
1972:Q1,16780.00,16620.00,2044.00,14576.00,0.00,160.00,16780.00,2516.00,1000.00,0.00,-512.00,10484.00,-36.00,216.00,0.00,4108.00,-48.00,308.00,0.00,0.00,0.00,0.00,0.00,-1256.00,0.00
1972:Q2,14640.00,13972.00,-1500.00,15472.00,0.00,668.00,14640.00,1836.00,1000.00,0.00,-1120.00,7212.00,-80.00,108.00,0.00,4524.00,0.00,948.00,0.00,0.00,0.00,0.00,0.00,212.00,0.00
1972:Q3,12520.00,11828.00,-1000.00,12828.00,0.00,692.00,12520.00,-728.00,1000.00,0.00,852.00,8744.00,-60.00,-16.00,0.00,4548.00,44.00,-1372.00,0.00,0.00,0.00,0.00,0.00,-492.00,0.00
1972:Q4,12724.00,12052.00,664.00,11388.00,0.00,672.00,12724.00,3224.00,1000.00,0.00,-416.00,4008.00,48.00,-32.00,0.00,4176.00,20.00,-376.00,0.00,0.00,0.00,0.00,0.00,1072.00,0.00
1973:Q1,14952.00,13424.00,2268.00,11156.00,244.00,1284.00,14952.00,8868.00,1000.00,0.00,900.00,3264.00,-4.00,12.00,0.00,3948.00,-140.00,-1628.00,0.00,0.00,0.00,0.00,0.00,-1268.00,0.00
1973:Q2,14456.00,11984.00,-1352.00,13336.00,332.00,2140.00,14456.00,3444.00,2500.00,0.00,-20.00,4464.00,-4.00,12.00,0.00,3868.00,168.00,-344.00,0.00,0.00,0.00,0.00,0.00,368.00,0.00
1973:Q3,14436.00,12036.00,-596.00,12632.00,444.00,1956.00,14436.00,8812.00,-1500.00,0.00,-364.00,3008.00,104.00,108.00,0.00,3600.00,88.00,456.00,0.00,0.00,0.00,0.00,0.00,124.00,0.00
1973:Q4,20072.00,17688.00,940.00,16748.00,580.00,1804.00,20072.00,5100.00,-2548.00,0.00,400.00,11976.00,8.00,108.00,0.00,3152.00,64.00,164.00,0.00,0.00,0.00,0.00,0.00,1648.00,0.00
1974:Q1,19736.00,17380.00,1512.00,15868.00,712.00,1644.00,19736.00,7672.00,2124.00,0.00,-72.00,8184.00,96.00,360.00,0.00,2624.00,292.00,616.00,0.00,0.00,0.00,0.00,0.00,-2160.00,0.00
