date,FL344090045.Q,FL344022045.Q,FL343061165.Q,FL343061733.Q,FL343063033.Q,LM343064133.Q,FL343073045.Q,FL344190045.Q
1945:Q4,24055.00,2903.00,2903.00,0.00,0.00,0.00,21152.00,24055.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,28162.00,3273.00,3273.00,0.00,0.00,0.00,24889.00,28162.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,31565.00,4096.00,4096.00,0.00,0.00,0.00,27469.00,31565.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,35122.00,4919.00,4919.00,0.00,0.00,0.00,30203.00,35122.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,38974.00,5959.00,5959.00,0.00,0.00,0.00,33015.00,38974.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,43275.00,6743.00,6743.00,0.00,0.00,0.00,36532.00,43275.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1999:Q2,1802509.00,642736.00,642736.00,0.00,0.00,0.00,1159773.00,1802509.00
1999:Q3,1820453.00,657468.00,657468.00,0.00,0.00,0.00,1162985.00,1820453.00
1999:Q4,1838458.00,684033.00,684033.00,0.00,0.00,0.00,1154425.00,1838458.00
2000:Q1,1856361.00,672950.00,672950.00,0.00,0.00,0.00,1183411.00,1856361.00
2000:Q2,1874324.00,683329.00,683329.00,0.00,0.00,0.00,1190995.00,1874324.00
2000:Q3,1892569.00,697363.00,697363.00,0.00,0.00,0.00,1195206.00,1892569.00
2000:Q4,1910917.00,704935.00,704935.00,0.00,0.00,0.00,1205982.00,1910917.00
2001:Q1,1929277.00,713274.00,713274.00,0.00,0.00,0.00,1216003.00,1929277.00
2001:Q2,1947895.00,724915.00,724915.00,0.00,0.00,0.00,1222980.00,1947895.00
2001:Q3,1966716.00,738233.00,738233.00,0.00,0.00,0.00,1228483.00,1966716.00
2001:Q4,1985498.00,765770.00,765770.00,0.00,0.00,0.00,1219728.00,1985498.00
2002:Q1,2003426.00,753737.00,753737.00,0.00,0.00,0.00,1249689.00,2003426.00
2002:Q2,2021632.00,762571.00,762571.00,0.00,0.00,0.00,1259061.00,2021632.00
2002:Q3,2041703.00,773685.00,773685.00,0.00,0.00,1430.00,1266588.00,2041703.00
2002:Q4,2069078.00,793430.00,791473.00,1174.00,783.00,6654.00,1268994.00,2069078.00
2003:Q1,2097522.00,774048.00,770145.00,2342.00,1561.00,12807.00,1310667.00,2097522.00
2003:Q2,2119475.00,784924.00,780999.00,2355.00,1570.00,14945.00,1319606.00,2119475.00
2003:Q3,2141340.00,795447.00,790884.00,2738.00,1825.00,15515.00,1330378.00,2141340.00
2003:Q4,2163117.00,822123.00,817426.00,2796.00,1901.00,17021.00,1323973.00,2163117.00
2004:Q1,2183720.00,808320.00,803413.00,2900.00,2007.00,17352.00,1358048.00,2183720.00
2004:Q2,2204009.00,816304.00,811221.00,2984.00,2099.00,17360.00,1370345.00,2204009.00
