1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q2,11325.00,11325.00,11325.00,16432.00,15021.00,1411.00,-5107.00,-2948.00,-772.00,0.00,0.00,0.00,0.00,0.00,644.00,0.00,644.00,-2980.00,160.00,164.00,-4.00,0.00,2159.00,5363.00,396.00,99.00,4868.00,-1436.00,0.00,4.00,0.00,-1772.00
1960:Q3,11361.00,11361.00,11361.00,16409.00,14658.00,1751.00,-5048.00,204.00,-556.00,0.00,0.00,0.00,0.00,0.00,-392.00,0.00,-392.00,944.00,208.00,160.00,48.00,0.00,5252.00,5091.00,212.00,367.00,4512.00,1012.00,0.00,4.00,0.00,-855.00
1960:Q4,11401.00,11401.00,11401.00,13335.00,14920.00,-1585.00,-1934.00,-1872.00,-408.00,0.00,0.00,0.00,0.00,0.00,1100.00,0.00,1100.00,-2768.00,204.00,188.00,16.00,0.00,62.00,4236.00,904.00,296.00,3036.00,-3460.00,0.00,8.00,0.00,-721.00
1961:Q1,11454.00,11454.00,11454.00,15036.00,15210.00,-174.00,-3582.00,2404.00,-108.00,0.00,0.00,0.00,0.00,0.00,-2432.00,0.00,-2432.00,4708.00,236.00,216.00,20.00,0.00,5986.00,7160.00,440.00,788.00,5932.00,3972.00,0.00,8.00,0.00,-5154.00
1961:Q2,11514.00,11514.00,11514.00,16577.00,15719.00,858.00,-5063.00,-124.00,192.00,0.00,0.00,0.00,0.00,0.00,676.00,0.00,676.00,-1240.00,248.00,244.00,4.00,0.00,4939.00,5408.00,-164.00,-344.00,5916.00,-1444.00,0.00,12.00,0.00,963.00
1961:Q3,11584.00,11584.00,11584.00,18537.00,16305.00,2232.00,-6953.00,1640.00,272.00,0.00,0.00,0.00,0.00,0.00,140.00,0.00,140.00,936.00,292.00,232.00,60.00,0.00,8593.00,8116.00,872.00,760.00,6484.00,-160.00,0.00,12.00,0.00,625.00
1961:Q4,11672.00,11672.00,11672.00,19366.00,16942.00,2424.00,-7694.00,-1356.00,116.00,0.00,0.00,0.00,0.00,0.00,1328.00,0.00,1328.00,-3004.00,204.00,188.00,16.00,0.00,6338.00,6092.00,1256.00,220.00,4616.00,-4272.00,0.00,12.00,0.00,4507.00
1962:Q1,11777.00,11777.00,11777.00,20777.00,17539.00,3238.00,-9000.00,2100.00,60.00,0.00,0.00,0.00,0.00,0.00,-1412.00,0.00,-1412.00,3280.00,172.00,152.00,20.00,0.00,11100.00,6749.00,548.00,933.00,5268.00,2800.00,0.00,4.00,0.00,1547.00
1962:Q2,11863.00,11863.00,11863.00,19610.00,18231.00,1379.00,-7747.00,-1520.00,36.00,0.00,0.00,0.00,0.00,0.00,972.00,0.00,972.00,-2624.00,96.00,92.00,4.00,0.00,6227.00,7921.00,1004.00,45.00,6872.00,-1088.00,0.00,4.00,0.00,-609.00
1962:Q3,11949.00,11949.00,11949.00,20138.00,18571.00,1567.00,-8189.00,496.00,-8.00,0.00,0.00,0.00,0.00,0.00,-4.00,0.00,-4.00,340.00,168.00,104.00,64.00,0.00,8685.00,7560.00,948.00,428.00,6184.00,700.00,0.00,4.00,0.00,421.00
1962:Q4,12025.00,12025.00,12025.00,19679.00,18660.00,1019.00,-7654.00,-1468.00,-84.00,0.00,0.00,0.00,0.00,0.00,1184.00,0.00,1184.00,-2764.00,196.00,180.00,16.00,0.00,6186.00,8109.00,1956.00,425.00,5728.00,-2864.00,0.00,4.00,0.00,937.00
1963:Q1,12105.00,12105.00,12105.00,21863.00,18947.00,2916.00,-9758.00,1572.00,-96.00,0.00,0.00,0.00,0.00,0.00,-1396.00,0.00,-1396.00,2748.00,316.00,296.00,20.00,0.00,11330.00,7081.00,116.00,1585.00,5380.00,1980.00,0.00,4.00,0.00,2265.00
1963:Q2,12189.00,12189.00,12189.00,21156.00,20045.00,1111.00,-8967.00,-744.00,-204.00,0.00,0.00,0.00,0.00,0.00,848.00,0.00,848.00,-1788.00,400.00,400.00,0.00,0.00,8223.00,9426.00,1232.00,22.00,8172.00,-1840.00,0.00,4.00,0.00,633.00
