date,FA153050005.Q,FA543150005.Q,FA574190005.Q,FA344090005.Q,FA224190005.Q,FA153050005.Q,FA893131573.Q,FA763131573.Q,FA473131573.Q,FA543131503.Q,FA633131573.Q,FA653131573.Q,FA153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6555.00,400.00,1380.00,3892.00,883.00,6555.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,6558.00,500.00,1517.00,3435.00,1106.00,6558.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,6948.00,600.00,1364.00,3633.00,1351.00,6948.00,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q1,180144.00,20980.00,85676.00,43940.00,29548.00,180144.00,ND,ND,ND,ND,ND,ND,ND
1980:Q2,197820.00,21196.00,104088.00,44292.00,28244.00,197820.00,ND,ND,ND,ND,ND,ND,ND
1980:Q3,209844.00,22460.00,111580.00,45184.00,30620.00,209844.00,ND,ND,ND,ND,ND,ND,ND
1980:Q4,198540.00,24760.00,96892.00,45632.00,31256.00,198540.00,ND,ND,ND,ND,ND,ND,ND
1981:Q1,186444.00,30740.00,80032.00,45132.00,30540.00,186444.00,ND,ND,ND,ND,ND,ND,ND
1981:Q2,174132.00,24020.00,72092.00,46200.00,31820.00,174132.00,ND,ND,ND,ND,ND,ND,ND
1981:Q3,179320.00,34848.00,63288.00,47376.00,33808.00,179320.00,ND,ND,ND,ND,ND,ND,ND
1981:Q4,161236.00,28440.00,51180.00,48096.00,33520.00,161236.00,ND,ND,ND,ND,ND,ND,ND
1982:Q1,156220.00,31520.00,44056.00,47708.00,32936.00,156220.00,ND,ND,ND,ND,ND,ND,ND
1982:Q2,181924.00,38372.00,60696.00,48756.00,34100.00,181924.00,ND,ND,ND,ND,ND,ND,ND
1982:Q3,221548.00,47604.00,88572.00,49596.00,35776.00,221548.00,ND,ND,ND,ND,ND,ND,ND
1982:Q4,240664.00,41228.00,112776.00,49752.00,36908.00,240664.00,ND,ND,ND,ND,ND,ND,ND
1983:Q1,238560.00,25084.00,128112.00,48900.00,36464.00,238560.00,ND,ND,ND,ND,ND,ND,ND
1983:Q2,270892.00,31400.00,150704.00,50004.00,38784.00,270892.00,ND,ND,ND,ND,ND,ND,ND
1983:Q3,243616.00,29608.00,121408.00,51680.00,40920.00,243616.00,ND,ND,ND,ND,ND,ND,ND
1983:Q4,242328.00,44556.00,103500.00,53324.00,40948.00,242328.00,ND,ND,ND,ND,ND,ND,ND
1984:Q1,188340.00,38112.00,54744.00,54540.00,40944.00,188340.00,ND,ND,ND,ND,ND,ND,ND
1984:Q2,161608.00,40192.00,25892.00,56144.00,39380.00,161608.00,ND,ND,ND,ND,ND,ND,ND
1984:Q3,214344.00,42284.00,73064.00,57872.00,41124.00,214344.00,ND,ND,ND,ND,ND,ND,ND
1984:Q4,232916.00,75156.00,56780.00,58452.00,42528.00,232916.00,ND,ND,ND,ND,ND,ND,ND
1985:Q1,198704.00,35248.00,63880.00,57508.00,42068.00,198704.00,ND,ND,ND,ND,ND,ND,ND
1985:Q2,238792.00,56408.00,80300.00,58560.00,43524.00,238792.00,ND,ND,ND,ND,ND,ND,ND
1985:Q3,195296.00,49024.00,41312.00,60004.00,44956.00,195296.00,ND,ND,ND,ND,ND,ND,ND
1985:Q4,274492.00,81828.00,85816.00,61180.00,45668.00,274492.00,ND,ND,ND,ND,ND,ND,ND
1986:Q1,203428.00,23028.00,71660.00,61004.00,47736.00,203428.00,ND,ND,ND,ND,ND,ND,ND
1986:Q2,205832.00,58368.00,38784.00,62504.00,46176.00,205832.00,ND,ND,ND,ND,ND,ND,ND
1986:Q3,251824.00,81888.00,58568.00,63344.00,48024.00,251824.00,ND,ND,ND,ND,ND,ND,ND
1986:Q4,305004.00,90344.00,102604.00,62808.00,49248.00,305004.00,ND,ND,ND,ND,ND,ND,ND
1987:Q1,207904.00,24220.00,71844.00,60608.00,51232.00,207904.00,ND,ND,ND,ND,ND,ND,ND
1987:Q2,199988.00,27696.00,59644.00,62072.00,50576.00,199988.00,ND,ND,ND,ND,ND,ND,ND
1987:Q3,276176.00,37476.00,125076.00,62184.00,51440.00,276176.00,ND,ND,ND,ND,ND,ND,ND
1987:Q4,232084.00,34368.00,83768.00,62488.00,51460.00,232084.00,ND,ND,ND,ND,ND,ND,ND
1988:Q1,304168.00,90164.00,99992.00,62384.00,51628.00,304168.00,ND,ND,ND,ND,ND,ND,ND
1988:Q2,272276.00,70984.00,84344.00,63432.00,53516.00,272276.00,ND,ND,ND,ND,ND,ND,ND
1988:Q3,291684.00,74048.00,97180.00,65020.00,55436.00,291684.00,ND,ND,ND,ND,ND,ND,ND
1988:Q4,306052.00,79532.00,101904.00,65920.00,58696.00,306052.00,ND,ND,ND,ND,ND,ND,ND
1989:Q1,232288.00,28376.00,78168.00,65288.00,60456.00,232288.00,ND,ND,ND,ND,ND,ND,ND
1989:Q2,296536.00,89916.00,75588.00,66644.00,64388.00,296536.00,ND,ND,ND,ND,ND,ND,ND
1989:Q3,281396.00,62768.00,83612.00,67604.00,67412.00,281396.00,ND,ND,ND,ND,ND,ND,ND
1989:Q4,263424.00,32720.00,92868.00,68080.00,69756.00,263424.00,ND,ND,ND,ND,ND,ND,ND
1990:Q1,298156.00,74620.00,87276.00,66816.00,69444.00,298156.00,ND,ND,ND,ND,ND,ND,ND
1990:Q2,318336.00,134176.00,45128.00,68068.00,70964.00,318336.00,ND,ND,ND,ND,ND,ND,ND
1990:Q3,291844.00,41608.00,109156.00,68976.00,72104.00,291844.00,ND,ND,ND,ND,ND,ND,ND
1990:Q4,287144.00,62492.00,81080.00,70476.00,73096.00,287144.00,ND,ND,ND,ND,ND,ND,ND
1991:Q1,252860.00,14112.00,100576.00,68424.00,69748.00,252860.00,ND,ND,ND,ND,ND,ND,ND
